Year,Month,State,Data Status,R_rev,R_sales,R_cust,R_price,C_rev,C_sales,C_cust,C_price,I_rev,I_sales,I_cust,I_price,T_rev,T_sales,T_cust,T_price,O_rev,O_sales,O_cust,O_price,TOTAL_rev,TOTAL_sales,TOTAL_cust,TOTAL_price
2022,6,AK,Preliminary,33137.17,137988.87,296099,24.01,40877.94,203068.64,56992,20.13,21933.76,111107.52,1163,19.74,0,0,0,0,.,.,.,.,95948.87,452165.03,354254,21.22
2022,6,AL,Preliminary,486505.53,3288527.1,2337761,14.79,294194.06,2141571.8,379776,13.74,245307.13,2854411.7,8014,8.59,0,0,0,0,.,.,.,.,1026006.7,8284510.6,2725551,12.38
2022,6,AR,Preliminary,210795.57,1678207.7,1446278,12.56,114533.87,1069679.3,204733,10.71,125745.19,1576745,36731,7.98,2.06,15.4,2,13.38,.,.,.,.,451076.69,4324647.4,1687744,10.43
2022,6,AZ,Preliminary,583160.76,4415119,2979734,13.21,345330.55,3037362.5,337252,11.37,98631.7,1246263.2,7347,7.91,103.37,944.82,2,10.94,.,.,.,.,1027226.4,8699689.5,3324335,11.81
2022,6,CA,Preliminary,2212135.5,7633200.1,14200449,28.98,2122686.7,9432111.3,1787659,22.5,773172.83,4339684.9,151439,17.82,6976.69,57558.74,12,12.12,.,.,.,.,5114971.7,21462555,16139559,23.83
2022,6,CO,Preliminary,264781.93,1836049.8,2427533,14.42,223807.48,1783916.8,390926,12.55,115413.08,1312938.2,15046,8.79,731.89,7396.24,1,9.9,.,.,.,.,604734.38,4940301.1,2833506,12.24
2022,6,CT,Preliminary,261928.28,1029914.7,1543361,25.43,190561.55,999537.59,155838,19.07,35651.02,237677.67,3972,15,2083.49,14498.39,3,14.37,.,.,.,.,490224.34,2281628.3,1703174,21.49
2022,6,DC,Preliminary,31032.09,225923.37,306848,13.74,102481.96,661256.81,27116,15.5,1116.14,15767.41,1,7.08,2041.62,19763.05,3,10.33,.,.,.,.,136671.8,922710.64,333968,14.81
2022,6,DE,Preliminary,55745.83,417036.41,456877,13.37,40900.58,389962.51,59042,10.49,15886.65,181134.88,814,8.77,0,0,0,0,.,.,.,.,112533.06,988133.79,516733,11.39
2022,6,FL,Preliminary,1896738.2,13647584,10450256,13.9,1021485.6,9212996,1336631,11.09,160810.53,1717299.5,25647,9.36,653.43,6450.37,2,10.13,.,.,.,.,3079687.8,24584330,11812536,12.53
2022,6,GA,Preliminary,957343.8,6267549.1,4637508,15.27,642464.77,4433117.9,604898,14.49,376039.6,2898550.1,25084,12.97,1571.2,11743.77,1,13.38,.,.,.,.,1977419.4,13610961,5267491,14.53
2022,6,HI,Preliminary,100413.01,227764.26,449608,44.09,94864.56,230238.87,60114,41.2,104291.08,281220.36,820,37.09,0,0,0,0,.,.,.,.,299568.65,739223.49,510542,40.52
2022,6,IA,Preliminary,192380.4,1284272.4,1435635,14.98,128472.84,1049628.2,248112,12.24,201511.01,2246406.3,8578,8.97,0,0,0,0,.,.,.,.,522364.25,4580306.9,1692325,11.4
2022,6,ID,Preliminary,72524.75,637508.62,822901,11.38,47862.63,532049.14,119170,9,85229.38,1069458.3,29323,7.97,0,0,0,0,.,.,.,.,205616.76,2239016.1,971394,9.18
2022,6,IL,Preliminary,748236.56,4456888.8,5365937,16.79,511956.4,4137779.4,635438,12.37,348717.79,3742865.6,5640,9.32,2630.71,33423.19,3,7.87,.,.,.,.,1611541.5,12370957,6007018,13.03
2022,6,IN,Preliminary,435423.82,2940526.7,2954737,14.81,281614.83,2202898.4,372957,12.78,342089.86,3651454.7,19036,9.37,119.85,911.75,1,13.15,.,.,.,.,1059248.4,8795791.6,3346731,12.04
2022,6,KS,Preliminary,211469.04,1456688.2,1310583,14.52,173469.63,1422912.7,247421,12.19,87242.18,1009454.3,25325,8.64,0,0,0,0,.,.,.,.,472180.85,3889055.3,1583329,12.14
2022,6,KY,Preliminary,310575.52,2365952.5,2021094,13.13,212142.68,1725903.2,320900,12.29,218632.85,2530490.3,5938,8.64,0,0,0,0,.,.,.,.,741351.05,6622346,2347932,11.19
2022,6,LA,Preliminary,417547.36,3265847.4,2145000,12.79,256243.62,2219210.6,302355,11.55,274868.74,3648088.9,20566,7.53,101.14,787.13,1,12.85,.,.,.,.,948760.87,9133934.1,2467922,10.39
2022,6,MA,Preliminary,375614.81,1490434.1,2899103,25.2,352554.89,1949761.2,440562,18.08,99846.04,554635.22,10637,18,1536.43,23356.63,2,6.58,.,.,.,.,829552.16,4018187.1,3350304,20.64
2022,6,MD,Preliminary,335496.34,2286964.7,2433021,14.67,308610.31,2420127.3,260661,12.75,33281.61,317097.01,9017,10.5,2550.21,29417.28,5,8.67,.,.,.,.,679938.46,5053606.3,2702704,13.45
2022,6,ME,Preliminary,86085.6,355465.42,742025,24.22,55441.03,333028.69,109059,16.65,22670.17,182968.27,2204,12.39,0,0,0,0,.,.,.,.,164196.81,871462.39,853288,18.84
2022,6,MI,Preliminary,567456.16,3133100,4482123,18.11,415852.02,3302146.3,555162,12.59,212513.9,2421786.2,5777,8.78,42.29,340.48,2,12.42,.,.,.,.,1195864.4,8857373,5043064,13.5
2022,6,MN,Preliminary,290649.3,1937591.3,2533362,15,249852.14,1906766.6,306994,13.1,168135.37,1652892.2,9295,10.17,221.11,1596.43,1,13.85,.,.,.,.,708857.93,5498846.5,2849652,12.89
