Alabama, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,2.79,2.61
199002,2.52,2.58
199003,1.81,2.56
199004,-1.09,-0.99
199005,1.01,1.02
199006,-1.13,-1.89
199007,-1.69,-1.32
199008,-3.25,-3.36
199009,-2.62,-2.73
199010,-0.59,-1.33
199011,-1.44,-1.75
199012,0.38,0.13
199101,2.03,1.85
199102,-0.12,-0.06
199103,0.40,1.15
199104,1.16,1.26
199105,4.97,4.98
199106,1.02,0.26
199107,-0.76,-0.39
199108,-0.18,-0.29
199109,-0.58,-0.69
199110,-1.95,-2.69
199111,0.53,0.22
199112,0.00,-0.25
199201,1.01,0.83
199202,0.46,0.52
199203,-1.84,-1.09
199204,-1.49,-1.39
199205,-1.77,-1.76
199206,1.53,0.77
199207,0.75,1.12
199208,2.57,2.46
199209,0.43,0.32
199210,0.47,-0.27
199211,5.59,5.28
199212,0.69,0.44
199301,0.81,0.63
199302,-1.19,-1.13
199303,0.49,1.24
199304,-0.90,-0.80
199305,-0.05,-0.04
199306,-0.68,-1.44
199307,-3.03,-2.66
199308,-0.45,-0.56
199309,-0.33,-0.44
199310,0.67,-0.07
199311,0.08,-0.23
199312,-0.59,-0.84
199401,0.42,0.24
199402,-0.24,-0.18
199403,0.68,1.43
199404,-0.67,-0.57
199405,-0.58,-0.57
199406,2.87,2.11
199407,4.66,5.03
199408,-0.44,-0.55
199409,0.36,0.25
199410,2.37,1.63
199411,-0.35,-0.66
199412,-1.23,-1.48
199501,-0.24,-0.42
199502,0.44,0.50
199503,-1.04,-0.29
199504,0.06,0.16
199505,-1.08,-1.07
199506,-0.47,-1.23
199507,-2.04,-1.67
199508,-0.51,-0.62
199509,-0.92,-1.03
199510,5.96,5.22
199511,2.54,2.23
199512,0.25,0.00
199601,2.22,2.04
199602,-0.96,-0.90
199603,2.05,2.80
199604,0.08,0.18
199605,-2.00,-1.99
199606,-0.93,-1.69
199607,0.73,1.10
199608,0.54,0.43
199609,2.06,1.95
199610,0.16,-0.58
199611,-0.15,-0.46
199612,-0.10,-0.35
199701,1.24,1.06
199702,0.68,0.74
199703,-2.61,-1.86
199704,1.33,1.43
199705,1.80,1.81
199706,4.42,3.66
199707,0.28,0.65
199708,-0.68,-0.79
199709,-0.54,-0.65
199710,2.26,1.52
199711,2.26,1.95
199712,0.04,-0.21
199801,2.65,2.47
199802,1.80,1.86
199803,0.04,0.79
199804,0.50,0.60
199805,-2.39,-2.38
199806,-2.12,-2.88
199807,-0.59,-0.22
199808,-1.58,-1.69
199809,3.41,3.30
199810,-1.20,-1.94
199811,-0.94,-1.25
199812,-1.07,-1.32
199901,2.36,2.18
199902,-2.60,-2.54
199903,-0.35,0.40
199904,-2.46,-2.36
199905,-0.12,-0.11
199906,4.36,3.60
199907,-0.44,-0.07
199908,-2.59,-2.70
199909,-2.04,-2.15
199910,0.24,-0.50
199911,-1.58,-1.89
199912,-1.89,-2.14
200001,-0.52,-0.70
200002,-3.16,-3.10
200003,-1.41,-0.66
200004,0.22,0.32
200005,-3.42,-3.41
200006,-1.15,-1.91
200007,-4.14,-3.77
200008,-3.32,-3.43
200009,-0.81,-0.92
200010,-2.47,-3.21
200011,3.30,2.99
200012,-0.19,-0.44
200101,-0.16,-0.34
200102,-1.27,-1.21
200103,3.35,4.10
200104,-1.09,-0.99
200105,-0.12,-0.11
200106,3.36,2.60
200107,-0.88,-0.51
200108,1.62,1.51
200109,1.52,1.41
200110,1.28,0.54
200111,-0.53,-0.84
200112,-0.88,-1.13
200201,-0.07,-0.25
200202,-1.83,-1.77
200203,-0.43,0.32
200204,-2.68,-2.58
200205,-0.35,-0.34
200206,-0.32,-1.08
200207,-0.45,-0.08
200208,-1.32,-1.43
200209,2.90,2.79
200210,2.70,1.96
200211,1.58,1.27
200212,1.47,1.22
200301,-2.28,-2.46
200302,1.40,1.46
200303,-1.58,-0.83
200304,1.13,1.23
200305,4.17,4.18
200306,4.44,3.68
200307,2.91,3.28
200308,2.17,2.06
200309,0.72,0.61
200310,-0.39,-1.13
200311,0.54,0.23
200312,-1.06,-1.31
200401,-1.60,-1.78
200402,1.81,1.87
200403,-3.65,-2.90
200404,-1.09,-0.99
200405,-0.51,-0.50
200406,3.56,2.80
200407,-0.34,0.03
200408,1.06,0.95
200409,3.06,2.95
200410,1.44,0.70
200411,4.01,3.70
200412,0.04,-0.21
200501,-2.29,-2.47
200502,-0.41,-0.35
200503,-0.25,0.50
200504,2.36,2.46
200505,-0.97,-0.96
200506,2.38,1.62
200507,3.85,4.22
200508,2.28,2.17
200509,-0.14,-0.25
200510,-1.60,-2.34
200511,-0.45,-0.76
200512,-0.77,-1.02
200601,-0.25,-0.43
200602,0.00,0.06
200603,-2.80,-2.05
200604,-2.11,-2.01
200605,0.20,0.21
200606,-2.14,-2.90
200607,-2.92,-2.55
200608,-1.72,-1.83
200609,-0.51,-0.62
200610,2.06,1.32
200611,1.05,0.74
200612,-0.86,-1.11
200701,-0.77,-0.95
200702,-2.07,-2.01
200703,-4.33,-3.58
200704,-0.75,-0.65
200705,-3.52,-3.51
200706,-2.33,-3.09
200707,-0.91,-0.54
200708,-3.31,-3.42
200709,-1.46,-1.57
200710,0.30,-0.44
200711,-1.25,-1.56
200712,-1.38,-1.63
200801,-0.79,-0.97
200802,0.44,0.50
200803,-1.88,-1.13
200804,-0.33,-0.23
200805,0.34,0.35
200806,-1.55,-2.31
200807,-1.76,-1.39
200808,4.56,4.45
200809,-1.62,-1.73
200810,0.51,-0.23
200811,-0.37,-0.68
200812,1.37,1.12
200901,-0.61,-0.79
200902,-1.19,-1.13
200903,1.91,2.66
200904,-0.24,-0.14
200905,4.26,4.27
200906,-1.65,-2.41
200907,0.18,0.55
200908,1.37,1.26
200909,3.54,3.43
200910,5.05,4.31
200911,0.92,0.61
200912,4.95,4.70
201001,1.28,1.10
201002,-0.48,-0.42
201003,-0.69,0.06
201004,-1.89,-1.79
201005,1.53,1.54
201006,-1.40,-2.16
201007,-2.73,-2.36
201008,-0.79,-0.90
201009,-2.92,-3.03
201010,-0.66,-1.40
201011,0.35,0.04
201012,-2.35,-2.60
201101,-0.78,-0.96
201102,-1.60,-1.54
201103,1.22,1.97
201104,-0.25,-0.15
201105,-2.39,-2.38
201106,-1.84,-2.60
201107,-1.04,-0.67
201108,-3.47,-3.58
201109,3.08,2.97
201110,-1.22,-1.96
201111,0.05,-0.26
201112,-0.15,-0.40
201201,0.01,-0.17
201202,-0.92,-0.86
201203,-1.82,-1.07
201204,-2.74,-2.64
201205,-0.87,-0.86
201206,-0.20,-0.96
201207,-0.37,0.00
201208,1.92,1.81
201209,1.75,1.64
201210,0.75,0.01
201211,-1.89,-2.20
201212,1.06,0.81
201301,0.78,0.60
201302,3.27,3.33
201303,-1.58,-0.83
201304,0.69,0.79
201305,0.25,0.26
201306,1.69,0.93
201307,3.94,4.31
201308,2.17,2.06
201309,0.03,-0.08
201310,-0.79,-1.53
201311,-0.14,-0.45
201312,2.50,2.25
201401,-1.85,-2.03
201402,0.55,0.61
201403,-0.37,0.38
201404,3.88,3.98
201405,0.19,0.20
201406,1.13,0.37
201407,-1.19,-0.82
201408,-1.10,-1.21
201409,-1.73,-1.84
201410,1.10,0.36
201411,-0.42,-0.73
201412,0.88,0.63
201501,-0.59,-0.77
201502,-0.66,-0.60
201503,-1.92,-1.17
201504,1.38,1.48
201505,-0.03,-0.02
201506,-1.00,-1.76
201507,-1.32,-0.95
201508,0.42,0.31
201509,-1.25,-1.36
201510,-0.21,-0.95
201511,2.04,1.73
201512,5.17,4.92
201601,-0.82,-1.00
201602,0.45,0.51
201603,-1.20,-0.45
201604,0.50,0.60
201605,-1.94,-1.93
201606,-0.93,-1.69
201607,-2.05,-1.68
201608,-0.78,-0.89
201609,-3.05,-3.16
201610,-3.53,-4.27
201611,-2.20,-2.51
201612,-0.93,-1.18
201701,3.10,2.92
201702,-1.88,-1.82
201703,-2.07,-1.32
201704,-1.24,-1.14
201705,2.98,2.99
201706,6.94,6.18
201707,-0.05,0.32
201708,2.40,2.29
201709,0.07,-0.04
201710,3.30,2.56
201711,-2.40,-2.71
201712,-0.90,-1.15
201801,-2.30,-2.48
201802,1.08,1.14
201803,-1.80,-1.05
201804,1.18,1.28
201805,0.71,0.72
201806,0.25,-0.51
201807,-1.05,-0.68
201808,0.64,0.53
201809,1.52,1.41
201810,-0.22,-0.96
201811,2.52,2.21
201812,4.14,3.89
201901,0.78,0.60
201902,0.31,0.37
201903,-2.35,-1.60
201904,0.97,1.07
201905,-1.19,-1.18
201906,0.13,-0.63
201907,-1.74,-1.37
201908,0.01,-0.10
201909,-4.49,-4.60
201910,3.19,2.45
201911,-0.16,-0.47
201912,1.15,0.90
202001,1.89,1.71
202002,4.38,4.44
202003,-1.02,-0.27
202004,1.84,1.94
202005,-0.22,-0.21
202006,1.19,0.43
202007,-0.07,0.30
202008,1.57,1.46
202009,2.36,2.25
202010,2.60,1.86
202011,-1.08,-1.39
202012,-0.85,-1.10
202101,-1.33,-1.51
202102,-0.77,-0.71
202103,0.95,1.70
202104,0.63,0.73
202105,0.73,0.74
202106,4.78,4.02
202107,2.56,2.93
202108,3.79,3.68
202109,1.73,1.62
202110,2.25,1.51
202111,-1.97,-2.28
202112,-0.90,-1.15
