Arizona, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,0.96,-0.19
199002,1.07,-0.10
199003,0.73,-0.25
199004,0.69,0.28
199005,0.40,0.07
199006,0.28,0.07
199007,2.93,1.20
199008,2.30,0.36
199009,2.08,0.90
199010,0.48,-0.32
199011,0.80,0.08
199012,1.36,0.25
199101,1.12,-0.03
199102,0.89,-0.28
199103,3.07,2.09
199104,0.01,-0.40
199105,0.08,-0.25
199106,0.31,0.10
199107,0.90,-0.83
199108,1.62,-0.32
199109,1.12,-0.06
199110,0.59,-0.21
199111,1.22,0.50
199112,1.98,0.87
199201,1.32,0.17
199202,1.93,0.76
199203,2.91,1.93
199204,0.36,-0.05
199205,1.64,1.31
199206,0.21,0.00
199207,1.72,-0.01
199208,3.25,1.31
199209,0.53,-0.65
199210,0.91,0.11
199211,0.14,-0.58
199212,3.23,2.12
199301,5.22,4.07
199302,3.17,2.00
199303,1.15,0.17
199304,0.05,-0.36
199305,0.41,0.08
199306,0.14,-0.07
199307,0.35,-1.38
199308,2.88,0.94
199309,0.35,-0.83
199310,1.24,0.44
199311,1.52,0.80
199312,0.29,-0.82
199401,0.23,-0.92
199402,1.24,0.07
199403,1.24,0.26
199404,0.61,0.20
199405,0.59,0.26
199406,0.23,0.02
199407,0.94,-0.79
199408,1.62,-0.32
199409,1.40,0.22
199410,0.92,0.12
199411,1.33,0.61
199412,2.10,0.99
199501,2.43,1.28
199502,1.47,0.30
199503,1.52,0.54
199504,0.63,0.22
199505,0.43,0.10
199506,0.13,-0.08
199507,0.60,-1.13
199508,1.98,0.04
199509,1.30,0.12
199510,0.08,-0.72
199511,0.58,-0.14
199512,0.29,-0.82
199601,0.20,-0.95
199602,1.08,-0.09
199603,0.37,-0.61
199604,0.06,-0.35
199605,0.09,-0.24
199606,0.26,0.05
199607,1.70,-0.03
199608,1.39,-0.55
199609,1.86,0.68
199610,0.75,-0.05
199611,0.79,0.07
199612,0.19,-0.92
199701,1.89,0.74
199702,0.91,-0.26
199703,0.11,-0.87
199704,0.76,0.35
199705,0.37,0.04
199706,0.25,0.04
199707,0.82,-0.91
199708,2.26,0.32
199709,2.18,1.00
199710,0.70,-0.10
199711,0.59,-0.13
199712,1.87,0.76
199801,0.55,-0.60
199802,3.06,1.89
199803,1.90,0.92
199804,0.63,0.22
199805,0.26,-0.07
199806,0.07,-0.14
199807,2.35,0.62
199808,1.60,-0.34
199809,1.44,0.26
199810,1.26,0.46
199811,0.93,0.21
199812,0.39,-0.72
199901,0.14,-1.01
199902,0.36,-0.81
199903,0.19,-0.79
199904,1.37,0.96
199905,0.17,-0.16
199906,0.36,0.15
199907,3.39,1.66
199908,2.55,0.61
199909,1.80,0.62
199910,0.00,-0.80
199911,0.00,-0.72
199912,0.04,-1.07
200001,0.28,-0.87
200002,0.59,-0.58
200003,1.73,0.75
200004,0.11,-0.30
200005,0.02,-0.31
200006,0.73,0.52
