California, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,-1.72,-1.39
199002,-1.95,-1.80
199003,-2.82,-2.56
199004,-1.98,-1.76
199005,2.12,1.94
199006,-1.26,-1.01
199007,-0.83,-0.39
199008,0.00,0.63
199009,-0.23,0.42
199010,-1.80,-1.51
199011,-2.47,-1.62
199012,-3.09,-3.12
199101,-4.58,-4.25
199102,-3.40,-3.25
199103,7.34,7.60
199104,-1.17,-0.95
199105,0.40,0.22
199106,0.47,0.72
199107,0.96,1.40
199108,-0.04,0.59
199109,-0.79,-0.14
199110,-0.58,-0.29
199111,-2.19,-1.34
199112,-1.76,-1.79
199201,-3.13,-2.80
199202,1.29,1.44
199203,0.49,0.75
199204,-1.54,-1.32
199205,-2.00,-2.18
199206,-1.33,-1.08
199207,-1.08,-0.64
199208,-0.56,0.07
199209,-1.41,-0.76
199210,1.26,1.55
199211,-2.57,-1.72
199212,2.69,2.66
199301,5.97,6.30
199302,2.80,2.95
199303,-0.54,-0.28
199304,-0.44,-0.22
199305,1.44,1.26
199306,1.94,2.19
199307,0.85,1.29
199308,0.53,1.16
199309,-1.16,-0.51
199310,-1.04,-0.75
199311,-1.49,-0.64
199312,-1.59,-1.62
199401,-3.19,-2.86
199402,-0.22,-0.07
199403,-2.81,-2.55
199404,-0.68,-0.46
199405,1.18,1.00
199406,-0.22,0.03
199407,-1.16,-0.72
199408,-1.27,-0.64
199409,-0.48,0.17
199410,-1.09,-0.80
199411,1.77,2.62
199412,-0.71,-0.74
199501,9.60,9.93
199502,-2.63,-2.48
199503,8.14,8.40
199504,1.68,1.90
199505,2.49,2.31
199506,3.50,3.75
199507,3.26,3.70
199508,0.30,0.93
199509,-1.18,-0.53
199510,-2.60,-2.31
199511,-3.49,-2.64
199512,1.52,1.49
199601,1.15,1.48
199602,2.40,2.55
199603,-0.96,-0.70
199604,0.32,0.54
199605,2.72,2.54
199606,1.60,1.85
199607,0.35,0.79
199608,-1.25,-0.62
199609,-0.62,0.03
199610,0.86,1.15
199611,0.61,1.46
199612,5.35,5.32
199701,4.59,4.92
199702,-2.81,-2.66
199703,-3.47,-3.21
199704,-1.38,-1.16
199705,-2.27,-2.45
199706,-1.64,-1.39
199707,-1.07,-0.63
199708,-0.28,0.35
199709,1.36,2.01
199710,-0.28,0.01
199711,1.28,2.13
199712,-0.66,-0.69
199801,3.31,3.64
199802,8.50,8.65
199803,1.31,1.57
199804,1.06,1.28
199805,5.49,5.31
199806,3.33,3.58
199807,5.25,5.69
199808,0.50,1.13
199809,0.94,1.59
199810,-0.72,-0.43
199811,2.03,2.88
199812,-1.90,-1.93
199901,-0.68,-0.35
199902,1.71,1.86
199903,-0.68,-0.42
199904,0.65,0.87
199905,-0.62,-0.80
199906,0.35,0.60
199907,0.65,1.09
199908,0.23,0.86
199909,-0.83,-0.18
199910,-1.55,-1.26
199911,-0.96,-0.11
199912,-3.66,-3.69
200001,-0.14,0.19
200002,3.00,3.15
200003,-1.61,-1.35
200004,-0.25,-0.03
200005,0.25,0.07
200006,-0.19,0.06
200007,-1.22,-0.78
200008,-0.20,0.43
200009,-0.36,0.29
200010,1.91,2.20
200011,-1.99,-1.14
200012,-3.76,-3.79
200101,-1.84,-1.51
200102,0.14,0.29
200103,-1.56,-1.30
200104,0.39,0.61
200105,-1.72,-1.90
200106,-1.64,-1.39
200107,-1.20,-0.76
200108,-1.18,-0.55
200109,-0.68,-0.03
200110,-1.67,-1.38
