Delaware, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,41.5,6.2
199002,42.3,5.1
199003,46.8,2.4
199004,53.5,-0.9
199005,61.3,-2.2
199006,71.4,-1.2
199007,77.0,-0.4
199008,74.2,-1.3
199009,66.0,-3.0
199010,60.8,2.5
199011,48.9,1.4
199012,42.7,2.9
199101,35.8,0.5
199102,40.5,3.3
199103,46.2,1.8
199104,54.8,0.4
199105,68.5,5.0
199106,72.6,0.0
199107,77.1,-0.3
199108,75.7,0.2
199109,67.0,-2.0
199110,57.4,-0.9
199111,46.7,-0.8
199112,40.8,1.0
199201,36.1,0.8
199202,37.6,0.4
199203,41.4,-3.0
199204,51.5,-2.9
199205,58.9,-4.6
199206,68.1,-4.5
199207,75.8,-1.6
199208,71.4,-4.1
199209,67.3,-1.7
199210,53.6,-4.7
199211,46.8,-0.7
199212,38.5,-1.3
199301,38.1,2.8
199302,31.9,-5.3
199303,40.0,-4.4
199304,52.0,-2.4
199305,63.8,0.3
199306,71.4,-1.2
199307,78.7,1.3
199308,75.5,0.0
199309,68.4,-0.6
199310,55.8,-2.5
199311,46.6,-0.9
199312,36.0,-3.8
199401,28.0,-7.3
199402,33.5,-3.7
199403,42.8,-1.6
199404,57.7,3.3
199405,59.4,-4.1
199406,74.4,1.8
199407,78.3,0.9
199408,72.2,-3.3
199409,66.0,-3.0
199410,54.8,-3.5
199411,51.1,3.6
199412,42.0,2.2
199501,38.2,2.9
199502,32.6,-4.6
199503,45.9,1.5
199504,53.5,-0.9
199505,61.9,-1.6
199506,71.2,-1.4
199507,78.2,0.8
199508,76.4,0.9
199509,68.0,-1.0
199510,59.8,1.5
199511,42.6,-4.9
199512,32.9,-6.9
199601,32.6,-2.7
199602,34.8,-2.4
199603,39.6,-4.8
199604,53.3,-1.1
199605,60.6,-2.9
199606,72.3,-0.3
199607,74.2,-3.2
199608,73.2,-2.3
199609,68.1,-0.9
199610,56.8,-1.5
199611,41.5,-6.0
199612,41.3,1.5
199701,34.1,-1.2
199702,40.8,3.6
199703,45.5,1.1
199704,51.1,-3.3
199705,59.7,-3.8
199706,69.3,-3.3
199707,76.1,-1.3
199708,73.6,-1.9
199709,67.1,-1.9
199710,57.0,-1.3
199711,44.8,-2.7
199712,38.9,-0.9
199801,41.6,6.3
199802,41.3,4.1
199803,45.7,1.3
199804,55.2,0.8
199805,64.8,1.3
199806,71.3,-1.3
199807,76.0,-1.4
199808,75.2,-0.3
199809,71.2,2.2
199810,57.5,-0.8
199811,47.1,-0.4
199812,42.0,2.2
199901,38.1,2.8
199902,38.3,1.1
199903,42.2,-2.2
199904,53.4,-1.0
199905,63.0,-0.5
199906,71.3,-1.3
199907,79.2,1.8
199908,76.2,0.7
199909,68.6,-0.4
199910,55.9,-2.4
199911,51.4,3.9
199912,40.5,0.7
200001,33.3,-2.0
200002,39.2,2.0
200003,48.7,4.3
200004,52.4,-2.0
200005,64.7,1.2
200006,73.0,0.4
200007,72.8,-4.6
200008,73.1,-2.4
200009,66.2,-2.8
200010,57.6,-0.7
200011,44.6,-2.9
200012,31.3,-8.5
200101,33.1,-2.2
200102,38.6,1.4
200103,41.2,-3.2
200104,53.9,-0.5
200105,63.2,-0.3
200106,73.5,0.9
200107,72.9,-4.5
200108,76.7,1.2
200109,66.5,-2.5
200110,57.6,-0.7
200111,51.5,4.0
200112,44.4,4.6
200201,40.0,4.7
200202,40.9,3.7
200203,46.4,2.0
200204,57.1,2.7
200205,62.7,-0.8
200206,73.0,0.4
200207,78.0,0.6
200208,78.0,2.5
200209,70.1,1.1
200210,57.9,-0.4
200211,45.8,-1.7
200212,36.0,-3.8
200301,29.6,-5.7
200302,32.1,-5.1
200303,45.1,0.7
200304,52.0,-2.4
200305,59.0,-4.5
200306,70.0,-2.6
200307,76.3,-1.1
200308,76.5,1.0
200309,69.3,0.3
200310,55.8,-2.5
200311,51.5,4.0
200312,37.8,-2.0
200401,28.8,-6.5
200402,36.1,-1.1
200403,46.1,1.7
200404,54.7,0.3
200405,69.6,6.1
200406,71.3,-1.3
200407,76.1,-1.3
200408,74.0,-1.5
200409,69.4,0.4
200410,56.2,-2.1
200411,48.6,1.1
200412,39.0,-0.8
200501,34.3,-1.0
200502,36.7,-0.5
200503,40.1,-4.3
200504,54.3,-0.1
200505,58.4,-5.1
200506,72.7,0.1
200507,77.9,0.5
200508,77.9,2.4
200509,71.9,2.9
200510,58.8,0.5
200511,50.1,2.6
200512,35.6,-4.2
200601,42.1,6.8
200602,37.1,-0.1
200603,44.6,0.2
