Florida, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,-1.24,-1.49
199002,-0.04,0.48
199003,-1.43,-0.75
199004,-0.58,-0.38
199005,-1.48,-0.76
199006,-1.70,-2.04
199007,-1.54,-0.96
199008,-1.95,-2.04
199009,-3.68,-3.30
199010,-0.98,-0.67
199011,-2.77,-2.55
199012,-3.46,-3.18
199101,4.57,4.32
199102,-1.98,-1.46
199103,2.76,3.44
199104,1.81,2.01
199105,3.26,3.98
199106,1.18,0.84
199107,2.46,3.04
199108,-0.57,-0.66
199109,-2.52,-2.14
199110,-0.23,0.08
199111,-1.22,-1.00
199112,-2.54,-2.26
199201,0.86,0.61
199202,0.70,1.22
199203,-0.46,0.22
199204,0.02,0.22
199205,-1.56,-0.84
199206,4.45,4.11
199207,-2.69,-2.11
199208,2.35,2.26
199209,-1.40,-1.02
199210,0.39,0.70
199211,3.09,3.31
199212,-1.32,-1.04
199301,3.12,2.87
199302,0.22,0.74
199303,1.52,2.20
199304,-0.33,-0.13
199305,-1.11,-0.39
199306,-2.42,-2.76
199307,-3.04,-2.46
199308,-3.54,-3.63
199309,-1.82,-1.44
199310,1.68,1.99
199311,-1.01,-0.79
199312,-0.84,-0.56
199401,3.28,3.03
199402,-1.35,-0.83
199403,-0.36,0.32
199404,-0.16,0.04
199405,-1.34,-0.62
199406,1.66,1.32
199407,1.07,1.65
199408,1.93,1.84
199409,1.98,2.36
199410,2.78,3.09
199411,1.51,1.73
199412,1.03,1.31
199501,0.78,0.53
199502,-1.03,-0.51
199503,-0.72,-0.04
199504,0.49,0.69
199505,-1.14,-0.42
199506,1.79,1.45
199507,0.27,0.85
199508,2.89,2.80
199509,-0.91,-0.53
199510,3.96,4.27
199511,1.01,1.23
199512,-0.50,-0.22
199601,0.87,0.62
199602,-1.20,-0.68
199603,3.76,4.44
199604,0.28,0.48
199605,-0.30,0.42
199606,0.50,0.16
199607,-2.33,-1.75
199608,-0.47,-0.56
199609,-1.53,-1.15
199610,2.47,2.78
199611,-1.17,-0.95
199612,0.54,0.82
199701,0.21,-0.04
199702,-1.43,-0.91
199703,-2.15,-1.47
199704,3.33,3.53
199705,-0.17,0.55
199706,0.68,0.34
199707,0.07,0.65
199708,-0.82,-0.91
199709,-1.14,-0.76
199710,0.15,0.46
199711,4.03,4.25
199712,6.01,6.29
199801,1.71,1.46
199802,5.57,6.09
199803,2.42,3.10
199804,-2.07,-1.87
199805,-3.16,-2.44
199806,-6.07,-6.41
199807,-1.79,-1.21
199808,-2.40,-2.49
199809,4.43,4.81
199810,-2.30,-1.99
199811,-0.04,0.18
199812,-2.24,-1.96
199901,0.85,0.60
199902,-2.31,-1.79
199903,-1.84,-1.16
199904,-2.28,-2.08
199905,-0.50,0.22
199906,2.34,2.00
199907,-2.02,-1.44
199908,-0.78,-0.87
199909,0.16,0.54
199910,1.38,1.69
199911,0.00,0.22
199912,-0.44,-0.16
200001,-0.62,-0.87
200002,-2.38,-1.86
200003,-1.76,-1.08
200004,-0.88,-0.68
200005,-3.87,-3.15
200006,-2.18,-2.52
200007,-2.54,-1.96
200008,-3.70,-3.79
200009,1.19,1.57
200010,-1.90,-1.59
200011,-0.94,-0.72
200012,-1.74,-1.46
200101,-1.44,-1.69
200102,-3.65,-3.13
200103,1.72,2.40
200104,-2.37,-2.17
200105,-2.03,-1.31
200106,0.63,0.29
200107,1.81,2.39
200108,-0.11,-0.20
200109,4.34,4.72
200110,-0.67,-0.36
200111,-1.26,-1.04
200112,-2.28,-2.00
200201,-0.10,-0.35
200202,-0.52,0.00
200203,-1.38,-0.70
200204,-1.52,-1.32
200205,-2.26,-1.54
200206,2.72,2.38
200207,0.54,1.12
200208,0.67,0.58
200209,-0.22,0.16
200210,-0.51,-0.20
200211,2.03,2.25
200212,4.91,5.19
200301,-0.84,-1.09
200302,0.47,0.99
200303,1.68,2.36
200304,-0.22,-0.02
200305,-0.19,0.53
200306,3.68,3.34
200307,0.17,0.75
200308,2.06,1.97
200309,-0.44,-0.06
200310,-1.07,-0.76
200311,-0.44,-0.22
200312,-0.09,0.19
200401,-0.38,-0.63
200402,2.20,2.72
200403,-2.85,-2.17
200404,-0.76,-0.56
200405,-2.87,-2.15
200406,0.04,-0.30
200407,-1.23,-0.65
200408,2.38,2.29
200409,5.86,6.24
200410,-1.41,-1.10
200411,-0.29,-0.07
200412,-0.14,0.14
200501,-1.28,-1.53
200502,-0.89,-0.37
200503,2.04,2.72
200504,2.53,2.73
200505,0.39,1.11
200506,4.40,4.06
200507,-0.21,0.37
200508,-0.11,-0.20
200509,-2.53,-2.15
200510,1.04,1.35
200511,0.53,0.75
200512,1.47,1.75
200601,-1.69,-1.94
200602,1.11,1.63
200603,-3.28,-2.60
200604,-2.62,-2.42
200605,-2.34,-1.62
200606,-2.19,-2.53
200607,-2.54,-1.96
200608,-2.12,-2.21
200609,-1.91,-1.53
200610,-2.57,-2.26
200611,-1.68,-1.46
200612,-1.59,-1.31
200701,-1.06,-1.31
200702,-1.05,-0.53
200703,-3.09,-2.41
200704,-1.23,-1.03
200705,-3.39,-2.67
200706,-1.65,-1.99
200707,-1.35,-0.77
200708,-4.14,-4.23
200709,-1.28,-0.90
200710,0.58,0.89
200711,-2.12,-1.90
200712,-2.16,-1.88
200801,-0.35,-0.60
200802,0.26,0.78
200803,-0.43,0.25
200804,0.36,0.56
200805,-2.66,-1.94
200806,-0.86,-1.20
200807,0.07,0.65
200808,6.10,6.01
200809,-3.42,-3.04
200810,0.00,0.31
200811,-0.92,-0.70
200812,-1.39,-1.11
200901,-1.07,-1.32
200902,-1.83,-1.31
200903,-1.20,-0.52
200904,0.68,0.88
200905,5.33,6.05
200906,-0.70,-1.04
200907,-0.74,-0.16
200908,-0.87,-0.96
200909,-1.00,-0.62
200910,-2.09,-1.78
200911,-0.76,-0.54
200912,2.99,3.27
