Georgia, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,5.77,1.27
199002,5.44,1.09
199003,5.25,0.59
199004,1.90,-1.81
199005,3.13,-0.14
199006,1.68,-3.22
199007,4.34,-0.71
199008,4.07,-0.95
199009,2.09,-1.97
199010,6.08,2.77
199011,1.75,-1.45
199012,3.35,-1.02
199101,9.53,5.03
199102,2.20,-2.15
199103,7.77,3.11
199104,5.06,1.35
199105,6.01,2.74
199106,5.55,0.65
199107,7.64,2.59
199108,6.40,1.38
199109,1.65,-2.41
199110,0.83,-2.48
199111,1.74,-1.46
199112,3.46,-0.91
199201,6.13,1.63
199202,5.31,0.96
199203,4.99,0.33
199204,2.32,-1.39
199205,2.17,-1.10
199206,5.96,1.06
199207,5.20,0.15
199208,7.44,2.42
199209,4.26,0.20
199210,3.47,0.16
199211,7.83,4.63
199212,3.66,-0.71
199301,6.54,2.04
199302,3.80,-0.55
199303,7.04,2.38
199304,2.50,-1.21
199305,2.29,-0.98
199306,3.25,-1.65
199307,3.11,-1.94
199308,3.15,-1.87
199309,3.02,-1.04
199310,4.31,1.00
199311,3.70,0.50
199312,3.15,-1.22
199401,5.37,0.87
199402,3.56,-0.79
199403,6.59,1.93
199404,2.92,-0.79
199405,2.21,-1.06
199406,7.64,2.74
199407,8.95,3.90
199408,5.60,0.58
199409,4.01,-0.05
199410,8.05,4.74
199411,3.22,0.02
199412,3.11,-1.26
199501,4.50,0.00
199502,6.09,1.74
199503,3.16,-1.50
199504,1.99,-1.72
199505,2.45,-0.82
199506,6.16,1.26
199507,3.50,-1.55
199508,6.67,1.65
199509,3.38,-0.68
199510,5.05,1.74
199511,3.98,0.78
199512,2.74,-1.63
199601,5.40,0.90
199602,3.19,-1.16
199603,7.47,2.81
199604,3.43,-0.28
199605,2.65,-0.62
199606,3.15,-1.75
199607,4.21,-0.84
199608,5.19,0.17
199609,4.41,0.35
199610,3.30,-0.01
199611,2.46,-0.74
199612,3.84,-0.53
199701,5.59,1.09
199702,5.66,1.31
199703,2.78,-1.88
199704,4.74,1.03
199705,3.30,0.03
199706,4.84,-0.06
199707,4.87,-0.18
199708,2.92,-2.10
199709,4.90,0.84
199710,5.70,2.39
199711,5.63,2.43
199712,6.36,1.99
199801,5.98,1.48
199802,7.61,3.26
199803,6.15,1.49
199804,6.33,2.62
199805,2.72,-0.55
199806,2.66,-2.24
199807,4.69,-0.36
199808,4.04,-0.98
199809,7.10,3.04
199810,1.40,-1.91
199811,1.68,-1.52
199812,2.54,-1.83
199901,5.33,0.83
199902,2.98,-1.37
199903,2.45,-2.21
199904,1.97,-1.74
199905,2.81,-0.46
199906,6.14,1.24
199907,4.91,-0.14
199908,3.14,-1.88
199909,3.89,-0.17
199910,2.80,-0.51
199911,2.26,-0.94
199912,2.18,-2.19
200001,4.68,0.18
200002,1.80,-2.55
200003,4.74,0.08
200004,2.70,-1.01
200005,1.00,-2.27
200006,3.89,-1.01
200007,3.55,-1.50
200008,4.22,-0.80
200009,6.68,2.62
200010,0.48,-2.83
200011,4.30,1.10
200012,3.34,-1.03
200101,2.83,-1.67
200102,2.02,-2.33
200103,8.97,4.31
200104,1.84,-1.87
200105,2.70,-0.57
200106,7.38,2.48
200107,5.23,0.18
200108,2.93,-2.09
200109,3.92,-0.14
200110,0.86,-2.45
200111,1.37,-1.83
200112,1.75,-2.62
200201,4.11,-0.39
200202,2.33,-2.02
200203,5.60,0.94
200204,2.18,-1.53
200205,3.15,-0.12
200206,3.51,-1.39
200207,4.42,-0.63
200208,3.72,-1.30
200209,6.13,2.07
200210,4.43,1.12
200211,4.88,1.68
200212,5.26,0.89
200301,1.77,-2.73
200302,5.31,0.96
200303,7.33,2.67
200304,4.73,1.02
200305,6.33,3.06
200306,7.22,2.32
200307,7.59,2.54
200308,5.78,0.76
200309,2.88,-1.18
200310,2.99,-0.32
200311,2.82,-0.38
200312,2.48,-1.89
200401,2.85,-1.65
200402,5.34,0.99
200403,0.92,-3.74
200404,2.10,-1.61
200405,3.00,-0.27
200406,7.32,2.42
200407,4.31,-0.74
200408,4.78,-0.24
200409,12.02,7.96
200410,1.85,-1.46
200411,4.65,1.45
200412,3.02,-1.35
200501,2.22,-2.28
200502,4.31,-0.04
200503,6.93,2.27
200504,4.96,1.25
200505,3.03,-0.24
200506,7.62,2.72
200507,8.22,3.17
200508,6.04,1.02
200509,0.99,-3.07
200510,3.31,0.00
200511,2.92,-0.28
200512,4.19,-0.18
200601,4.10,-0.40
200602,4.35,0.00
200603,1.54,-3.12
200604,2.48,-1.23
200605,2.66,-0.61
200606,3.58,-1.32
200607,3.05,-2.00
200608,4.35,-0.67
200609,3.41,-0.65
200610,3.01,-0.30
200611,3.01,-0.19
200612,3.46,-0.91
200701,4.24,-0.26
200702,2.74,-1.61
200703,2.17,-2.49
200704,1.79,-1.92
200705,0.59,-2.68
200706,4.49,-0.41
200707,5.33,0.28
200708,4.06,-0.96
200709,3.10,-0.96
200710,2.72,-0.59
200711,1.32,-1.88
200712,5.52,1.15
200801,3.40,-1.10
200802,5.67,1.32
200803,3.63,-1.03
200804,3.24,-0.47
200805,2.61,-0.66
200806,2.52,-2.38
200807,4.87,-0.18
200808,7.45,2.43
200809,1.19,-2.87
200810,4.44,1.13
200811,3.59,0.39
200812,4.38,0.01
200901,2.65,-1.85
200902,2.29,-2.06
200903,6.62,1.96
200904,6.73,3.02
200905,6.39,3.12
200906,2.81,-2.09
200907,3.62,-1.43
200908,5.65,0.63
200909,5.95,1.89
200910,5.75,2.44
200911,3.94,0.74
200912,9.08,4.71
201001,6.05,1.55
201002,3.57,-0.78
201003,3.68,-0.98
201004,2.36,-1.35
201005,5.15,1.88
201006,4.27,-0.63
201007,3.71,-1.34
201008,5.15,0.13
201009,3.27,-0.79
201010,1.48,-1.83
201011,2.08,-1.12
201012,2.27,-2.10
201101,3.33,-1.17
201102,3.70,-0.65
201103,5.97,1.31
201104,2.84,-0.87
201105,1.15,-2.12
201106,3.63,-1.27
201107,4.54,-0.51
201108,2.44,-2.58
201109,3.86,-0.20
201110,2.59,-0.72
201111,2.83,-0.37
201112,3.23,-1.14
201201,3.04,-1.46
201202,2.92,-1.43
201203,4.24,-0.42
201204,1.59,-2.12
201205,3.99,0.72
201206,4.73,-0.17
201207,4.44,-0.61
201208,6.25,1.23
201209,2.91,-1.15
201210,1.91,-1.40
201211,1.07,-2.13
201212,4.93,0.56
201301,3.32,-1.18
201302,9.62,5.27
201303,3.99,-0.67
201304,5.09,1.38
201305,3.78,0.51
201306,7.56,2.66
201307,9.60,4.55
201308,7.60,2.58
201309,2.37,-1.69
201310,0.94,-2.37
201311,3.23,0.03
201312,6.39,2.02
201401,3.33,-1.17
201402,4.06,-0.29
201403,4.41,-0.25
201404,7.35,3.64
201405,3.87,0.60
201406,3.64,-1.26
201407,3.96,-1.09
201408,3.37,-1.65
201409,4.97,0.91
201410,2.78,-0.53
201411,4.36,1.16
201412,5.31,0.94
201501,3.64,-0.86
201502,4.49,0.14
201503,2.81,-1.85
201504,6.20,2.49
201505,2.17,-1.10
201506,4.25,-0.65
201507,4.65,-0.40
201508,5.78,0.76
201509,3.75,-0.31
201510,3.23,-0.08
201511,6.28,3.08
201512,8.49,4.12
201601,3.78,-0.72
201602,4.87,0.52
201603,3.03,-1.63
201604,4.16,0.45
201605,2.78,-0.49
201606,4.02,-0.88
201607,2.75,-2.30
201608,4.00,-1.02
201609,3.49,-0.57
201610,1.39,-1.92
201611,0.95,-2.25
201612,5.68,1.31
201701,7.72,3.22
201702,2.09,-2.26
201703,2.11,-2.55
201704,3.74,0.03
201705,5.60,2.33
201706,6.36,1.46
201707,4.86,-0.19
201708,4.58,-0.44
201709,5.01,0.95
201710,3.54,0.23
201711,1.00,-2.20
201712,3.19,-1.18
201801,2.82,-1.68
201802,4.29,-0.06
201803,3.55,-1.11
201804,4.16,0.45
201805,6.67,3.40
201806,5.06,0.16
201807,6.26,1.21
201808,5.54,0.52
201809,2.75,-1.31
201810,3.83,0.52
201811,6.24,3.04
201812,9.63,5.26
201901,4.94,0.44
201902,3.26,-1.09
201903,2.95,-1.71
201904,3.93,0.22
201905,2.30,-0.97
201906,5.95,1.05
201907,3.93,-1.12
201908,4.53,-0.49
201909,0.89,-3.17
201910,5.49,2.18
201911,3.18,-0.02
201912,6.54,2.17
202001,4.94,0.44
202002,8.81,4.46
202003,5.31,0.65
202004,7.59,3.88
202005,3.18,-0.09
202006,3.75,-1.15
202007,3.95,-1.10
202008,6.91,1.89
202009,6.48,2.42
202010,3.45,0.14
202011,2.99,-0.21
202012,3.10,-1.27
202101,4.60,0.10
202102,5.67,1.32
202103,4.89,0.23
202104,3.65,-0.06
202105,2.83,-0.44
202106,6.17,1.27
202107,7.29,2.24
202108,6.82,1.80
202109,5.31,1.25
202110,4.41,1.10
202111,1.11,-2.09
202112,4.21,-0.16
202201,3.97,-0.53
