Georgia, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,1.21,1.06
199002,0.46,0.69
199003,-0.28,0.33
199004,-1.92,-1.56
199005,-0.79,-0.09
199006,-3.14,-3.58
199007,-2.36,-1.60
199008,-2.11,-2.00
199009,-2.80,-2.93
199010,2.84,2.30
199011,-1.32,-1.61
199012,-1.02,-1.20
199101,5.31,5.16
199102,-2.56,-2.33
199103,2.10,2.71
199104,0.56,0.92
199105,1.89,2.59
199106,1.80,1.36
199107,2.61,3.37
199108,2.71,2.82
199109,-1.42,-1.55
199110,-1.74,-2.28
199111,-1.08,-1.37
199112,-1.01,-1.19
199201,1.95,1.80
199202,0.61,0.84
199203,-0.11,0.50
199204,-1.40,-1.04
199205,-1.24,-0.54
199206,2.19,1.75
199207,-0.09,0.67
199208,3.68,3.79
199209,1.48,1.35
199210,1.91,1.37
199211,5.95,5.66
199212,0.04,-0.14
199301,2.07,1.92
199302,-0.49,-0.26
199303,2.01,2.62
199304,-0.94,-0.58
199305,-1.43,-0.73
199306,-1.42,-1.86
199307,-3.70,-2.94
199308,-3.07,-2.96
199309,-1.85,-1.98
199310,1.18,0.64
199311,0.78,0.49
199312,-0.64,-0.82
199401,1.42,1.27
199402,-1.12,-0.89
199403,1.10,1.71
199404,-1.38,-1.02
199405,-1.37,-0.67
199406,3.55,3.11
199407,4.47,5.23
199408,2.05,2.16
199409,1.44,1.31
199410,6.67,6.13
199411,0.55,0.26
199412,-0.71,-0.89
199501,0.31,0.16
199502,1.80,2.03
199503,-2.18,-1.57
199504,-2.12,-1.76
199505,-1.94,-1.24
199506,1.95,1.51
199507,-2.38,-1.62
199508,1.25,1.36
199509,-0.39,-0.52
199510,2.18,1.64
199511,1.78,1.49
199512,-0.71,-0.89
199601,1.32,1.17
199602,-1.33,-1.10
199603,2.54,3.15
199604,-0.26,0.10
199605,-1.65,-0.95
199606,-1.38,-1.82
199607,-2.05,-1.29
199608,0.13,0.24
199609,0.44,0.31
199610,0.57,0.03
199611,-0.38,-0.67
199612,-0.37,-0.55
199701,1.29,1.14
199702,1.03,1.26
199703,-2.98,-2.37
199704,1.15,1.51
199705,0.11,0.81
199706,1.48,1.04
199707,-0.30,0.46
199708,-1.53,-1.42
199709,1.00,0.87
199710,3.32,2.78
199711,3.88,3.59
199712,2.64,2.46
