Idaho, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,26.9,1.7
199002,24.9,-3.0
199003,36.1,0.8
199004,46.1,4.5
199005,47.3,-2.7
199006,57.2,-0.5
199007,66.4,-0.2
199008,64.6,-0.6
199009,61.7,5.1
199010,42.7,-1.5
199011,33.1,0.4
199012,14.5,-9.9
199101,20.9,-4.3
199102,34.4,6.5
199103,33.2,-2.1
199104,39.4,-2.2
199105,46.5,-3.5
199106,54.7,-3.0
199107,66.3,-0.3
199108,67.1,1.9
199109,57.0,0.4
199110,44.3,0.1
199111,29.7,-3.0
199112,25.8,1.4
199201,26.0,0.8
199202,34.4,6.5
199203,41.0,5.7
199204,45.7,4.1
199205,55.3,5.3
199206,60.4,2.7
199207,62.4,-4.2
199208,64.9,-0.3
199209,54.2,-2.4
199210,47.2,3.0
199211,28.0,-4.7
199212,20.2,-4.2
199301,19.1,-6.1
199302,22.5,-5.4
199303,35.0,-0.3
199304,39.6,-2.0
199305,53.8,3.8
199306,53.6,-4.1
199307,56.2,-10.4
199308,59.7,-5.5
199309,54.6,-2.0
199310,45.1,0.9
199311,26.6,-6.1
199312,25.1,0.7
199401,28.7,3.5
199402,25.2,-2.7
199403,37.4,2.1
199404,43.9,2.3
199405,52.7,2.7
199406,58.4,0.7
199407,67.2,0.6
199408,67.0,1.8
199409,58.9,2.3
199410,42.8,-1.4
199411,25.2,-7.5
199412,24.5,0.1
199501,26.6,1.4
199502,33.3,5.4
199503,33.8,-1.5
199504,39.8,-1.8
199505,48.3,-1.7
199506,54.4,-3.3
199507,63.4,-3.2
199508,62.5,-2.7
199509,56.8,0.2
199510,41.5,-2.7
199511,36.6,3.9
199512,26.8,2.4
199601,24.0,-1.2
199602,27.0,-0.9
199603,34.8,-0.5
199604,41.4,-0.2
199605,46.5,-3.5
199606,58.3,0.6
199607,67.0,0.4
199608,64.5,-0.7
199609,52.5,-4.1
199610,43.4,-0.8
199611,33.4,0.7
199612,25.3,0.9
199701,24.1,-1.1
199702,26.8,-1.1
199703,34.6,-0.7
199704,38.5,-3.1
199705,52.3,2.3
199706,57.2,-0.5
199707,62.9,-3.7
199708,65.0,-0.2
199709,57.4,0.8
199710,42.8,-1.4
199711,33.8,1.1
199712,23.4,-1.0
199801,27.9,2.7
199802,29.4,1.5
199803,34.0,-1.3
199804,41.3,-0.3
199805,49.0,-1.0
199806,53.6,-4.1
199807,69.1,2.5
199808,67.0,1.8
199809,60.4,3.8
199810,43.3,-0.9
199811,34.3,1.6
199812,22.6,-1.8
199901,27.1,1.9
199902,27.0,-0.9
199903,33.8,-1.5
199904,38.7,-2.9
199905,46.6,-3.4
199906,55.6,-2.1
199907,63.7,-2.9
199908,65.4,0.2
199909,54.2,-2.4
199910,46.2,2.0
199911,38.8,6.1
199912,25.9,1.5
200001,25.7,0.5
200002,32.0,4.1
200003,34.5,-0.8
200004,45.3,3.7
200005,50.3,0.3
200006,58.6,0.9
200007,66.5,-0.1
200008,66.3,1.1
200009,54.0,-2.6
200010,44.1,-0.1
200011,25.7,-7.0
200012,24.2,-0.2
200101,23.0,-2.2
200102,25.1,-2.8
200103,36.6,1.3
200104,40.1,-1.5
200105,52.6,2.6
200106,57.4,-0.3
200107,65.6,-1.0
200108,68.2,3.0
200109,59.4,2.8
200110,44.6,0.4
200111,36.2,3.5
200112,22.1,-2.3
200201,23.2,-2.0
200202,23.9,-4.0
200203,30.1,-5.2
200204,41.5,-0.1
200205,48.7,-1.3
200206,58.8,1.1
200207,69.0,2.4
200208,61.8,-3.4
200209,55.9,-0.7
200210,41.0,-3.2
200211,32.8,0.1
200212,28.8,4.4
200301,31.4,6.2
200302,27.1,-0.8
200303,36.3,1.0
200304,40.8,-0.8
200305,49.9,-0.1
200306,59.1,1.4
200307,70.4,3.8
200308,67.7,2.5
200309,56.7,0.1
200310,48.7,4.5
200311,28.2,-4.5
200312,28.1,3.7
200401,22.8,-2.4
200402,26.3,-1.6
200403,39.3,4.0
200404,44.6,3.0
200405,48.9,-1.1
200406,58.4,0.7
200407,66.3,-0.3
200408,63.7,-1.5
200409,53.7,-2.9
200410,44.6,0.4
200411,32.7,0.0
200412,28.5,4.1
200501,26.5,1.3
200502,28.5,0.6
200503,35.9,0.6
