Idaho, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,-0.51,-0.25
199002,-0.77,-0.38
199003,-2.14,-1.76
199004,0.15,-0.16
199005,2.41,2.07
199006,-0.53,-0.28
199007,0.24,0.69
199008,1.00,1.61
199009,-2.31,-1.78
199010,0.74,0.50
199011,-0.13,0.36
199012,-1.35,-1.19
199101,-1.87,-1.61
199102,-2.83,-2.44
199103,1.04,1.42
199104,1.51,1.20
199105,2.78,2.44
199106,0.53,0.78
199107,0.56,1.01
199108,-0.76,-0.15
199109,-0.80,-0.27
199110,-0.71,-0.95
199111,1.30,1.79
199112,-1.47,-1.31
199201,-2.63,-2.37
199202,-1.52,-1.13
199203,-4.53,-4.15
199204,-0.86,-1.17
199205,-3.71,-4.05
199206,-0.59,-0.34
199207,-0.48,-0.03
199208,-1.35,-0.74
199209,-0.20,0.33
199210,-0.95,-1.19
199211,-0.69,-0.20
199212,-0.08,0.08
199301,-0.01,0.25
199302,-1.07,-0.68
199303,0.80,1.18
199304,2.67,2.36
199305,-0.55,-0.89
199306,3.14,3.39
199307,4.04,4.49
199308,4.07,4.68
199309,-0.83,-0.30
199310,-0.64,-0.88
199311,-2.11,-1.62
199312,-2.21,-2.05
199401,-2.60,-2.34
199402,0.16,0.55
199403,-3.72,-3.34
199404,-0.50,-0.81
199405,-0.68,-1.02
199406,-1.46,-1.21
199407,-1.83,-1.38
199408,-2.25,-1.64
199409,-1.89,-1.36
199410,1.19,0.95
199411,1.34,1.83
199412,0.13,0.29
199501,1.56,1.82
199502,-1.37,-0.98
199503,3.22,3.60
199504,1.10,0.79
199505,1.92,1.58
199506,2.98,3.23
199507,3.03,3.48
199508,2.17,2.78
199509,-0.43,0.10
199510,0.99,0.75
199511,2.54,3.03
199512,2.67,2.83
199601,2.36,2.62
199602,1.47,1.86
199603,-0.83,-0.45
199604,2.03,1.72
199605,3.68,3.34
199606,-1.90,-1.65
199607,-1.22,-0.77
199608,-1.91,-1.30
199609,-0.45,0.08
199610,0.42,0.18
199611,1.38,1.87
199612,7.00,7.16
199701,2.94,3.20
199702,-1.41,-1.02
199703,0.30,0.68
199704,1.89,1.58
199705,-1.25,-1.59
199706,0.37,0.62
199707,1.93,2.38
199708,1.28,1.89
199709,0.91,1.44
199710,1.28,1.04
199711,-1.04,-0.55
199712,-2.17,-2.01
199801,1.14,1.40
199802,-0.70,-0.31
199803,-0.45,-0.07
199804,-0.30,-0.61
199805,4.83,4.49
199806,2.32,2.57
199807,2.54,2.99
199808,-0.29,0.32
199809,0.74,1.27
199810,-1.43,-1.67
199811,1.39,1.88
199812,0.80,0.96
199901,1.22,1.48
199902,3.88,4.27
199903,-1.47,-1.09
199904,-0.14,-0.45
199905,0.83,0.49
199906,0.37,0.62
199907,-0.08,0.37
199908,0.35,0.96
199909,-1.94,-1.41
199910,-1.37,-1.61
199911,-2.18,-1.69
199912,-1.55,-1.39
200001,-0.21,0.05
200002,1.25,1.64
200003,-1.05,-0.67
200004,-1.66,-1.97
200005,-0.26,-0.60
200006,-1.93,-1.68
200007,-2.31,-1.86
200008,-2.44,-1.83
200009,0.68,1.21
200010,1.75,1.51
200011,-1.67,-1.18
200012,-2.32,-2.16
200101,-3.40,-3.14
200102,-2.72,-2.33
200103,-2.18,-1.80
200104,0.92,0.61
200105,-2.50,-2.84
200106,-1.30,-1.05
200107,-0.75,-0.30
200108,-2.40,-1.79
200109,-1.68,-1.15
200110,0.68,0.44
200111,-0.94,-0.45
200112,0.25,0.41
200201,0.47,0.73
200202,-1.89,-1.50
200203,0.47,0.85
200204,0.00,-0.31
200205,-0.82,-1.16
200206,-0.95,-0.70
200207,-1.66,-1.21
200208,-1.56,-0.95
200209,-0.69,-0.16
200210,-1.57,-1.81
200211,-2.38,-1.89
200212,-1.17,-1.01
200301,-0.45,-0.19
200302,-0.65,-0.26
200303,1.18,1.56
200304,1.16,0.85
200305,-0.15,-0.49
200306,-2.33,-2.08
200307,-2.76,-2.31
200308,-1.45,-0.84
200309,-1.48,-0.95
200310,-2.52,-2.76
200311,-1.03,-0.54
200312,0.05,0.21
200401,0.04,0.30
200402,-0.32,0.07
200403,-3.71,-3.33
200404,-1.75,-2.06
200405,2.67,2.33
200406,-0.70,-0.45
200407,0.37,0.82
200408,2.29,2.90
200409,0.89,1.42
200410,1.21,0.97
200411,-1.51,-1.02
200412,-0.96,-0.80
200501,-1.89,-1.63
200502,-3.02,-2.63
200503,-0.38,0.00
200504,0.39,0.08
200505,3.70,3.36
200506,1.63,1.88
200507,0.76,1.21
200508,-0.91,-0.30
200509,-0.56,-0.03
200510,-0.06,-0.30
200511,0.21,0.70
200512,1.87,2.03
200601,3.35,3.61
200602,-1.05,-0.66
200603,0.93,1.31
200604,1.70,1.39
200605,-1.23,-1.57
200606,-0.75,-0.50
200607,-2.03,-1.58
200608,-2.14,-1.53
200609,-0.22,0.31
200610,-0.21,-0.45
200611,2.11,2.60
200612,0.25,0.41
200701,-1.83,-1.57
200702,0.16,0.55
200703,-2.95,-2.57
200704,-1.02,-1.33
200705,-2.26,-2.60
