Illinois, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,2.05,-0.22
199002,4.02,1.86
199003,3.35,0.36
199004,2.85,-1.31
199005,7.91,3.06
199006,6.44,1.72
199007,4.11,0.02
199008,3.81,0.24
199009,1.84,-1.43
199010,4.18,0.81
199011,4.08,1.04
199012,5.30,2.78
199101,1.60,-0.67
199102,0.96,-1.20
199103,3.98,0.99
199104,3.38,-0.78
199105,4.99,0.14
199106,1.62,-3.10
199107,2.06,-2.03
199108,2.70,-0.87
199109,3.13,-0.14
199110,5.96,2.59
199111,3.65,0.61
199112,2.09,-0.43
199201,1.18,-1.09
199202,1.46,-0.70
199203,2.54,-0.45
199204,2.93,-1.23
199205,1.28,-3.57
199206,1.72,-3.00
199207,7.61,3.52
199208,1.90,-1.67
199209,4.69,1.42
199210,1.31,-2.06
199211,6.51,3.47
199212,2.68,0.16
199301,3.67,1.40
199302,1.78,-0.38
199303,3.05,0.06
199304,5.13,0.97
199305,3.29,-1.56
199306,6.85,2.13
199307,6.61,2.52
199308,5.05,1.48
199309,7.54,4.27
199310,2.46,-0.91
199311,4.22,1.18
199312,1.53,-0.99
199401,1.87,-0.40
199402,1.70,-0.46
199403,1.31,-1.68
199404,6.14,1.98
199405,2.15,-2.70
199406,4.16,-0.56
199407,2.73,-1.36
199408,3.58,0.01
199409,2.38,-0.89
199410,2.03,-1.34
199411,5.54,2.50
199412,1.92,-0.60
199501,3.17,0.90
199502,1.00,-1.16
199503,2.46,-0.53
199504,4.47,0.31
199505,8.89,4.04
199506,3.53,-1.19
199507,2.97,-1.12
199508,4.18,0.61
199509,1.28,-1.99
199510,3.02,-0.35
199511,2.53,-0.51
199512,1.41,-1.11
199601,2.32,0.05
199602,0.80,-1.36
199603,2.09,-0.90
199604,5.03,0.87
199605,7.74,2.89
199606,4.24,-0.48
199607,4.35,0.26
199608,2.02,-1.55
199609,2.94,-0.33
199610,2.40,-0.97
199611,3.19,0.15
199612,1.70,-0.82
199701,2.49,0.22
199702,3.90,1.74
199703,3.00,0.01
199704,2.26,-1.90
199705,4.03,-0.82
199706,3.76,-0.96
199707,2.21,-1.88
199708,4.76,1.19
199709,2.38,-0.89
199710,1.94,-1.43
199711,2.46,-0.58
199712,1.91,-0.61
199801,2.74,0.47
199802,2.53,0.37
199803,4.58,1.59
199804,4.93,0.77
199805,4.78,-0.07
199806,7.64,2.92
199807,3.47,-0.62
199808,3.30,-0.27
199809,2.28,-0.99
199810,4.23,0.86
199811,2.45,-0.59
199812,1.56,-0.96
199901,4.21,1.94
199902,2.42,0.26
199903,1.72,-1.27
199904,5.53,1.37
199905,3.68,-1.17
199906,5.28,0.56
199907,2.93,-1.16
199908,2.79,-0.78
199909,2.18,-1.09
199910,1.69,-1.68
199911,0.53,-2.51
199912,2.75,0.23
200001,1.53,-0.74
200002,2.53,0.37
200003,2.03,-0.96
200004,2.99,-1.17
200005,4.40,-0.45
200006,7.34,2.62
200007,4.36,0.27
200008,3.56,-0.01
200009,3.81,0.54
200010,2.10,-1.27
200011,3.18,0.14
200012,1.94,-0.58
200101,1.72,-0.55
200102,3.19,1.03
200103,1.22,-1.77
200104,2.84,-1.32
200105,4.35,-0.50
200106,3.81,-0.91
200107,3.78,-0.31
200108,4.07,0.50
200109,3.37,0.10
200110,6.08,2.71
200111,2.62,-0.42
200112,2.60,0.08
200201,2.22,-0.05
200202,1.83,-0.33
200203,3.36,0.37
200204,5.11,0.95
200205,7.34,2.49
200206,4.02,-0.70
200207,2.60,-1.49
200208,4.19,0.62
200209,2.11,-1.16
200210,3.07,-0.30
200211,1.04,-2.00
200212,2.17,-0.35
200301,0.65,-1.62
200302,1.83,-0.33
200303,1.98,-1.01
200304,3.18,-0.98
200305,5.50,0.65
200306,3.79,-0.93
200307,5.00,0.91
200308,2.55,-1.02
200309,4.25,0.98
200310,1.98,-1.39
200311,4.51,1.47
200312,2.56,0.04
200401,1.98,-0.29
200402,0.76,-1.40
200403,4.14,1.15
200404,1.80,-2.36
200405,6.83,1.98
200406,3.17,-1.55
200407,4.13,0.04
200408,5.08,1.51
200409,0.68,-2.59
200410,4.84,1.47
200411,4.76,1.72
200412,1.80,-0.72
200501,5.34,3.07
200502,1.88,-0.28
200503,1.56,-1.43
200504,2.57,-1.59
200505,1.74,-3.11
200506,1.87,-2.85
200507,3.23,-0.86
200508,3.68,0.11
200509,3.63,0.36
200510,1.26,-2.11
200511,3.51,0.47
200512,1.16,-1.36
200601,2.74,0.47
200602,0.88,-1.28
200603,4.58,1.59
200604,3.79,-0.37
200605,3.58,-1.27
200606,2.98,-1.74
200607,4.09,0.00
200608,4.05,0.48
200609,3.43,0.16
200610,3.80,0.43
200611,3.32,0.28
200612,3.40,0.88
200701,2.93,0.66
200702,2.31,0.15
200703,3.21,0.22
200704,3.52,-0.64
200705,2.24,-2.61
200706,4.13,-0.59
200707,3.31,-0.78
200708,4.36,0.79
200709,1.59,-1.68
200710,3.50,0.13
200711,1.72,-1.32
200712,3.87,1.35
200801,2.43,0.16
200802,4.40,2.24
200803,4.53,1.54
200804,4.34,0.18
200805,5.36,0.51
200806,5.49,0.77
200807,5.91,1.82
200808,1.93,-1.64
200809,7.62,4.35
200810,2.42,-0.95
200811,1.49,-1.55
200812,4.25,1.73
200901,1.01,-1.26
200902,2.43,0.27
200903,4.05,1.06
200904,6.16,2.00
200905,5.65,0.80
200906,5.12,0.40
200907,4.59,0.50
200908,4.72,1.15
200909,2.28,-0.99
200910,8.49,5.12
200911,2.48,-0.56
200912,3.98,1.46
201001,1.44,-0.83
201002,1.53,-0.63
201003,2.74,-0.25
201004,3.36,-0.80
201005,5.40,0.55
201006,7.71,2.99
201007,5.35,1.26
201008,3.18,-0.39
201009,3.73,0.46
201010,1.32,-2.05
201011,3.15,0.11
201012,1.77,-0.75
201101,1.19,-1.08
201102,3.24,1.08
201103,2.72,-0.27
201104,7.62,3.46
201105,5.28,0.43
201106,6.69,1.97
201107,3.61,-0.48
201108,1.87,-1.70
201109,3.56,0.29
201110,1.80,-1.57
201111,5.17,2.13
201112,3.35,0.83
201201,1.89,-0.38
201202,1.48,-0.68
201203,2.08,-0.91
201204,3.13,-1.03
201205,2.47,-2.38
201206,1.73,-2.99
201207,1.40,-2.69
201208,3.50,-0.07
201209,5.04,1.77
201210,3.93,0.56
201211,1.21,-1.83
201212,2.25,-0.27
201301,3.81,1.54
201302,2.65,0.49
201303,2.61,-0.38
201304,6.93,2.77
201305,6.57,1.72
201306,5.33,0.61
201307,3.16,-0.93
201308,1.44,-2.13
201309,1.69,-1.58
201310,3.33,-0.04
201311,2.49,-0.55
201312,2.48,-0.04
201401,1.72,-0.55
201402,2.22,0.06
201403,1.46,-1.53
201404,5.15,0.99
201405,3.29,-1.56
201406,6.77,2.05
201407,3.29,-0.80
201408,5.19,1.62
201409,4.11,0.84
201410,4.33,0.96
201411,1.86,-1.18
201412,1.90,-0.62
201501,1.50,-0.77
201502,1.43,-0.73
201503,2.35,-0.64
201504,3.41,-0.75
201505,5.39,0.54
201506,9.44,4.72
201507,5.21,1.12
201508,3.02,-0.55
201509,3.42,0.15
201510,1.44,-1.93
201511,5.52,2.48
201512,6.67,4.15
201601,0.86,-1.41
201602,1.31,-0.85
201603,3.35,0.36
201604,3.30,-0.86
201605,4.34,-0.51
201606,3.13,-1.59
201607,6.90,2.81
201608,6.77,3.20
201609,3.42,0.15
201610,2.38,-0.99
201611,2.59,-0.45
201612,1.40,-1.12
201701,2.13,-0.14
201702,0.73,-1.43
201703,3.56,0.57
201704,6.88,2.72
201705,5.17,0.32
201706,3.19,-1.53
201707,4.81,0.72
201708,2.40,-1.17
201709,0.83,-2.44
201710,5.00,1.63
201711,2.26,-0.78
201712,0.84,-1.68
201801,1.30,-0.97
201802,4.88,2.72
201803,3.91,0.92
201804,2.42,-1.74
201805,3.80,-1.05
201806,6.29,1.57
201807,3.44,-0.65
201808,4.91,1.34
201809,4.90,1.63
201810,3.68,0.31
201811,3.01,-0.03
201812,3.25,0.73
201901,3.31,1.04
201902,3.21,1.05
201903,4.06,1.07
201904,4.58,0.42
201905,8.16,3.31
201906,5.16,0.44
201907,3.05,-1.04
201908,4.05,0.48
201909,5.00,1.73
201910,5.00,1.63
201911,2.40,-0.64
201912,1.88,-0.64
202001,4.36,2.09
202002,2.01,-0.15
202003,3.95,0.96
202004,4.32,0.16
202005,5.28,0.43
202006,3.61,-1.11
202007,5.61,1.52
202008,1.91,-1.66
202009,3.26,-0.01
202010,2.97,-0.40
202011,2.95,-0.09
202012,1.71,-0.81
202101,2.47,0.20
202102,1.67,-0.49
202103,3.99,1.00
202104,3.04,-1.12
202105,4.30,-0.55
202106,5.18,0.46
202107,4.98,0.89
202108,3.75,0.18
202109,2.30,-0.97
202110,6.02,2.65
202111,0.87,-2.17
202112,2.53,0.01
202201,1.06,-1.21
