Indiana, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,36.6,8.6
199002,36.6,5.2
199003,44.4,3.1
199004,50.3,-1.7
199005,58.6,-3.7
199006,70.3,-1.0
199007,72.8,-1.4
199008,70.8,-1.9
199009,66.3,0.2
199010,52.7,-1.9
199011,46.6,4.2
199012,33.5,0.7
199101,26.3,-1.7
199102,34.2,2.8
199103,43.2,1.9
199104,54.8,2.8
199105,68.3,6.0
199106,73.9,2.6
199107,75.6,1.4
199108,73.4,0.7
199109,65.4,-0.7
199110,56.3,1.7
199111,38.7,-3.7
199112,34.4,1.6
199201,30.4,2.4
199202,37.0,5.6
199203,41.1,-0.2
199204,50.3,-1.7
199205,59.6,-2.7
199206,66.6,-4.7
199207,72.5,-1.7
199208,67.9,-4.8
199209,63.7,-2.4
199210,52.2,-2.4
199211,42.1,-0.3
199212,32.0,-0.8
199301,30.3,2.3
199302,26.4,-5.0
199303,37.0,-4.3
199304,49.2,-2.8
199305,62.2,-0.1
199306,69.4,-1.9
199307,76.2,2.0
199308,73.7,1.0
199309,61.5,-4.6
199310,51.1,-3.5
199311,41.0,-1.4
199312,31.3,-1.5
199401,20.2,-7.8
199402,27.9,-3.5
199403,39.6,-1.7
199404,52.8,0.8
199405,58.4,-3.9
199406,72.8,1.5
199407,73.4,-0.8
199408,69.5,-3.2
199409,64.3,-1.8
199410,55.1,0.5
199411,46.9,4.5
199412,37.0,4.2
199501,28.1,0.1
199502,29.3,-2.1
199503,43.4,2.1
199504,50.4,-1.6
199505,60.1,-2.2
199506,71.6,0.3
199507,75.2,1.0
199508,77.9,5.2
199509,63.2,-2.9
199510,55.1,0.5
199511,36.3,-6.1
199512,27.3,-5.5
199601,25.2,-2.8
199602,30.4,-1.0
199603,34.1,-7.2
199604,48.1,-3.9
199605,60.8,-1.5
199606,70.8,-0.5
199607,71.5,-2.7
199608,72.7,0.0
199609,63.9,-2.2
199610,54.4,-0.2
199611,35.7,-6.7
199612,33.0,0.2
199701,23.1,-4.9
199702,34.7,3.3
199703,42.3,1.0
199704,46.9,-5.1
199705,56.2,-6.1
199706,69.2,-2.1
199707,73.8,-0.4
199708,69.8,-2.9
199709,64.8,-1.3
199710,53.6,-1.0
199711,38.6,-3.8
199712,33.0,0.2
199801,34.8,6.8
199802,39.4,8.0
199803,41.3,0.0
199804,52.4,0.4
199805,66.4,4.1
199806,71.1,-0.2
199807,73.6,-0.6
199808,73.7,1.0
199809,69.6,3.5
199810,55.8,1.2
199811,44.9,2.5
199812,36.4,3.6
199901,27.0,-1.0
199902,36.4,5.0
199903,36.7,-4.6
199904,53.6,1.6
199905,63.6,1.3
199906,72.0,0.7
199907,77.9,3.7
199908,71.2,-1.5
199909,65.6,-0.5
199910,53.7,-0.9
199911,47.8,5.4
199912,33.0,0.2
200001,26.6,-1.4
200002,36.7,5.3
200003,45.4,4.1
200004,50.4,-1.6
200005,64.2,1.9
200006,70.4,-0.9
200007,71.8,-2.4
200008,72.0,-0.7
200009,64.4,-1.7
200010,57.2,2.6
200011,40.3,-2.1
200012,19.2,-13.6
200101,26.9,-1.1
200102,33.5,2.1
200103,37.2,-4.1
200104,56.5,4.5
200105,64.0,1.7
200106,69.1,-2.2
200107,73.7,-0.5
200108,73.8,1.1
200109,63.6,-2.5
200110,53.7,-0.9
200111,49.0,6.6
200112,36.9,4.1
200201,34.1,6.1
200202,35.2,3.8
200203,38.3,-3.0
200204,53.5,1.5
200205,58.4,-3.9
200206,72.9,1.6
200207,77.0,2.8
200208,74.8,2.1
200209,69.2,3.1
200210,52.4,-2.2
200211,39.9,-2.5
200212,31.7,-1.1
200301,21.6,-6.4
200302,25.7,-5.7
200303,42.1,0.8
200304,53.2,1.2
200305,60.5,-1.8
200306,67.1,-4.2
200307,73.0,-1.2
200308,73.8,1.1
200309,63.4,-2.7
200310,52.9,-1.7
200311,46.0,3.6
200312,33.5,0.7
200401,24.5,-3.5
200402,29.9,-1.5
200403,44.3,3.0
200404,53.3,1.3
200405,65.9,3.6
200406,69.5,-1.8
200407,72.0,-2.2
200408,68.6,-4.1
200409,67.1,1.0
200410,54.8,0.2
200411,45.9,3.5
200412,30.8,-2.0
200501,29.9,1.9
200502,34.8,3.4
200503,37.3,-4.0
200504,54.0,2.0
200505,59.2,-3.1
200506,73.4,2.1
200507,75.0,0.8
200508,74.9,2.2
200509,69.2,3.1
200510,55.2,0.6
200511,44.6,2.2
200512,26.7,-6.1
200601,39.1,11.1
200602,31.7,0.3
200603,40.7,-0.6
200604,55.7,3.7
200605,60.1,-2.2
200606,69.8,-1.5
200607,75.4,1.2
200608,73.6,0.9
200609,62.5,-3.6
