Kentucky, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,4.05,0.24
199002,6.36,2.40
199003,3.04,-1.66
199004,2.96,-1.66
199005,6.58,1.49
199006,3.36,-1.33
199007,3.79,-1.08
199008,3.79,0.11
199009,3.11,-0.48
199010,4.80,1.23
199011,2.90,-0.58
199012,10.67,6.05
199101,3.40,-0.41
199102,4.84,0.88
199103,5.52,0.82
199104,3.20,-1.42
199105,4.17,-0.92
199106,3.10,-1.59
199107,3.72,-1.15
199108,2.79,-0.89
199109,2.99,-0.60
199110,2.60,-0.97
199111,2.56,-0.92
199112,7.14,2.52
199201,2.43,-1.38
199202,2.43,-1.53
199203,5.13,0.43
199204,1.94,-2.68
199205,4.31,-0.78
199206,4.35,-0.34
199207,6.51,1.64
199208,4.02,0.34
199209,3.56,-0.03
199210,1.48,-2.09
199211,3.72,0.24
199212,2.91,-1.71
199301,3.18,-0.63
199302,3.74,-0.22
199303,4.47,-0.23
199304,3.72,-0.90
199305,3.33,-1.76
199306,4.95,0.26
199307,3.12,-1.75
199308,3.91,0.23
199309,3.93,0.34
199310,4.05,0.48
199311,4.35,0.87
199312,4.12,-0.50
199401,4.80,0.99
199402,4.86,0.90
199403,7.22,2.52
199404,5.71,1.09
199405,3.22,-1.87
199406,3.54,-1.15
199407,4.22,-0.65
199408,3.62,-0.06
199409,2.38,-1.21
199410,2.42,-1.15
199411,3.34,-0.14
199412,3.33,-1.29
199501,4.72,0.91
199502,3.00,-0.96
199503,3.02,-1.68
199504,3.80,-0.82
199505,9.13,4.04
199506,4.37,-0.32
199507,3.19,-1.68
199508,3.59,-0.09
199509,2.62,-0.97
199510,4.65,1.08
199511,3.51,0.03
199512,2.35,-2.27
199601,4.78,0.97
199602,2.40,-1.56
199603,5.06,0.36
199604,5.39,0.77
199605,7.12,2.03
199606,4.83,0.14
199607,5.63,0.76
199608,2.52,-1.16
199609,6.36,2.77
199610,2.90,-0.67
199611,5.00,1.52
199612,4.76,0.14
199701,3.36,-0.45
199702,3.28,-0.68
199703,11.11,6.41
199704,2.45,-2.17
199705,5.45,0.36
199706,7.11,2.42
199707,2.40,-2.47
199708,3.35,-0.33
199709,2.36,-1.23
199710,1.88,-1.69
199711,3.25,-0.23
199712,3.05,-1.57
199801,3.75,-0.06
199802,3.22,-0.74
199803,3.21,-1.49
199804,7.55,2.93
199805,5.08,-0.01
199806,8.86,4.17
199807,4.92,0.05
199808,2.11,-1.57
199809,1.08,-2.51
199810,2.71,-0.86
199811,2.02,-1.46
199812,4.81,0.19
199901,6.70,2.89
199902,2.87,-1.09
199903,3.43,-1.27
199904,3.48,-1.14
199905,2.89,-2.20
199906,4.62,-0.07
199907,2.13,-2.74
199908,1.97,-1.71
199909,1.33,-2.26
199910,2.98,-0.59
199911,2.25,-1.23
199912,3.44,-1.18
200001,3.79,-0.02
200002,4.68,0.72
200003,3.53,-1.17
200004,4.55,-0.07
200005,4.66,-0.43
200006,4.41,-0.28
200007,4.72,-0.15
200008,3.91,0.23
200009,3.49,-0.10
200010,0.88,-2.69
200011,2.82,-0.66
200012,3.85,-0.77
200101,2.09,-1.72
200102,4.22,0.26
200103,2.82,-1.88
200104,1.91,-2.71
200105,4.57,-0.52
200106,3.99,-0.70
200107,6.33,1.46
200108,3.68,0.00
200109,2.59,-1.00
200110,4.40,0.83
200111,4.36,0.88
200112,4.47,-0.15
200201,3.87,0.06
200202,1.60,-2.36
200203,7.41,2.71
200204,4.96,0.34
200205,6.23,1.14
200206,3.75,-0.94
200207,3.40,-1.47
200208,2.28,-1.40
200209,6.15,2.56
200210,5.47,1.90
200211,3.52,0.04
200212,4.87,0.25
200301,1.98,-1.83
200302,6.81,2.85
200303,2.16,-2.54
200304,5.52,0.90
200305,6.80,1.71
200306,6.10,1.41
200307,4.67,-0.20
200308,4.87,1.19
200309,5.75,2.16
200310,2.42,-1.15
200311,5.57,2.09
200312,3.33,-1.29
200401,3.88,0.07
200402,2.63,-1.33
200403,4.23,-0.47
200404,4.65,0.03
200405,8.28,3.19
200406,4.01,-0.68
200407,5.26,0.39
200408,3.97,0.29
200409,3.95,0.36
200410,4.76,1.19
200411,5.68,2.20
200412,4.64,0.02
200501,4.90,1.09
200502,2.57,-1.39
200503,3.76,-0.94
200504,4.86,0.24
200505,2.44,-2.65
200506,2.70,-1.99
200507,4.23,-0.64
200508,6.51,2.83
200509,1.30,-2.29
200510,1.09,-2.48
200511,3.04,-0.44
200512,2.40,-2.22
200601,5.41,1.60
200602,2.22,-1.74
200603,3.55,-1.15
200604,4.45,-0.17
200605,4.30,-0.79
200606,4.00,-0.69
200607,4.53,-0.34
200608,4.63,0.95
200609,8.19,4.60
200610,4.91,1.34
200611,3.22,-0.26
200612,2.96,-1.66
200701,4.18,0.37
200702,2.35,-1.61
200703,2.76,-1.94
200704,3.87,-0.75
200705,2.05,-3.04
200706,3.03,-1.66
200707,4.28,-0.59
200708,1.68,-2.00
200709,2.10,-1.49
200710,5.58,2.01
200711,3.31,-0.17
200712,6.67,2.05
200801,3.23,-0.58
200802,4.56,0.60
200803,6.96,2.26
200804,5.36,0.74
200805,4.97,-0.12
200806,3.31,-1.38
200807,4.65,-0.22
200808,1.61,-2.07
200809,0.90,-2.69
200810,2.29,-1.28
200811,2.60,-0.88
200812,6.07,1.45
200901,4.59,0.78
200902,2.47,-1.49
200903,3.25,-1.45
200904,4.84,0.22
200905,6.61,1.52
200906,5.69,1.00
200907,6.66,1.79
200908,3.12,-0.56
200909,5.49,1.90
200910,6.38,2.81
200911,1.07,-2.41
200912,4.18,-0.44
201001,3.52,-0.29
201002,2.25,-1.71
201003,2.69,-2.01
201004,3.19,-1.43
201005,8.21,3.12
201006,4.25,-0.44
201007,4.58,-0.29
201008,3.44,-0.24
201009,1.81,-1.78
201010,1.69,-1.88
201011,4.90,1.42
201012,3.01,-1.61
201101,2.16,-1.65
201102,4.88,0.92
201103,5.51,0.81
201104,12.07,7.45
201105,6.75,1.66
201106,5.36,0.67
201107,3.94,-0.93
201108,2.31,-1.37
201109,5.89,2.30
201110,2.94,-0.63
201111,7.58,4.10
201112,4.96,0.34
201201,3.80,-0.01
201202,2.32,-1.64
201203,4.50,-0.20
201204,2.33,-2.29
201205,4.25,-0.84
201206,1.50,-3.19
201207,5.54,0.67
201208,3.17,-0.51
201209,5.88,2.29
201210,3.03,-0.54
201211,1.34,-2.14
201212,5.55,0.93
201301,5.60,1.79
201302,2.19,-1.77
201303,4.95,0.25
201304,4.96,0.34
201305,4.44,-0.65
201306,6.23,1.54
201307,6.42,1.55
201308,4.14,0.46
201309,3.66,0.07
201310,3.66,0.09
201311,3.40,-0.08
201312,6.13,1.51
201401,2.34,-1.47
201402,4.47,0.51
201403,3.44,-1.26
201404,6.43,1.81
201405,3.65,-1.44
201406,3.98,-0.71
201407,3.67,-1.20
201408,5.46,1.78
201409,2.19,-1.40
201410,5.69,2.12
201411,2.43,-1.05
201412,3.36,-1.26
201501,1.97,-1.84
201502,3.26,-0.70
201503,6.34,1.64
201504,8.28,3.66
201505,2.67,-2.42
201506,5.47,0.78
201507,9.37,4.50
201508,3.19,-0.49
201509,2.89,-0.70
201510,3.96,0.39
201511,4.39,0.91
201512,6.52,1.90
201601,1.88,-1.93
201602,4.97,1.01
201603,4.22,-0.48
201604,3.64,-0.98
201605,6.06,0.97
201606,3.74,-0.95
201607,8.39,3.52
201608,5.00,1.32
201609,2.13,-1.46
201610,1.05,-2.52
201611,2.07,-1.41
201612,6.04,1.42
201701,4.25,0.44
201702,2.00,-1.96
201703,4.58,-0.12
201704,4.48,-0.14
201705,6.10,1.01
201706,4.96,0.27
201707,4.61,-0.26
201708,4.38,0.70
201709,4.45,0.86
201710,5.24,1.67
201711,2.29,-1.19
201712,2.92,-1.70
201801,2.47,-1.34
201802,8.99,5.03
201803,5.18,0.48
201804,4.45,-0.17
201805,4.88,-0.21
201806,6.16,1.47
201807,4.27,-0.60
201808,4.80,1.12
201809,8.06,4.47
201810,3.07,-0.50
201811,5.82,2.34
201812,5.59,0.97
201901,4.73,0.92
201902,9.39,5.43
201903,3.68,-1.02
201904,4.94,0.32
201905,4.43,-0.66
201906,8.10,3.41
201907,5.24,0.37
201908,3.46,-0.22
201909,0.22,-3.37
201910,6.34,2.77
201911,4.69,1.21
201912,6.10,1.48
202001,4.47,0.66
202002,6.42,2.46
202003,6.84,2.14
202004,4.95,0.33
202005,5.58,0.49
202006,5.16,0.47
202007,5.22,0.35
202008,5.14,1.46
202009,3.98,0.39
202010,4.63,1.06
202011,2.23,-1.25
202012,3.49,-1.13
202101,4.12,0.31
202102,4.51,0.55
202103,6.78,2.08
202104,3.08,-1.54
202105,3.57,-1.52
202106,5.02,0.33
202107,6.20,1.33
202108,5.29,1.61
202109,4.23,0.64
202110,4.38,0.81
202111,1.98,-1.50
202112,4.24,-0.38
202201,5.30,1.49
