Kentucky, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,-0.25,-0.05
199002,2.26,2.08
199003,-2.20,-2.00
199004,-1.11,-1.57
199005,2.56,1.93
199006,-0.69,-1.37
199007,-0.74,-1.21
199008,0.12,0.09
199009,-0.34,-0.71
199010,2.62,1.40
199011,-0.52,-0.59
199012,7.05,6.40
199101,-0.49,-0.29
199102,1.06,0.88
199103,0.51,0.71
199104,-1.55,-2.01
199105,-1.00,-1.63
199106,-1.30,-1.98
199107,-1.44,-1.91
199108,-1.62,-1.65
199109,-0.68,-1.05
199110,-0.83,-2.05
199111,-1.88,-1.95
199112,2.22,1.57
199201,-1.42,-1.22
199202,-1.61,-1.79
199203,0.38,0.58
199204,-2.52,-2.98
199205,0.21,-0.42
199206,0.95,0.27
199207,2.73,2.26
199208,1.55,1.52
199209,0.97,0.60
199210,-0.32,-1.54
199211,0.83,0.76
199212,-0.55,-1.20
199301,-0.83,-0.63
199302,0.19,0.01
199303,0.01,0.21
199304,-0.12,-0.58
199305,-0.99,-1.62
199306,1.16,0.48
199307,-2.01,-2.48
199308,-0.17,-0.20
199309,0.90,0.53
199310,2.02,0.80
199311,1.27,1.20
199312,0.70,0.05
199401,0.84,1.04
199402,1.17,0.99
199403,2.65,2.85
199404,1.46,1.00
199405,-0.50,-1.13
199406,-0.86,-1.54
199407,-0.31,-0.78
199408,0.10,0.07
199409,-0.71,-1.08
199410,-0.48,-1.70
199411,-1.15,-1.22
199412,-1.07,-1.72
199501,0.69,0.89
199502,-0.60,-0.78
199503,-2.11,-1.91
199504,-0.45,-0.91
199505,4.87,4.24
199506,0.49,-0.19
199507,-1.52,-1.99
199508,-0.99,-1.02
199509,-0.70,-1.07
199510,2.08,0.86
199511,0.37,0.30
199512,-1.00,-1.65
199601,0.82,1.02
199602,-1.28,-1.46
199603,0.81,1.01
199604,1.88,1.42
199605,2.46,1.83
199606,0.95,0.27
199607,1.99,1.52
199608,-0.77,-0.80
199609,4.08,3.71
199610,1.35,0.13
199611,2.79,2.72
199612,1.11,0.46
199701,-0.48,-0.28
199702,-0.70,-0.88
199703,6.34,6.54
199704,-1.20,-1.66
199705,1.85,1.22
199706,3.89,3.21
199707,-2.35,-2.82
199708,-0.32,-0.35
199709,-1.01,-1.38
199710,-1.17,-2.39
199711,-0.90,-0.97
199712,-1.19,-1.84
199801,-0.48,-0.28
