Massachusetts, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,1.05,1.10
199002,0.86,0.81
199003,-1.71,-1.91
199004,0.70,0.62
199005,3.89,3.93
199006,-1.87,-2.19
199007,-0.36,-0.70
199008,3.40,3.24
199009,-1.40,-1.70
199010,3.31,1.87
199011,-1.60,-1.20
199012,1.00,0.40
199101,-0.67,-0.62
199102,-1.69,-1.74
199103,0.62,0.42
199104,-1.03,-1.11
199105,-0.65,-0.61
199106,-1.49,-1.81
199107,-1.34,-1.68
199108,3.20,3.04
199109,3.38,3.08
199110,0.46,-0.98
199111,0.95,1.35
199112,-0.50,-1.10
199201,-1.04,-0.99
199202,-1.48,-1.53
199203,0.25,0.05
199204,-0.95,-1.03
199205,-1.92,-1.88
199206,1.65,1.33
199207,0.73,0.39
199208,2.67,2.51
199209,0.18,-0.12
199210,-0.29,-1.73
199211,1.24,1.64
199212,2.43,1.83
199301,-1.35,-1.30
199302,0.43,0.38
199303,3.31,3.11
199304,1.23,1.15
199305,-3.01,-2.97
199306,-2.02,-2.34
199307,-1.97,-2.31
199308,-2.96,-3.12
199309,0.53,0.23
199310,0.34,-1.10
199311,0.04,0.44
199312,1.92,1.32
199401,1.65,1.70
199402,-0.98,-1.03
199403,2.90,2.70
199404,-1.61,-1.69
199405,0.84,0.88
199406,-1.57,-1.89
199407,-0.64,-0.98
199408,1.66,1.50
199409,0.85,0.55
199410,-2.46,-3.90
199411,-0.67,-0.27
199412,1.30,0.70
199501,0.08,0.13
199502,-0.67,-0.72
199503,-1.87,-2.07
199504,-1.72,-1.80
199505,-0.96,-0.92
199506,-1.49,-1.81
199507,-1.13,-1.47
199508,-2.44,-2.60
199509,-0.95,-1.25
199510,4.32,2.88
199511,2.22,2.62
199512,-1.37,-1.97
199601,3.22,3.27
199602,-0.23,-0.28
199603,-0.81,-1.01
199604,3.46,3.38
199605,0.40,0.44
199606,-0.94,-1.26
199607,3.61,3.27
199608,-0.95,-1.11
199609,3.72,3.42
199610,5.23,3.79
199611,-0.53,-0.13
199612,3.24,2.64
199701,-0.29,-0.24
199702,-1.60,-1.65
199703,0.66,0.46
199704,1.70,1.62
199705,0.01,0.05
199706,-2.60,-2.92
199707,-0.90,-1.24
199708,0.47,0.31
199709,-2.23,-2.53
199710,-1.96,-3.40
199711,1.64,2.04
199712,-0.63,-1.23
199801,2.35,2.40
199802,1.57,1.52
199803,1.03,0.83
199804,-0.61,-0.69
199805,0.74,0.78
199806,6.08,5.76
199807,-0.62,-0.96
199808,-1.27,-1.43
199809,-1.86,-2.16
199810,1.02,-0.42
199811,-1.92,-1.52
199812,-2.58,-3.18
199901,3.00,3.05
199902,0.50,0.45
199903,0.97,0.77
199904,-3.59,-3.67
199905,0.01,0.05
199906,-2.85,-3.17
