Maryland, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,0.50,0.67
199002,-1.65,-1.37
199003,-1.60,-1.66
199004,0.29,0.51
199005,3.43,3.44
199006,-1.16,-1.49
199007,0.55,0.50
199008,1.67,1.94
199009,-1.25,-1.87
199010,0.73,0.20
199011,-1.36,-1.28
199012,1.78,1.50
199101,0.59,0.76
199102,-2.51,-2.23
199103,0.94,0.88
199104,-1.56,-1.34
199105,-3.37,-3.36
199106,-2.49,-2.82
199107,-1.96,-2.01
199108,-1.81,-1.54
199109,-0.48,-1.10
199110,-1.70,-2.23
199111,-3.30,-3.22
199112,-0.24,-0.52
199201,-1.92,-1.75
199202,-0.46,-0.18
199203,1.00,0.94
199204,-1.43,-1.21
199205,0.34,0.35
199206,-0.69,-1.02
199207,1.39,1.34
199208,0.41,0.68
199209,1.77,1.15
199210,-0.83,-1.36
199211,1.29,1.37
199212,1.72,1.44
199301,-0.69,-0.52
199302,-0.30,-0.02
199303,4.69,4.63
199304,2.26,2.48
199305,-1.38,-1.37
199306,-0.82,-1.15
199307,-3.10,-3.15
199308,-1.69,-1.42
199309,0.38,-0.24
199310,-0.19,-0.72
199311,0.39,0.47
199312,1.55,1.27
199401,1.58,1.75
199402,2.19,2.47
199403,5.48,5.42
199404,-1.73,-1.51
199405,-0.36,-0.35
199406,-1.83,-2.16
199407,0.69,0.64
199408,0.97,1.24
199409,-0.07,-0.69
199410,-2.23,-2.76
199411,-1.18,-1.10
199412,-2.00,-2.28
199501,0.50,0.67
199502,-1.16,-0.88
199503,-2.43,-2.49
199504,-1.42,-1.20
199505,0.66,0.67
199506,0.04,-0.29
199507,-1.10,-1.15
199508,-3.21,-2.94
199509,-1.01,-1.63
199510,2.64,2.11
199511,2.09,2.17
199512,-0.47,-0.75
199601,3.17,3.34
199602,-0.44,-0.16
199603,0.61,0.55
199604,0.18,0.40
199605,2.18,2.19
199606,2.01,1.68
199607,4.45,4.40
199608,0.41,0.68
199609,3.56,2.94
199610,2.22,1.69
199611,1.27,1.35
199612,3.70,3.42
199701,-1.01,-0.84
199702,-0.76,-0.48
199703,1.33,1.27
199704,-0.76,-0.54
199705,-1.20,-1.19
199706,-0.58,-0.91
199707,-1.61,-1.66
199708,-0.77,-0.50
199709,-1.34,-1.96
199710,-1.02,-1.55
199711,2.67,2.75
199712,-0.63,-0.91
199801,3.24,3.41
199802,3.59,3.87
199803,1.94,1.88
199804,0.17,0.39
199805,0.40,0.41
199806,1.65,1.32
199807,-1.80,-1.85
199808,-2.40,-2.13
199809,-2.89,-3.51
199810,-2.39,-2.92
199811,-4.17,-4.09
199812,-3.81,-4.09
199901,1.21,1.38
199902,-0.60,-0.32
199903,0.86,0.80
199904,-0.65,-0.43
199905,-2.78,-2.77
199906,-2.26,-2.59
199907,-3.15,-3.20
199908,-0.95,-0.68
199909,6.54,5.92
199910,0.70,0.17
199911,-0.87,-0.79
199912,-0.52,-0.80
200001,-0.01,0.16
200002,-1.07,-0.79
200003,0.78,0.72
200004,0.98,1.20
200005,-1.14,-1.13
200006,1.28,0.95
200007,3.29,3.24
