Maine, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,22.0,6.6
199002,16.4,-1.1
199003,27.2,0.2
199004,39.9,0.4
199005,49.1,-2.4
199006,61.0,0.0
199007,66.2,0.0
199008,66.2,1.2
199009,54.9,-2.0
199010,46.8,1.3
199011,34.4,0.3
199012,24.8,2.1
199101,12.2,-3.2
199102,20.0,2.5
199103,29.2,2.2
199104,40.9,1.4
199105,53.7,2.2
199106,61.6,0.6
199107,65.5,-0.7
199108,65.7,0.7
199109,53.1,-3.8
199110,46.2,0.7
199111,34.6,0.5
199112,17.8,-4.9
199201,14.2,-1.2
199202,16.2,-1.3
199203,23.0,-4.0
199204,36.9,-2.6
199205,51.3,-0.2
199206,60.3,-0.7
199207,61.2,-5.0
199208,63.3,-1.7
199209,55.9,-1.0
199210,41.8,-3.7
199211,31.3,-2.8
199212,22.5,-0.2
199301,15.1,-0.3
199302,7.1,-10.4
199303,24.6,-2.4
199304,39.8,0.3
199305,51.6,0.1
199306,59.8,-1.2
199307,65.4,-0.8
199308,65.7,0.7
199309,55.1,-1.8
199310,40.4,-5.1
199311,32.7,-1.4
199312,22.1,-0.6
199401,4.2,-11.2
199402,11.4,-6.1
199403,27.1,0.1
199404,38.5,-1.0
199405,48.8,-2.7
199406,63.2,2.2
199407,68.6,2.4
199408,62.7,-2.3
199409,54.3,-2.6
199410,45.9,0.4
199411,36.4,2.3
199412,24.0,1.3
199501,19.8,4.4
199502,13.0,-4.5
199503,28.5,1.5
199504,35.8,-3.7
199505,50.0,-1.5
199506,62.6,1.6
199507,68.0,1.8
199508,64.9,-0.1
199509,52.2,-4.7
199510,48.8,3.3
199511,30.6,-3.5
199512,17.0,-5.7
199601,13.7,-1.7
199602,16.9,-0.6
199603,25.4,-1.6
199604,39.1,-0.4
199605,48.7,-2.8
199606,61.2,0.2
199607,64.3,-1.9
199608,64.2,-0.8
199609,55.9,-1.0
199610,43.3,-2.2
199611,30.8,-3.3
199612,28.2,5.5
199701,13.8,-1.6
199702,18.2,0.7
199703,22.8,-4.2
199704,36.8,-2.7
199705,46.8,-4.7
199706,60.7,-0.3
199707,65.6,-0.6
199708,62.8,-2.2
199709,54.9,-2.0
199710,43.2,-2.3
199711,31.3,-2.8
199712,20.8,-1.9
199801,17.8,2.4
199802,24.2,6.7
199803,29.6,2.6
199804,41.4,1.9
199805,56.5,5.0
199806,59.7,-1.3
199807,66.1,-0.1
199808,64.8,-0.2
199809,56.7,-0.2
199810,45.2,-0.3
199811,33.7,-0.4
199812,26.2,3.5
199901,14.3,-1.1
199902,21.4,3.9
199903,31.0,4.0
199904,40.4,0.9
199905,55.4,3.9
199906,64.8,3.8
199907,67.8,1.6
199908,63.9,-1.1
199909,61.7,4.8
199910,42.4,-3.1
199911,37.3,3.2
199912,25.2,2.5
200001,14.1,-1.3
200002,18.2,0.7
200003,32.6,5.6
200004,39.1,-0.4
200005,49.5,-2.0
200006,59.4,-1.6
200007,63.0,-3.2
200008,63.1,-1.9
200009,54.5,-2.4
200010,44.6,-0.9
200011,35.6,1.5
200012,17.5,-5.2
200101,14.0,-1.4
200102,16.0,-1.5
200103,24.2,-2.8
200104,38.1,-1.4
200105,54.4,2.9
200106,63.0,2.0
200107,64.2,-2.0
200108,67.0,2.0
200109,57.7,0.8
200110,47.1,1.6
200111,37.4,3.3
200112,28.7,6.0
200201,21.0,5.6
200202,20.4,2.9
200203,26.9,-0.1
200204,39.9,0.4
200205,48.8,-2.7
200206,58.3,-2.7
200207,65.6,-0.6
200208,66.7,1.7
200209,59.3,2.4
200210,41.7,-3.8
200211,30.7,-3.4
200212,21.1,-1.6
200301,9.2,-6.2
200302,12.2,-5.3
200303,24.2,-2.8
200304,35.7,-3.8
200305,49.6,-1.9
200306,61.2,0.2
200307,65.9,-0.3
200308,66.0,1.0
200309,58.4,1.5
200310,44.6,-0.9
200311,35.4,1.3
200312,23.0,0.3
200401,6.4,-9.0
200402,18.0,0.5
200403,28.7,1.7
200404,39.6,0.1
200405,51.9,0.4
200406,57.5,-3.5
200407,64.6,-1.6
200408,64.6,-0.4
200409,56.2,-0.7
200410,45.5,0.0
200411,33.2,-0.9
200412,19.1,-3.6
200501,11.5,-3.9
200502,19.6,2.1
200503,25.0,-2.0
200504,41.1,1.6
200505,47.2,-4.3
200506,63.2,2.2
200507,66.6,0.4
200508,65.5,0.5
200509,58.5,1.6
200510,47.2,1.7
200511,35.3,1.2
200512,21.3,-1.4
200601,22.6,7.2
200602,19.0,1.5
200603,29.0,2.0
200604,42.3,2.8
200605,53.2,1.7
200606,63.3,2.3
200607,68.9,2.7
200608,61.7,-3.3
200609,56.1,-0.8
200610,44.9,-0.6
200611,38.9,4.8
200612,27.8,5.1
200701,17.3,1.9
200702,11.6,-5.9
200703,25.8,-1.2
200704,37.0,-2.5
200705,51.2,-0.3
200706,61.1,0.1
200707,64.6,-1.6
200708,63.5,-1.5
200709,57.2,0.3
200710,49.6,4.1
200711,31.7,-2.4
200712,18.0,-4.7
200801,18.6,3.2
200802,18.5,1.0
200803,23.1,-3.9
200804,41.5,2.0
200805,50.0,-1.5
200806,61.2,0.2
200807,67.7,1.5
200808,63.1,-1.9
200809,56.2,-0.7
200810,44.2,-1.3
200811,35.0,0.9
200812,20.2,-2.5
200901,7.9,-7.5
200902,18.9,1.4
200903,26.2,-0.8
200904,41.9,2.4
200905,51.1,-0.4
200906,58.7,-2.3
