Maine, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,1.23,1.17
199002,-0.91,-0.85
199003,-1.83,-1.90
199004,0.04,-0.28
199005,2.55,2.37
199006,1.04,0.41
199007,-0.12,-0.52
199008,1.62,1.60
199009,0.28,0.37
199010,5.22,3.84
199011,0.22,0.55
199012,2.51,1.96
199101,-0.48,-0.54
199102,-2.45,-2.39
199103,2.95,2.88
199104,0.04,-0.28
199105,-0.17,-0.35
199106,-2.08,-2.71
199107,-2.57,-2.97
199108,5.55,5.53
199109,2.39,2.48
199110,1.34,-0.04
199111,-1.13,-0.80
199112,-1.43,-1.98
199201,1.17,1.11
199202,0.26,0.32
199203,0.58,0.51
199204,-1.52,-1.84
199205,-3.09,-3.27
199206,0.34,-0.29
199207,1.41,1.01
199208,0.31,0.29
199209,-1.26,-1.17
199210,0.01,-1.37
199211,-0.87,-0.54
199212,-2.46,-3.01
199301,-1.25,-1.31
199302,0.64,0.70
199303,0.02,-0.05
199304,2.97,2.65
199305,-1.57,-1.75
199306,0.67,0.04
199307,-1.51,-1.91
199308,-1.95,-1.97
199309,0.44,0.53
199310,1.13,-0.25
199311,0.11,0.44
199312,1.76,1.21
199401,2.02,1.96
199402,-2.23,-2.17
199403,1.42,1.35
199404,1.10,0.78
199405,1.36,1.18
199406,-0.14,-0.77
199407,-0.38,-0.78
199408,-1.24,-1.26
199409,0.81,0.90
199410,-2.71,-4.09
199411,-0.73,-0.40
199412,-1.20,-1.75
199501,1.75,1.69
199502,-0.33,-0.27
199503,-0.94,-1.01
199504,-1.17,-1.49
199505,0.69,0.51
199506,-2.23,-2.86
199507,-0.49,-0.89
199508,-2.99,-3.01
199509,-1.86,-1.77
199510,2.09,0.71
199511,3.40,3.73
199512,-0.65,-1.20
199601,2.24,2.18
199602,1.47,1.53
199603,-1.47,-1.54
199604,2.29,1.97
199605,2.13,1.95
199606,0.84,0.21
199607,6.18,5.78
199608,-2.33,-2.35
199609,1.74,1.83
199610,1.31,-0.07
199611,-2.40,-2.07
199612,3.00,2.45
199701,1.34,1.28
199702,-0.31,-0.25
199703,0.15,0.08
199704,-0.48,-0.80
199705,1.49,1.31
199706,-0.60,-1.23
199707,-0.40,-0.80
199708,1.36,1.34
199709,-0.63,-0.54
199710,-2.54,-3.92
199711,-0.47,-0.14
199712,-1.16,-1.71
199801,3.07,3.01
199802,1.22,1.28
199803,1.23,1.16
199804,-0.96,-1.28
199805,-1.32,-1.50
199806,4.38,3.75
199807,0.46,0.06
199808,-1.01,-1.03
199809,-1.43,-1.34
199810,1.21,-0.17
199811,-1.78,-1.45
199812,-2.23,-2.78
199901,3.13,3.07
199902,-0.94,-0.88
199903,3.36,3.29
199904,-4.14,-4.46
199905,-1.46,-1.64
199906,-1.59,-2.22
199907,-1.65,-2.05
199908,-1.20,-1.22
199909,5.73,5.82
199910,1.88,0.50
199911,-1.17,-0.84
199912,-0.86,-1.41
200001,0.62,0.56
200002,0.48,0.54
200003,0.50,0.43
200004,3.50,3.18
200005,1.65,1.47
200006,-1.28,-1.91
200007,0.95,0.55
200008,-1.18,-1.20
200009,-2.05,-1.96
200010,-1.00,-2.38
200011,-2.09,-1.76
200012,0.95,0.40
200101,-2.56,-2.62
200102,-0.19,-0.13
200103,0.79,0.72
200104,-3.50,-3.82
200105,-2.34,-2.52
200106,-0.97,-1.60
200107,-0.08,-0.48
200108,-3.52,-3.54
200109,-1.15,-1.06
200110,-3.33,-4.71
200111,-4.40,-4.07
200112,-2.85,-3.40
200201,-0.72,-0.78
200202,0.71,0.77
200203,0.50,0.43
200204,1.34,1.02
200205,0.23,0.05
200206,1.08,0.45
200207,0.56,0.16
200208,-3.76,-3.78
200209,-0.54,-0.45
200210,-1.01,-2.39
200211,-0.06,0.27
200212,-0.73,-1.28
200301,-2.59,-2.65
200302,-0.24,-0.18
200303,0.48,0.41
200304,-1.63,-1.95
200305,0.22,0.04
