Michigan, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,27.6,7.2
199002,23.7,1.8
199003,33.3,2.0
199004,45.0,2.0
199005,51.5,-3.2
199006,63.5,-1.2
199007,67.3,-1.5
199008,65.9,-1.5
199009,58.9,-1.1
199010,46.3,-2.0
199011,39.1,2.7
199012,25.9,-0.4
199101,17.4,-3.0
199102,25.2,3.3
199103,33.4,2.1
199104,46.7,3.7
199105,60.0,5.3
199106,67.3,2.6
199107,68.7,-0.1
199108,68.1,0.7
199109,56.8,-3.2
199110,48.0,-0.3
199111,32.6,-3.8
199112,25.9,-0.4
199201,22.9,2.5
199202,25.1,3.2
199203,29.0,-2.3
199204,40.2,-2.8
199205,54.5,-0.2
199206,60.3,-4.4
199207,63.0,-5.8
199208,62.3,-5.1
199209,57.1,-2.9
199210,45.3,-3.0
199211,33.9,-2.5
199212,26.6,0.3
199301,21.4,1.0
199302,17.9,-4.0
199303,29.0,-2.3
199304,40.4,-2.6
199305,53.9,-0.8
199306,61.4,-3.3
199307,69.1,0.3
199308,68.3,0.9
199309,54.0,-6.0
199310,44.7,-3.6
199311,33.8,-2.6
199312,25.1,-1.2
199401,9.5,-10.9
199402,14.2,-7.7
199403,30.5,-0.8
199404,43.3,0.3
199405,52.8,-1.9
199406,65.0,0.3
199407,67.5,-1.3
199408,63.7,-3.7
199409,60.6,0.6
199410,49.8,1.5
199411,39.1,2.7
199412,30.3,4.0
199501,22.9,2.5
199502,19.1,-2.8
199503,33.3,2.0
199504,38.9,-4.1
199505,53.3,-1.4
199506,67.4,2.7
199507,69.4,0.6
199508,71.4,4.0
199509,56.4,-3.6
199510,49.5,1.2
199511,28.7,-7.7
199512,20.2,-6.1
199601,16.7,-3.7
199602,19.0,-2.9
199603,25.0,-6.3
199604,38.3,-4.7
199605,51.2,-3.5
199606,64.3,-0.4
199607,64.8,-4.0
199608,67.4,0.0
199609,59.5,-0.5
199610,47.7,-0.6
199611,30.5,-5.9
199612,25.6,-0.7
199701,17.5,-2.9
199702,23.5,1.6
199703,29.6,-1.7
199704,40.4,-2.6
199705,47.4,-7.3
199706,65.6,0.9
199707,67.4,-1.4
199708,63.1,-4.3
199709,58.5,-1.5
199710,47.3,-1.0
199711,33.1,-3.3
199712,29.0,2.7
199801,24.8,4.4
199802,32.0,10.1
199803,32.8,1.5
199804,45.7,2.7
199805,60.4,5.7
199806,63.8,-0.9
199807,68.8,0.0
199808,69.0,1.6
199809,62.6,2.6
199810,50.1,1.8
199811,39.2,2.8
199812,29.8,3.5
199901,17.7,-2.7
199902,27.3,5.4
199903,30.4,-0.9
199904,45.8,2.8
199905,57.7,3.0
199906,66.4,1.7
199907,71.8,3.0
199908,65.3,-2.1
199909,59.7,-0.3
199910,46.4,-1.9
199911,41.0,4.6
199912,26.9,0.6
200001,19.3,-1.1
200002,26.5,4.6
200003,38.8,7.5
200004,42.4,-0.6
200005,56.6,1.9
200006,63.5,-1.2
200007,66.1,-2.7
200008,66.1,-1.3
200009,58.0,-2.0
200010,50.8,2.5
200011,36.2,-0.2
200012,15.9,-10.4
200101,23.4,3.0
200102,22.1,0.2
200103,29.4,-1.9
200104,46.1,3.1
200105,57.2,2.5
200106,64.4,-0.3
200107,68.4,-0.4
200108,69.6,2.2
200109,57.7,-2.3
200110,47.8,-0.5
200111,43.6,7.2
200112,31.9,5.6
200201,27.5,7.1
200202,27.4,5.5
200203,27.4,-3.9
200204,43.4,0.4
200205,49.7,-5.0
200206,65.6,0.9
200207,72.4,3.6
200208,68.0,0.6
200209,63.3,3.3
200210,44.5,-3.8
200211,33.7,-2.7
200212,26.0,-0.3
200301,16.7,-3.7
200302,16.3,-5.6
200303,29.3,-2.0
200304,41.4,-1.6
200305,52.8,-1.9
200306,62.1,-2.6
200307,67.8,-1.0
200308,68.8,1.4
200309,59.5,-0.5
200310,46.6,-1.7
200311,37.7,1.3
200312,28.6,2.3
200401,14.3,-6.1
200402,22.6,0.7
200403,34.5,3.2
200404,44.2,1.2
200405,53.8,-0.9
200406,62.0,-2.7
200407,66.4,-2.4
200408,63.2,-4.2
200409,63.3,3.3
200410,49.0,0.7
200411,38.2,1.8
200412,23.5,-2.8
200501,18.0,-2.4
200502,25.2,3.3
200503,27.3,-4.0
200504,46.4,3.4
200505,52.0,-2.7
200506,69.4,4.7
200507,70.4,1.6
200508,68.9,1.5
200509,63.7,3.7
200510,50.6,2.3
200511,37.5,1.1
200512,23.1,-3.2
200601,29.9,9.5
200602,22.5,0.6
200603,32.4,1.1
200604,47.5,4.5
200605,56.1,1.4
200606,64.3,-0.4
200607,71.4,2.6
200608,67.7,0.3
200609,57.3,-2.7
200610,44.7,-3.6
200611,38.9,2.5
200612,31.5,5.2
200701,24.1,3.7
200702,15.2,-6.7
200703,34.8,3.5
200704,41.8,-1.2
200705,57.8,3.1
200706,67.1,2.4
200707,68.0,-0.8
200708,68.8,1.4
200709,61.8,1.8
200710,54.4,6.1
200711,35.2,-1.2
200712,24.1,-2.2
200801,22.8,2.4
200802,18.2,-3.7
200803,27.0,-4.3
200804,45.7,2.7
200805,51.2,-3.5
200806,64.8,0.1
200807,68.3,-0.5
200808,66.5,-0.9
200809,60.6,0.6
200810,46.8,-1.5
200811,35.7,-0.7
200812,20.8,-5.5
200901,12.6,-7.8
200902,22.9,1.0
200903,31.6,0.3
200904,43.1,0.1
200905,53.7,-1.0
200906,62.5,-2.2
200907,63.5,-5.3
200908,65.4,-2.0
200909,60.8,0.8
200910,44.6,-3.7
200911,41.0,4.6
200912,23.6,-2.7
201001,21.3,0.9
201002,23.1,1.2
201003,37.6,6.3
201004,49.0,6.0
201005,58.3,3.6
201006,64.9,0.2
201007,71.4,2.6
201008,70.7,3.3
201009,58.1,-1.9
201010,49.9,1.6
201011,37.8,1.4
201012,22.8,-3.5
201101,16.9,-3.5
201102,21.3,-0.6
201103,28.8,-2.5
201104,42.0,-1.0
201105,55.0,0.3
201106,64.2,-0.5
201107,72.7,3.9
201108,68.3,0.9
201109,58.7,-1.3
201110,49.7,1.4
201111,39.9,3.5
201112,29.9,3.6
201201,25.1,4.7
201202,28.4,6.5
201203,44.7,13.4
201204,43.9,0.9
201205,59.0,4.3
201206,66.5,1.8
201207,73.5,4.7
201208,67.5,0.1
201209,58.4,-1.6
201210,47.5,-0.8
201211,36.2,-0.2
201212,30.4,4.1
201301,23.0,2.6
201302,20.9,-1.0
201303,27.8,-3.5
201304,39.5,-3.5
201305,56.5,1.8
201306,63.8,-0.9
201307,68.8,0.0
201308,66.6,-0.8
201309,59.5,-0.5
201310,48.8,0.5
201311,34.2,-2.2
201312,19.3,-7.0
201401,12.3,-8.1
201402,12.7,-9.2
201403,21.0,-10.3
201404,41.2,-1.8
201405,54.6,-0.1
201406,65.2,0.5
201407,64.8,-4.0
201408,66.0,-1.4
201409,58.8,-1.2
201410,47.5,-0.8
201411,30.3,-6.1
201412,28.2,1.9
201501,16.6,-3.8
201502,8.0,-13.9
201503,28.6,-2.7
201504,43.2,0.2
201505,57.2,2.5
201506,62.5,-2.2
201507,67.9,-0.9
201508,66.9,-0.5
201509,64.6,4.6
201510,48.9,0.6
201511,41.3,4.9
201512,35.6,9.3
201601,22.3,1.9
201602,25.3,3.4
201603,36.1,4.8
201604,40.8,-2.2
201605,55.4,0.7
201606,64.7,0.0
201607,70.3,1.5
201608,70.8,3.4
201609,63.5,3.5
201610,51.6,3.3
201611,42.6,6.2
201612,25.0,-1.3
201701,25.2,4.8
201702,29.9,8.0
201703,30.7,-0.6
