Michigan, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,0.66,0.05
199002,1.14,0.80
199003,-0.31,0.07
199004,-1.75,-2.38
199005,2.08,1.64
199006,1.68,1.64
199007,0.19,-0.63
199008,0.14,0.15
199009,0.80,1.35
199010,3.55,2.34
199011,2.54,2.36
199012,1.04,0.69
199101,-0.94,-1.55
199102,-1.55,-1.89
199103,2.16,2.54
199104,1.45,0.82
199105,0.02,-0.42
199106,-3.01,-3.05
199107,1.98,1.16
199108,-1.86,-1.85
199109,-0.98,-0.43
199110,3.99,2.78
199111,3.02,2.84
199112,0.23,-0.12
199201,-0.38,-0.99
199202,-0.19,-0.53
199203,0.03,0.41
199204,1.33,0.70
199205,-3.06,-3.50
199206,-1.66,-1.70
199207,4.12,3.30
199208,0.45,0.46
199209,2.26,2.81
199210,0.95,-0.26
199211,5.00,4.82
199212,0.95,0.60
199301,1.52,0.91
199302,-1.55,-1.89
199303,-1.90,-1.52
199304,2.74,2.11
199305,-0.43,-0.87
199306,2.92,2.88
199307,0.18,-0.64
199308,1.17,1.18
199309,2.25,2.80
199310,1.70,0.49
199311,0.77,0.59
199312,-1.35,-1.70
199401,0.68,0.07
199402,-0.61,-0.95
199403,-1.10,-0.72
199404,0.43,-0.20
199405,-1.70,-2.14
199406,1.06,1.02
199407,3.75,2.93
199408,3.93,3.94
199409,-0.82,-0.27
199410,-0.37,-1.58
199411,1.57,1.39
199412,-1.54,-1.89
199501,0.87,0.26
199502,-1.24,-1.58
199503,-1.00,-0.62
199504,1.74,1.11
199505,-0.35,-0.79
199506,-2.74,-2.78
199507,0.12,-0.70
199508,0.19,0.20
199509,-1.86,-1.31
199510,1.17,-0.04
199511,1.85,1.67
199512,-0.13,-0.48
199601,0.87,0.26
199602,0.13,-0.21
199603,-1.29,-0.91
199604,2.46,1.83
199605,0.06,-0.38
199606,2.75,2.71
199607,2.20,1.38
199608,-1.29,-1.28
199609,0.54,1.09
199610,1.29,0.08
199611,0.35,0.17
199612,2.30,1.95
199701,2.75,2.14
199702,2.56,2.22
199703,0.36,0.74
199704,-2.36,-2.99
199705,2.50,2.06
199706,-1.98,-2.02
199707,-0.24,-1.06
199708,1.39,1.40
199709,-0.31,0.24
199710,-1.14,-2.35
199711,-2.15,-2.33
199712,-2.47,-2.82
199801,2.19,1.58
199802,-0.39,-0.73
199803,3.60,3.98
199804,-1.41,-2.04
199805,-3.07,-3.51
199806,-1.08,-1.12
