Minnesota, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,-2.41,-2.66
199002,-2.04,-2.41
199003,-0.14,-0.21
199004,0.88,0.55
199005,-0.48,-1.00
199006,2.99,2.51
199007,0.79,-0.05
199008,-0.86,-1.00
199009,-1.92,-2.23
199010,0.90,-0.37
199011,-1.67,-2.07
199012,-0.21,-1.03
199101,-0.76,-1.01
199102,0.24,-0.13
199103,1.16,1.09
199104,1.91,1.58
199105,1.55,1.03
199106,0.58,0.10
199107,2.28,1.44
199108,-1.61,-1.75
199109,3.57,3.26
199110,0.46,-0.81
199111,3.96,3.56
199112,0.53,-0.29
199201,0.52,0.27
199202,0.52,0.15
199203,0.51,0.44
199204,0.24,-0.09
199205,-2.41,-2.93
199206,-0.02,-0.50
199207,2.15,1.31
199208,2.29,2.15
199209,0.92,0.61
199210,-0.36,-1.63
199211,1.58,1.18
199212,1.43,0.61
199301,1.24,0.99
199302,-0.34,-0.71
199303,-0.23,-0.30
199304,0.92,0.59
199305,2.48,1.96
199306,3.76,3.28
199307,5.63,4.79
199308,3.12,2.98
199309,0.66,0.35
199310,-0.20,-1.47
199311,2.14,1.74
199312,0.72,-0.10
199401,1.24,0.99
199402,0.32,-0.05
199403,-0.97,-1.04
199404,2.21,1.88
199405,-2.50,-3.02
199406,0.81,0.33
199407,1.96,1.12
199408,0.87,0.73
199409,0.79,0.48
199410,1.45,0.18
199411,1.12,0.72
199412,-0.14,-0.96
199501,0.52,0.27
199502,0.18,-0.19
199503,2.38,2.31
199504,0.77,0.44
199505,0.07,-0.45
199506,-3.59,-4.07
199507,3.16,2.32
199508,1.49,1.35
199509,0.70,0.39
199510,3.53,2.26
199511,1.07,0.67
199512,1.27,0.45
199601,2.85,2.60
199602,0.69,0.32
199603,-0.27,-0.34
199604,-0.87,-1.20
199605,0.53,0.01
199606,-0.65,-1.13
199607,0.59,-0.25
199608,-1.53,-1.67
199609,-0.23,-0.54
199610,2.23,0.96
199611,4.29,3.89
199612,1.99,1.17
199701,2.71,2.46
199702,-0.34,-0.71
199703,0.58,0.51
199704,-0.56,-0.89
199705,-0.53,-1.05
199706,-0.28,-0.76
199707,3.14,2.30
199708,-0.14,-0.28
199709,-0.64,-0.95
199710,0.86,-0.41
199711,-0.09,-0.49
199712,-0.82,-1.64
199801,0.79,0.54
199802,1.58,1.21
199803,1.30,1.23
199804,-2.03,-2.36
199805,-0.04,-0.56
199806,2.55,2.07
199807,-0.09,-0.93
199808,-0.91,-1.05
199809,-2.65,-2.96
199810,3.21,1.94
199811,1.38,0.98
199812,0.37,-0.45
199901,1.68,1.43
199902,0.00,-0.37
199903,0.35,0.28
199904,0.73,0.40
199905,2.80,2.28
199906,0.48,0.00
199907,3.64,2.80
199908,1.71,1.57
199909,1.84,1.53
199910,-0.12,-1.39
199911,-1.48,-1.88
199912,-0.49,-1.31
200001,0.28,0.03
200002,1.46,1.09
200003,-0.66,-0.73
200004,-1.30,-1.63
200005,0.56,0.04
200006,2.16,1.68
200007,1.02,0.18
200008,0.19,0.05
200009,-1.71,-2.02
200010,-0.34,-1.61
200011,4.10,3.70
200012,1.13,0.31
200101,0.94,0.69
200102,2.13,1.76
200103,-1.15,-1.22
200104,5.62,5.29
200105,1.30,0.78
200106,-0.32,-0.80
200107,-0.10,-0.94
200108,-1.39,-1.53
200109,-1.07,-1.38
200110,-0.05,-1.32
200111,-0.21,-0.61
200112,-0.83,-1.65
200201,-1.48,-1.73
200202,-0.62,-0.99
200203,-0.41,-0.48
200204,0.55,0.22
200205,-0.36,-0.88
200206,2.90,2.42
200207,2.40,1.56
200208,3.68,3.54
200209,-0.26,-0.57
200210,3.05,1.78
200211,-0.56,-0.96
200212,-0.05,-0.87
200301,-0.47,-0.72
200302,0.00,-0.37
200303,-0.39,-0.46
200304,-0.41,-0.74
200305,0.93,0.41
200306,1.33,0.85
200307,-0.02,-0.86
200308,-4.04,-4.18
200309,-0.40,-0.71
200310,-2.10,-3.37
200311,-1.86,-2.26
200312,-1.53,-2.35
200401,-1.42,-1.67
200402,-0.95,-1.32
200403,-0.85,-0.92
200404,-1.74,-2.07
200405,5.20,4.68
200406,-1.28,-1.76
200407,1.72,0.88
200408,0.14,0.00
200409,3.91,3.60
200410,2.46,1.19
200411,-0.11,-0.51
200412,1.02,0.20
200501,2.24,1.99
200502,0.77,0.40
200503,-0.63,-0.70
200504,-1.56,-1.89
200505,2.20,1.68
200506,2.00,1.52
200507,-1.32,-2.16
200508,-0.15,-0.29
200509,1.96,1.65
200510,1.81,0.54
200511,3.53,3.13
200512,1.53,0.71
200601,0.16,-0.09
200602,0.25,-0.12
200603,1.41,1.34
200604,-0.44,-0.77
200605,-1.23,-1.75
200606,-2.63,-3.11
200607,-3.81,-4.65
200608,-0.91,-1.05
200609,0.00,-0.31
200610,-1.37,-2.64
200611,-2.11,-2.51
200612,-0.24,-1.06
200701,-1.89,-2.14
200702,-0.23,-0.60
200703,0.98,0.91
200704,0.67,0.34
200705,-0.94,-1.46
200706,-1.39,-1.87
200707,-2.69,-3.53
200708,0.41,0.27
200709,1.26,0.95
200710,3.98,2.71
200711,-0.92,-1.32
200712,1.59,0.77
200801,-0.51,-0.76
200802,-0.10,-0.47
200803,-0.66,-0.73
200804,2.68,2.35
200805,0.22,-0.30
200806,1.71,1.23
200807,-0.30,-1.14
200808,-2.26,-2.40
200809,0.48,0.17
200810,2.41,1.14
200811,1.22,0.82
200812,2.41,1.59
200901,0.40,0.15
200902,1.48,1.11
200903,3.45,3.38
200904,-0.92,-1.25
200905,-2.08,-2.60
200906,-0.95,-1.43
