Mississippi, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,2.90,2.77
199002,3.04,2.87
199003,-0.22,0.34
199004,-0.71,-1.05
199005,1.96,1.91
199006,-0.14,-0.88
199007,-1.66,-1.63
199008,-2.69,-3.48
199009,-1.82,-2.08
199010,-0.54,-1.35
199011,-0.81,-0.59
199012,2.02,2.03
199101,0.76,0.63
199102,2.34,2.17
199103,-0.14,0.42
199104,6.57,6.23
199105,4.72,4.67
199106,0.22,-0.52
199107,-1.22,-1.19
199108,-0.03,-0.82
199109,0.38,0.12
199110,-0.61,-1.42
199111,-0.56,-0.34
199112,0.96,0.97
199201,0.03,-0.10
199202,-0.40,-0.57
199203,-1.19,-0.63
199204,-1.33,-1.67
199205,-2.17,-2.22
199206,2.64,1.90
199207,0.31,0.34
199208,4.61,3.82
199209,0.68,0.42
199210,-0.38,-1.19
199211,2.48,2.70
199212,-0.43,-0.42
199301,0.95,0.82
199302,-1.44,-1.61
199303,-0.36,0.20
199304,0.58,0.24
199305,0.79,0.74
199306,0.52,-0.22
199307,-0.87,-0.84
199308,0.25,-0.54
199309,-0.29,-0.55
199310,1.01,0.20
199311,0.45,0.67
199312,-0.82,-0.81
199401,1.68,1.55
199402,-0.06,-0.23
199403,0.35,0.91
199404,-0.77,-1.11
199405,-0.10,-0.15
199406,2.14,1.40
199407,3.35,3.38
199408,-0.11,-0.90
199409,-0.01,-0.27
199410,2.46,1.65
199411,-0.85,-0.63
199412,-0.72,-0.71
199501,-0.23,-0.36
199502,-1.21,-1.38
199503,0.89,1.45
199504,1.70,1.36
199505,0.33,0.28
199506,-0.56,-1.30
199507,-0.28,-0.25
199508,-0.28,-1.07
199509,-1.75,-2.01
199510,0.78,-0.03
199511,0.52,0.74
199512,0.65,0.66
199601,0.64,0.51
199602,-2.02,-2.19
199603,0.24,0.80
199604,0.71,0.37
199605,-2.49,-2.54
199606,0.34,-0.40
199607,-0.38,-0.35
199608,1.01,0.22
199609,1.12,0.86
199610,0.43,-0.38
199611,-0.10,0.12
199612,-0.46,-0.45
199701,1.01,0.88
199702,1.72,1.55
199703,-1.12,-0.56
199704,1.91,1.57
199705,2.49,2.44
199706,3.63,2.89
199707,-0.30,-0.27
199708,0.40,-0.39
199709,-0.95,-1.21
199710,1.50,0.69
199711,0.10,0.32
199712,-0.12,-0.11
199801,3.10,2.97
199802,0.65,0.48
199803,-0.21,0.35
199804,0.30,-0.04
199805,-2.44,-2.49
199806,-2.76,-3.50
199807,0.06,0.09
199808,-1.75,-2.54
199809,0.18,-0.08
199810,-1.88,-2.69
199811,-0.98,-0.76
199812,0.27,0.28
199901,3.34,3.21
199902,-2.93,-3.10
199903,0.61,1.17
199904,-1.79,-2.13
199905,-0.70,-0.75
199906,1.07,0.33
199907,-1.01,-0.98
199908,-2.57,-3.36
199909,-1.14,-1.40
199910,-0.02,-0.83
199911,-2.24,-2.02
199912,-1.67,-1.66
200001,-2.00,-2.13
200002,-3.20,-3.37
200003,-1.22,-0.66
200004,1.43,1.09
200005,-2.43,-2.48
200006,0.06,-0.68
200007,-3.42,-3.39
200008,-3.40,-4.19
200009,-1.41,-1.67
200010,-2.15,-2.96
200011,3.70,3.92
200012,-0.65,-0.64
200101,0.72,0.59
200102,0.22,0.05
200103,1.71,2.27
200104,-1.62,-1.96
200105,-1.20,-1.25
200106,2.70,1.96
200107,0.05,0.08
200108,2.91,2.12
200109,2.19,1.93
200110,3.21,2.40
200111,1.42,1.64
200112,0.19,0.20
200201,0.54,0.41
200202,-1.36,-1.53
200203,1.09,1.65
200204,-2.08,-2.42
200205,-0.05,-0.10
200206,-0.52,-1.26
200207,0.16,0.19
200208,0.31,-0.48
200209,5.56,5.30
200210,5.10,4.29
200211,0.16,0.38
200212,1.32,1.33
200301,-2.65,-2.78
200302,3.31,3.14
200303,-2.26,-1.70
200304,-0.11,-0.45
200305,0.74,0.69
200306,4.18,3.44
200307,1.68,1.71
200308,2.33,1.54
200309,1.24,0.98
200310,0.03,-0.78
200311,0.30,0.52
200312,-1.52,-1.51
200401,-0.81,-0.94
200402,3.03,2.86
200403,-3.11,-2.55
200404,-0.66,-1.00
200405,2.12,2.07
200406,5.62,4.88
200407,0.20,0.23
200408,1.55,0.76
200409,-1.48,-1.74
200410,1.32,0.51
200411,2.64,2.86
200412,0.32,0.33
200501,-1.61,-1.74
200502,0.03,-0.14
200503,-1.43,-0.87
200504,1.44,1.10
200505,-0.95,-1.00
200506,-0.39,-1.13
200507,0.83,0.86
200508,3.19,2.40
200509,-0.29,-0.55
200510,-2.46,-3.27
200511,-1.50,-1.28
200512,-0.94,-0.93
200601,0.35,0.22
200602,1.02,0.85
200603,-2.10,-1.54
200604,-1.81,-2.15
200605,-0.83,-0.88
200606,-2.07,-2.81
200607,-2.59,-2.56
200608,-1.38,-2.17
200609,0.14,-0.12
200610,3.53,2.72
200611,-0.63,-0.41
200612,0.45,0.46
200701,-0.34,-0.47
