Montana, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,1.16,1.64
199002,0.18,0.41
199003,0.69,1.47
199004,0.25,0.02
199005,1.39,0.86
199006,-1.63,-1.50
199007,0.01,0.01
199008,0.44,0.91
199009,-3.49,-2.92
199010,0.32,-0.43
199011,0.21,0.29
199012,-0.48,-0.26
199101,-1.01,-0.53
199102,-1.96,-1.73
199103,-0.85,-0.07
199104,2.37,2.14
199105,1.78,1.25
199106,3.01,3.14
199107,-0.12,-0.12
199108,-0.61,-0.14
199109,0.40,0.97
199110,-0.24,-0.99
199111,0.85,0.93
199112,-0.96,-0.74
199201,-1.58,-1.10
199202,-2.14,-1.91
199203,-4.29,-3.51
199204,-0.95,-1.18
199205,-2.98,-3.51
199206,-0.25,-0.12
199207,1.25,1.25
199208,-0.38,0.09
199209,-0.68,-0.11
199210,-0.19,-0.94
199211,-0.21,-0.13
199212,-0.23,-0.01
199301,-0.92,-0.44
199302,-1.24,-1.01
199303,-1.74,-0.96
199304,0.32,0.09
199305,-1.53,-2.06
199306,1.85,1.98
199307,9.70,9.70
199308,5.56,6.03
199309,1.07,1.64
199310,1.10,0.35
199311,0.94,1.02
199312,0.92,1.14
199401,1.63,2.11
199402,1.85,2.08
199403,-0.79,-0.01
199404,0.76,0.53
199405,-1.27,-1.80
199406,-0.86,-0.73
199407,-0.97,-0.97
199408,-2.86,-2.39
199409,-2.70,-2.13
199410,3.09,2.34
199411,0.36,0.44
199412,-0.61,-0.39
199501,-0.85,-0.37
199502,-0.85,-0.62
199503,0.60,1.38
199504,1.74,1.51
199505,1.49,0.96
199506,2.09,2.22
199507,3.62,3.62
199508,1.92,2.39
199509,0.11,0.68
199510,2.13,1.38
199511,2.74,2.82
199512,1.42,1.64
199601,3.02,3.50
199602,2.63,2.86
199603,2.09,2.87
199604,0.33,0.10
199605,3.59,3.06
199606,-1.81,-1.68
199607,-1.49,-1.49
199608,-2.68,-2.21
199609,0.69,1.26
199610,-0.10,-0.85
199611,1.44,1.52
199612,3.41,3.63
199701,1.65,2.13
199702,1.03,1.26
199703,2.33,3.11
199704,1.99,1.76
199705,0.25,-0.28
199706,0.24,0.37
199707,3.54,3.54
199708,1.72,2.19
199709,-1.02,-0.45
199710,0.83,0.08
199711,-0.79,-0.71
199712,-1.61,-1.39
199801,-0.36,0.12
199802,-1.50,-1.27
199803,-0.30,0.48
199804,-1.14,-1.37
199805,-0.99,-1.52
199806,2.64,2.77
199807,1.32,1.32
199808,-0.13,0.34
199809,-1.84,-1.27
199810,0.67,-0.08
199811,1.36,1.44
199812,1.06,1.28
199901,0.77,1.25
199902,1.51,1.74
199903,-0.34,0.44
199904,1.02,0.79
199905,0.59,0.06
199906,0.12,0.25
199907,0.19,0.19
199908,1.08,1.55
199909,-0.42,0.15
199910,-0.78,-1.53
199911,-1.57,-1.49
199912,-1.14,-0.92
200001,-1.18,-0.70
200002,-0.52,-0.29
200003,-2.42,-1.64
200004,-1.72,-1.95
200005,-1.14,-1.67
200006,-1.76,-1.63
200007,-1.37,-1.37
200008,-3.45,-2.98
