North Carolina, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,-0.46,-0.61
199002,0.13,0.64
199003,0.09,0.45
199004,-0.91,-1.08
199005,3.09,3.17
199006,-3.43,-3.75
199007,-2.91,-2.09
199008,-0.50,-0.19
199009,-3.57,-4.26
199010,3.87,3.47
199011,-1.09,-1.32
199012,-0.34,-0.42
199101,1.52,1.37
199102,-2.42,-1.91
199103,1.98,2.34
199104,0.42,0.25
199105,-1.78,-1.70
199106,-0.69,-1.01
199107,0.71,1.53
199108,0.59,0.90
199109,-0.91,-1.60
199110,-1.84,-2.24
199111,-1.61,-1.84
199112,-0.58,-0.66
199201,0.01,-0.14
199202,-1.31,-0.80
199203,-0.59,-0.23
199204,-0.09,-0.26
199205,1.24,1.32
199206,2.61,2.29
199207,-2.20,-1.38
199208,3.01,3.32
199209,-0.57,-1.26
199210,1.47,1.07
199211,3.87,3.64
199212,0.16,0.08
199301,2.16,2.01
199302,-1.00,-0.49
199303,3.26,3.62
199304,1.54,1.37
199305,-1.33,-1.25
199306,-2.42,-2.74
199307,-3.75,-2.93
199308,-3.47,-3.16
199309,-1.63,-2.32
199310,-0.71,-1.11
199311,-1.28,-1.51
199312,-0.22,-0.30
199401,1.73,1.58
199402,-0.42,0.09
199403,2.99,3.35
199404,-2.24,-2.41
199405,-1.18,-1.10
199406,0.75,0.43
199407,0.34,1.16
199408,0.87,1.18
199409,0.10,-0.59
199410,1.11,0.71
199411,-0.29,-0.52
199412,-1.60,-1.68
199501,1.85,1.70
199502,1.49,2.00
199503,-1.49,-1.13
199504,-3.32,-3.49
199505,-0.77,-0.69
199506,6.90,6.58
199507,-1.16,-0.34
199508,-0.34,-0.03
199509,-0.75,-1.44
199510,3.57,3.17
199511,1.84,1.61
199512,-1.60,-1.68
199601,1.87,1.72
199602,-1.17,-0.66
199603,0.80,1.16
199604,-0.20,-0.37
199605,-0.47,-0.39
199606,-0.27,-0.59
199607,1.23,2.05
199608,1.29,1.60
199609,5.71,5.02
199610,1.31,0.91
199611,1.13,0.90
199612,0.42,0.34
199701,-0.22,-0.37
199702,-0.33,0.18
199703,-0.67,-0.31
199704,2.29,2.12
199705,-1.48,-1.40
199706,0.08,-0.24
199707,0.02,0.84
199708,-3.11,-2.80
199709,0.23,-0.46
199710,-0.48,-0.88
199711,0.67,0.44
199712,0.61,0.53
199801,4.34,4.19
199802,2.98,3.49
199803,1.00,1.36
199804,2.61,2.44
199805,0.37,0.45
199806,-1.13,-1.45
199807,-2.18,-1.36
199808,-0.92,-0.61
199809,-1.95,-2.64
199810,-2.55,-2.95
199811,-2.55,-2.78
199812,-0.40,-0.48
199901,1.95,1.80
199902,-1.65,-1.14
199903,-1.15,-0.79
199904,-0.16,-0.33
199905,-1.21,-1.13
199906,-0.40,-0.72
199907,-1.86,-1.04
199908,-1.90,-1.59
199909,8.70,8.01
199910,2.24,1.84
199911,-1.11,-1.34
199912,-1.92,-2.00
200001,1.43,1.28
200002,-2.39,-1.88
200003,-1.67,-1.31
200004,2.06,1.89
