North Dakota, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,0.22,-0.23
199002,0.18,-0.27
199003,0.96,0.23
199004,1.14,-0.09
199005,1.55,-1.11
199006,4.83,1.34
199007,2.29,-0.60
199008,1.69,-0.48
199009,1.17,-0.66
199010,0.48,-1.04
199011,0.08,-0.53
199012,0.48,-0.10
199101,0.18,-0.27
199102,0.44,-0.01
199103,0.37,-0.36
199104,2.29,1.06
199105,3.07,0.41
199106,4.34,0.85
199107,2.32,-0.57
199108,1.82,-0.35
199109,2.60,0.77
199110,1.55,0.03
199111,0.48,-0.13
199112,0.26,-0.32
199201,0.38,-0.07
199202,0.29,-0.16
199203,0.74,0.01
199204,1.02,-0.21
199205,1.69,-0.97
199206,2.87,-0.62
199207,2.51,-0.38
199208,2.01,-0.16
199209,1.37,-0.46
199210,0.30,-1.22
199211,1.07,0.46
199212,0.47,-0.11
199301,0.46,0.01
199302,0.21,-0.24
199303,0.55,-0.18
199304,1.04,-0.19
199305,2.70,0.04
199306,5.21,1.72
199307,7.97,5.08
199308,2.47,0.30
199309,0.45,-1.38
199310,0.23,-1.29
199311,1.03,0.42
199312,0.63,0.05
199401,0.74,0.29
199402,0.50,0.05
199403,0.39,-0.34
199404,1.12,-0.11
199405,1.90,-0.76
199406,3.75,0.26
199407,2.91,0.02
199408,1.51,-0.66
199409,2.05,0.22
199410,4.17,2.65
199411,1.03,0.42
199412,0.33,-0.25
199501,0.49,0.04
199502,0.36,-0.09
199503,1.42,0.69
199504,0.98,-0.25
199505,3.19,0.53
199506,2.19,-1.30
199507,4.54,1.65
199508,2.21,0.04
199509,1.16,-0.67
199510,1.69,0.17
199511,0.81,0.20
199512,0.55,-0.03
199601,0.84,0.39
199602,0.46,0.01
199603,0.96,0.23
199604,0.58,-0.65
199605,2.47,-0.19
199606,2.80,-0.69
199607,3.16,0.27
199608,1.17,-1.00
199609,2.59,0.76
199610,1.19,-0.33
199611,1.43,0.82
199612,0.87,0.29
199701,0.91,0.46
199702,0.30,-0.15
199703,0.82,0.09
199704,2.11,0.88
199705,0.81,-1.85
199706,2.43,-1.06
199707,4.38,1.49
199708,1.45,-0.72
199709,1.14,-0.69
199710,1.70,0.18
199711,0.34,-0.27
199712,0.13,-0.45
199801,0.41,-0.04
199802,1.59,1.14
199803,0.41,-0.32
199804,0.96,-0.27
