Nebraska, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,31.9,6.5
199002,29.8,1.7
199003,39.2,0.3
199004,48.0,0.0
199005,55.9,-2.4
199006,71.0,1.7
199007,72.5,-1.9
199008,72.7,0.3
199009,67.0,3.0
199010,50.8,0.3
199011,40.2,2.6
199012,20.9,-6.3
199101,19.9,-5.5
199102,36.4,8.3
199103,40.1,1.2
199104,49.8,1.8
199105,61.0,2.7
199106,71.6,2.3
199107,74.3,-0.1
199108,73.1,0.7
199109,63.7,-0.3
199110,49.5,-1.0
199111,30.5,-7.1
199112,31.5,4.3
199201,31.5,6.1
199202,36.8,8.7
199203,41.9,3.0
199204,48.6,0.6
199205,59.7,1.4
199206,65.2,-4.1
199207,68.1,-6.3
199208,66.9,-5.5
199209,62.5,-1.5
199210,50.8,0.3
199211,32.3,-5.3
199212,22.8,-4.4
199301,18.2,-7.2
199302,19.1,-9.0
199303,35.9,-3.0
199304,45.5,-2.5
199305,58.1,-0.2
199306,65.3,-4.0
199307,70.8,-3.6
199308,70.7,-1.7
199309,57.7,-6.3
199310,48.9,-1.6
199311,31.8,-5.8
199312,29.9,2.7
199401,21.8,-3.6
199402,21.0,-7.1
199403,40.8,1.9
199404,48.2,0.2
199405,62.1,3.8
199406,71.1,1.8
199407,70.7,-3.7
199408,71.8,-0.6
199409,64.5,0.5
199410,52.2,1.7
199411,37.6,0.0
199412,29.0,1.8
199501,24.8,-0.6
199502,33.5,5.4
199503,37.0,-1.9
199504,43.5,-4.5
199505,52.6,-5.7
199506,66.6,-2.7
199507,74.0,-0.4
199508,76.1,3.7
199509,61.3,-2.7
199510,49.6,-0.9
199511,36.0,-1.6
199512,27.7,0.5
199601,19.0,-6.4
199602,29.8,1.7
199603,31.0,-7.9
199604,47.3,-0.7
199605,56.4,-1.9
199606,69.5,0.2
199607,71.8,-2.6
199608,70.6,-1.8
199609,60.3,-3.7
199610,50.8,0.3
199611,30.0,-7.6
199612,22.8,-4.4
199701,21.2,-4.2
199702,29.4,1.3
199703,40.2,1.3
199704,42.4,-5.6
199705,55.2,-3.1
199706,69.4,0.1
199707,74.2,-0.2
199708,71.1,-1.3
199709,64.9,0.9
199710,51.6,1.1
199711,34.6,-3.0
199712,29.4,2.2
199801,26.6,1.2
199802,35.2,7.1
199803,31.8,-7.1
199804,47.4,-0.6
199805,61.9,3.6
199806,65.0,-4.3
199807,75.3,0.9
199808,73.4,1.0
199809,69.1,5.1
199810,51.7,1.2
199811,40.6,3.0
199812,29.3,2.1
199901,26.4,1.0
199902,37.0,8.9
199903,39.2,0.3
199904,47.1,-0.9
199905,58.2,-0.1
199906,66.9,-2.4
199907,76.1,1.7
199908,71.8,-0.6
199909,60.3,-3.7
199910,51.2,0.7
199911,45.0,7.4
199912,32.5,5.3
200001,28.6,3.2
200002,35.0,6.9
200003,41.9,3.0
200004,48.7,0.7
200005,61.6,3.3
200006,67.6,-1.7
200007,75.2,0.8
200008,76.4,4.0
200009,64.5,0.5
200010,52.7,2.2
200011,28.2,-9.4
200012,18.7,-8.5
200101,27.5,2.1
200102,22.0,-6.1
200103,35.8,-3.1
200104,50.6,2.6
200105,59.8,1.5
200106,68.5,-0.8
200107,77.1,2.7
200108,73.9,1.5
200109,63.6,-0.4
200110,51.0,0.5
200111,43.9,6.3
200112,30.3,3.1
200201,29.5,4.1
200202,31.8,3.7
200203,30.1,-8.8
200204,49.9,1.9
200205,56.0,-2.3
200206,73.9,4.6
200207,78.3,3.9
200208,73.0,0.6
200209,64.3,0.3
200210,44.4,-6.1
200211,37.1,-0.5
200212,31.8,4.6
200301,26.9,1.5
200302,25.0,-3.1
200303,38.7,-0.2
200304,50.5,2.5
200305,57.4,-0.9
200306,66.1,-3.2
200307,76.4,2.0
200308,75.5,3.1
200309,61.1,-2.9
200310,54.6,4.1
200311,34.7,-2.9
200312,30.5,3.3
200401,24.0,-1.4
200402,26.3,-1.8
200403,43.1,4.2
200404,50.5,2.5
200405,60.4,2.1
200406,65.2,-4.1
200407,71.7,-2.7
200408,68.5,-3.9
200409,66.2,2.2
200410,52.3,1.8
200411,38.7,1.1
200412,30.8,3.6
200501,23.1,-2.3
200502,34.4,6.3
200503,39.4,0.5
200504,49.7,1.7
200505,57.8,-0.5
200506,70.0,0.7
200507,75.9,1.5
200508,72.6,0.2
200509,67.5,3.5
200510,51.9,1.4
200511,41.1,3.5
200512,25.0,-2.2
200601,37.1,11.7
200602,28.1,0.0
200603,36.8,-2.1
200604,53.3,5.3
200605,61.2,2.9
200606,71.8,2.5
200607,77.5,3.1
200608,72.9,0.5
200609,58.8,-5.2
200610,48.0,-2.5
200611,37.6,0.0
200612,30.2,3.0
200701,21.6,-3.8
200702,23.1,-5.0
200703,45.6,6.7
200704,46.4,-1.6
200705,62.1,3.8
200706,69.2,-0.1
200707,76.1,1.7
200708,75.6,3.2
200709,64.7,0.7
200710,53.6,3.1
200711,39.5,1.9
200712,22.0,-5.2
200801,21.3,-4.1
200802,26.2,-1.9
200803,37.4,-1.5
200804,44.6,-3.4
200805,56.3,-2.0
200806,67.5,-1.8
200807,75.0,0.6
200808,71.4,-1.0
200809,62.2,-1.8
200810,50.2,-0.3
200811,38.9,1.3
200812,21.3,-5.9
200901,25.5,0.1
200902,31.8,3.7
200903,37.4,-1.5
200904,46.1,-1.9
200905,59.1,0.8
200906,66.8,-2.5
200907,70.2,-4.2
200908,69.4,-3.0
200909,61.8,-2.2
200910,42.3,-8.2
200911,42.2,4.6
200912,18.6,-8.6
201001,22.1,-3.3
201002,23.0,-5.1
201003,39.7,0.8
201004,51.7,3.7
201005,56.3,-2.0
201006,69.6,0.3
201007,74.5,0.1
201008,74.8,2.4
201009,63.6,-0.4
201010,54.0,3.5
201011,36.7,-0.9
201012,26.1,-1.1
201101,20.4,-5.0
201102,24.5,-3.6
201103,37.1,-1.8
201104,47.5,-0.5
201105,56.0,-2.3
201106,68.2,-1.1
201107,77.7,3.3
201108,73.9,1.5
201109,60.6,-3.4
201110,52.7,2.2
201111,38.2,0.6
201112,28.6,1.4
201201,30.4,5.0
201202,29.3,1.2
201203,50.8,11.9
201204,53.5,5.5
201205,62.3,4.0
201206,73.4,4.1
201207,80.0,5.6
201208,73.0,0.6
201209,64.1,0.1
201210,48.2,-2.3
201211,40.0,2.4
201212,27.6,0.4
201301,25.5,0.1
201302,28.8,0.7
201303,34.8,-4.1
201304,42.5,-5.5
201305,58.5,0.2
201306,68.8,-0.5
201307,73.2,-1.2
201308,73.8,1.4
201309,68.0,4.0
201310,48.8,-1.7
201311,36.0,-1.6
201312,22.8,-4.4
201401,25.4,0.0
201402,20.8,-7.3
201403,35.4,-3.5
201404,48.3,0.3
201405,58.5,0.2
201406,68.1,-1.2
201407,71.2,-3.2
201408,72.2,-0.2
201409,62.9,-1.1
201410,53.2,2.7
201411,32.2,-5.4
201412,28.0,0.8
201501,27.2,1.8
201502,26.1,-2.0
201503,42.9,4.0
201504,50.5,2.5
201505,56.2,-2.1
201506,69.8,0.5
201507,73.4,-1.0
201508,70.9,-1.5
201509,68.6,4.6
201510,54.3,3.8
201511,40.1,2.5
201512,29.7,2.5
201601,26.0,0.6
201602,35.0,6.9
201603,43.9,5.0
201604,49.9,1.9
201605,57.2,-1.1
201606,73.3,4.0
201607,74.2,-0.2
201608,71.8,-0.6
201609,65.0,1.0
201610,55.4,4.9
201611,44.3,6.7
201612,23.8,-3.4
201701,24.8,-0.6
201702,35.4,7.3
201703,42.2,3.3
201704,49.7,1.7
201705,57.0,-1.3
201706,70.7,1.4
201707,76.8,2.4
201708,69.0,-3.4
201709,65.0,1.0
201710,51.0,0.5
201711,39.9,2.3
201712,26.6,-0.6
201801,23.0,-2.4
201802,21.7,-6.4
201803,38.5,-0.4
201804,41.2,-6.8
201805,63.8,5.5
201806,72.2,2.9
201807,73.4,-1.0
201808,70.8,-1.6
201809,65.7,1.7
201810,47.2,-3.3
201811,33.5,-4.1
201812,28.1,0.9
201901,26.4,1.0
201902,17.2,-10.9
201903,31.7,-7.2
201904,49.2,1.2
201905,53.5,-4.8
201906,68.0,-1.3
201907,74.5,0.1
201908,71.5,-0.9
201909,68.3,4.3
201910,44.2,-6.3
201911,35.2,-2.4
201912,30.2,3.0
202001,27.2,1.8
202002,29.6,1.5
202003,41.1,2.2
202004,46.1,-1.9
202005,56.8,-1.5
202006,73.5,4.2
202007,75.3,0.9
202008,74.0,1.6
202009,62.7,-1.3
202010,46.4,-4.1
202011,42.6,5.0
202012,31.3,4.1
202101,29.2,3.8
202102,16.5,-11.6
202103,42.6,3.7
202104,47.0,-1.0
202105,57.9,-0.4
202106,72.8,3.5
202107,75.0,0.6
202108,74.3,1.9
202109,67.6,3.6
202110,53.2,2.7
202111,42.6,5.0
202112,33.8,6.6
202201,25.6,0.2
