Nebraska, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,-0.59,-0.68
199002,-1.67,-1.87
199003,0.22,0.42
199004,-2.37,-3.00
199005,0.69,-0.20
199006,-1.46,-1.56
199007,-0.11,-1.06
199008,-0.43,-1.37
199009,-2.92,-2.96
199010,-0.22,-1.53
199011,-0.06,-0.17
199012,-0.78,-1.14
199101,-0.68,-0.77
199102,-1.80,-2.00
199103,-1.21,-1.01
199104,-0.89,-1.52
199105,1.18,0.29
199106,-0.94,-1.04
199107,-1.99,-2.94
199108,-2.67,-3.61
199109,-1.29,-1.33
199110,0.28,-1.03
199111,1.91,1.80
199112,0.11,-0.25
199201,1.35,1.26
199202,0.13,-0.07
199203,1.51,1.71
199204,-2.13,-2.76
199205,-2.78,-3.67
199206,0.84,0.74
199207,4.76,3.81
199208,3.94,3.00
199209,-0.06,-0.10
199210,1.41,0.10
199211,1.17,1.06
199212,0.48,0.12
199301,1.41,1.32
199302,2.16,1.96
199303,0.96,1.16
199304,2.33,1.70
199305,1.06,0.17
199306,3.61,3.51
199307,9.84,8.89
199308,4.52,3.58
199309,2.85,2.81
199310,2.03,0.72
199311,2.04,1.93
199312,1.13,0.77
199401,1.67,1.58
199402,1.48,1.28
199403,-1.44,-1.24
199404,0.78,0.15
199405,-2.81,-3.70
199406,0.05,-0.05
199407,4.25,3.30
199408,0.32,-0.62
199409,-0.40,-0.44
199410,1.92,0.61
199411,0.96,0.85
199412,1.04,0.68
199501,0.15,0.06
199502,-0.37,-0.57
199503,1.30,1.50
199504,3.13,2.50
199505,6.99,6.10
199506,0.06,-0.04
199507,0.45,-0.50
199508,-0.65,-1.59
199509,1.18,1.14
199510,1.46,0.15
199511,-0.48,-0.59
199512,-0.97,-1.33
199601,0.77,0.68
199602,-1.40,-1.60
199603,-1.09,-0.89
199604,-1.35,-1.98
199605,4.06,3.17
199606,-0.84,-0.94
199607,1.49,0.54
199608,3.11,2.17
199609,3.53,3.49
199610,-0.21,-1.52
199611,2.89,2.78
199612,-0.19,-0.55
199701,-0.08,-0.17
199702,0.95,0.75
199703,-1.82,-1.62
199704,1.53,0.90
199705,0.33,-0.56
199706,-0.18,-0.28
199707,0.94,-0.01
199708,1.18,0.24
199709,1.02,0.98
199710,3.60,2.29
199711,0.11,0.00
199712,0.17,-0.19
199801,-0.09,-0.18
199802,0.05,-0.15
199803,2.28,2.48
199804,0.93,0.30
199805,-0.48,-1.37
199806,2.70,2.60
199807,3.61,2.66
199808,1.89,0.95
199809,-1.87,-1.91
199810,3.36,2.05
199811,2.77,2.66
199812,-0.27,-0.63
199901,0.10,0.01
199902,-0.21,-0.41
199903,-0.69,-0.49
199904,4.15,3.52
199905,1.40,0.51
199906,3.32,3.22
199907,0.75,-0.20
199908,2.05,1.11
199909,0.09,0.05
199910,-2.01,-3.32
199911,-1.92,-2.03
199912,-0.85,-1.21
200001,-0.68,-0.77
200002,0.36,0.16
200003,-0.81,-0.61
200004,-1.01,-1.64
200005,-1.89,-2.78
200006,-1.77,-1.87
200007,-0.23,-1.18
200008,-3.67,-4.61
200009,-1.73,-1.77
200010,1.58,0.27
200011,1.37,1.26
200012,-0.59,-0.95
200101,1.04,0.95
200102,0.88,0.68
200103,-1.16,-0.96
200104,2.26,1.63
200105,1.52,0.63
200106,-1.90,-2.00
200107,1.74,0.79
200108,-0.52,-1.46
200109,1.13,1.09
200110,-0.32,-1.63
200111,0.66,0.55
200112,-1.22,-1.58
200201,-0.84,-0.93
200202,-1.07,-1.27
200203,-0.99,-0.79
200204,-1.96,-2.59
200205,-1.70,-2.59
200206,-4.96,-5.06
200207,-5.11,-6.06
200208,0.19,-0.75
200209,-2.00,-2.04
200210,3.21,1.90
200211,-1.53,-1.64
200212,-1.61,-1.97
200301,-0.80,-0.89
200302,-0.41,-0.61
200303,-1.48,-1.28
200304,0.57,-0.06
200305,-0.49,-1.38
200306,1.05,0.95
200307,-2.65,-3.60
200308,-3.30,-4.24
200309,0.04,0.00
200310,-1.81,-3.12
200311,0.06,-0.05
200312,-0.98,-1.34
200401,-0.44,-0.53
200402,-0.19,-0.39
200403,-0.71,-0.51
200404,-1.76,-2.39
200405,-1.33,-2.22
200406,-1.18,-1.28
200407,1.32,0.37
200408,-1.90,-2.84
200409,1.69,1.65
200410,-0.47,-1.78
200411,0.91,0.80
200412,-1.41,-1.77
200501,-0.18,-0.27
200502,-0.16,-0.36
200503,-0.71,-0.51
200504,1.06,0.43
200505,-0.08,-0.97
200506,2.31,2.21
200507,-1.04,-1.99
200508,0.92,-0.02
200509,-2.36,-2.40
200510,0.23,-1.08
200511,-0.35,-0.46
200512,-0.77,-1.13
200601,-1.46,-1.55
200602,-1.39,-1.59
200603,0.47,0.67
200604,-1.41,-2.04
200605,-4.54,-5.43
200606,-2.29,-2.39
200607,-3.63,-4.58
200608,0.93,-0.01
200609,2.51,2.47
200610,0.16,-1.15
200611,-1.55,-1.66
200612,3.20,2.84
