New Hampshire, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,4.49,1.21
199002,3.26,0.29
199003,2.23,-1.26
199004,3.70,-0.17
199005,5.85,1.90
199006,4.36,-0.13
199007,3.24,-1.38
199008,8.07,3.81
199009,2.54,-1.40
199010,7.03,1.94
199011,3.58,-0.23
199012,5.40,1.21
199101,2.69,-0.59
199102,1.66,-1.31
199103,3.89,0.40
199104,3.45,-0.42
199105,3.60,-0.35
199106,2.70,-1.79
199107,2.48,-2.14
199108,8.53,4.27
199109,5.43,1.49
199110,4.38,-0.71
199111,3.91,0.10
199112,3.69,-0.50
199201,2.68,-0.60
199202,2.20,-0.77
199203,4.04,0.55
199204,2.52,-1.35
199205,1.70,-2.25
199206,3.95,-0.54
199207,4.31,-0.31
199208,3.95,-0.31
199209,3.66,-0.28
199210,2.82,-2.27
199211,4.61,0.80
199212,2.55,-1.64
199301,2.64,-0.64
199302,3.05,0.08
199303,4.36,0.87
199304,4.19,0.32
199305,1.44,-2.51
199306,3.38,-1.11
199307,3.48,-1.14
199308,3.35,-0.91
199309,4.68,0.74
199310,3.38,-1.71
199311,3.98,0.17
199312,4.20,0.01
199401,4.78,1.50
199402,1.50,-1.47
199403,4.94,1.45
199404,3.43,-0.44
199405,4.40,0.45
199406,3.35,-1.14
199407,4.51,-0.11
199408,3.88,-0.38
199409,4.87,0.93
199410,0.94,-4.15
199411,3.16,-0.65
199412,4.00,-0.19
199501,3.81,0.53
199502,2.65,-0.32
199503,2.73,-0.76
199504,2.01,-1.86
199505,3.05,-0.90
199506,1.68,-2.81
199507,4.57,-0.05
199508,2.69,-1.57
199509,2.78,-1.16
199510,9.03,3.94
199511,5.55,1.74
199512,3.11,-1.08
199601,5.41,2.13
199602,3.33,0.36
199603,2.28,-1.21
199604,7.03,3.16
199605,5.49,1.54
199606,3.74,-0.75
199607,7.77,3.15
199608,1.05,-3.21
199609,3.81,-0.13
199610,7.99,2.90
199611,2.94,-0.87
199612,6.49,2.30
199701,3.61,0.33
199702,2.44,-0.53
199703,4.20,0.71
199704,4.30,0.43
199705,3.28,-0.67
199706,2.38,-2.11
199707,4.78,0.16
199708,5.05,0.79
199709,2.43,-1.51
199710,1.74,-3.35
199711,6.12,2.31
199712,2.79,-1.40
199801,5.35,2.07
199802,3.33,0.36
199803,4.00,0.51
199804,2.57,-1.30
199805,3.35,-0.60
199806,10.14,5.65
199807,3.63,-0.99
199808,3.21,-1.05
199809,2.78,-1.16
199810,4.39,-0.70
199811,3.10,-0.71
199812,1.72,-2.47
199901,6.43,3.15
199902,1.99,-0.98
199903,5.08,1.59
199904,0.78,-3.09
199905,3.49,-0.46
199906,2.76,-1.73
199907,3.80,-0.82
199908,3.15,-1.11
199909,9.68,5.74
199910,4.02,-1.07
199911,3.10,-0.71
199912,1.90,-2.29
200001,3.89,0.61
200002,3.56,0.59
200003,3.75,0.26
200004,6.40,2.53
200005,4.65,0.70
200006,3.83,-0.66
200007,5.15,0.53
200008,3.12,-1.14
200009,3.08,-0.86
200010,2.98,-2.11
200011,3.80,-0.01
200012,4.56,0.37
200101,1.58,-1.70
200102,3.22,0.25
200103,6.06,2.57
200104,1.09,-2.78
200105,1.92,-2.03
200106,4.84,0.35
200107,3.57,-1.05
200108,1.78,-2.48
200109,4.28,0.34
200110,1.74,-3.35
200111,2.21,-1.60
200112,2.58,-1.61
200201,2.63,-0.65
200202,3.06,0.09
200203,3.93,0.44
200204,4.53,0.66
200205,4.69,0.74
200206,6.03,1.54
200207,2.13,-2.49
200208,2.04,-2.22
200209,3.84,-0.10
200210,3.64,-1.45
200211,4.84,1.03
200212,3.53,-0.66
200301,2.34,-0.94
200302,2.73,-0.24
200303,3.20,-0.29
200304,2.98,-0.89
200305,4.50,0.55
200306,2.90,-1.59
200307,3.21,-1.41
200308,6.24,1.98
200309,5.34,1.40
200310,6.40,1.31
200311,3.77,-0.04
200312,6.77,2.58
200401,0.93,-2.35
200402,1.34,-1.63
200403,1.80,-1.69
200404,5.60,1.73
200405,5.41,1.46
200406,2.59,-1.90
200407,4.74,0.12
200408,5.81,1.55
200409,4.55,0.61
200410,1.98,-3.11
200411,4.10,0.29
200412,4.39,0.20
200501,3.15,-0.13
200502,2.80,-0.17
200503,3.98,0.49
200504,5.61,1.74
200505,5.16,1.21
200506,5.36,0.87
200507,4.05,-0.57
200508,4.02,-0.24
200509,3.47,-0.47
200510,13.65,8.56
