New Jersey, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,4.42,0.96
199002,1.92,-0.97
199003,2.73,-1.42
199004,3.59,-0.06
199005,7.62,3.75
199006,2.90,-1.32
199007,3.82,-0.95
199008,8.15,3.41
199009,2.24,-1.93
199010,4.15,-0.07
199011,2.26,-0.99
199012,5.16,0.96
199101,4.33,0.87
199102,1.35,-1.54
199103,5.08,0.93
199104,3.83,0.18
199105,2.26,-1.61
199106,2.80,-1.42
199107,5.70,0.93
199108,4.82,0.08
199109,4.12,-0.05
199110,2.14,-2.08
199111,1.97,-1.28
199112,4.01,-0.19
199201,1.76,-1.70
199202,1.92,-0.97
199203,3.63,-0.52
199204,1.72,-1.93
199205,3.26,-0.61
199206,4.53,0.31
199207,4.74,-0.03
199208,4.81,0.07
199209,4.04,-0.13
199210,1.49,-2.73
199211,4.76,1.51
199212,5.04,0.84
199301,2.59,-0.87
199302,2.87,-0.02
199303,6.90,2.75
199304,4.62,0.97
199305,1.42,-2.45
199306,2.64,-1.58
199307,2.67,-2.10
199308,3.97,-0.77
199309,5.51,1.34
199310,4.02,-0.20
199311,2.86,-0.39
199312,4.64,0.44
199401,5.42,1.96
199402,3.57,0.68
199403,7.12,2.97
199404,2.89,-0.76
199405,3.60,-0.27
199406,3.44,-0.78
199407,5.30,0.53
199408,5.92,1.18
199409,2.97,-1.20
199410,0.95,-3.27
199411,3.67,0.42
199412,2.46,-1.74
199501,3.19,-0.27
199502,2.37,-0.52
199503,1.91,-2.24
199504,1.86,-1.79
199505,3.73,-0.14
199506,2.08,-2.14
199507,4.36,-0.41
199508,1.71,-3.03
199509,4.22,0.05
199510,6.86,2.64
199511,5.07,1.82
199512,2.34,-1.86
199601,5.73,2.27
199602,2.28,-0.61
199603,4.32,0.17
199604,4.99,1.34
199605,3.68,-0.19
199606,5.07,0.85
199607,7.13,2.36
199608,3.52,-1.22
199609,5.66,1.49
199610,6.34,2.12
199611,2.59,-0.66
199612,7.87,3.67
199701,3.18,-0.28
199702,2.42,-0.47
199703,4.65,0.50
199704,3.86,0.21
199705,3.20,-0.67
199706,2.13,-2.09
199707,5.19,0.42
199708,5.52,0.78
199709,2.29,-1.88
199710,2.36,-1.86
199711,4.16,0.91
199712,3.91,-0.29
199801,4.57,1.11
199802,4.47,1.58
199803,5.11,0.96
199804,4.67,1.02
199805,5.95,2.08
199806,5.04,0.82
199807,2.04,-2.73
199808,2.58,-2.16
199809,2.00,-2.17
199810,2.63,-1.59
199811,1.35,-1.90
199812,1.34,-2.86
199901,7.19,3.73
199902,2.88,-0.01
199903,4.95,0.80
199904,2.71,-0.94
199905,3.01,-0.86
199906,1.69,-2.53
199907,1.27,-3.50
199908,5.37,0.63
199909,9.50,5.33
199910,3.34,-0.88
199911,2.38,-0.87
199912,2.97,-1.23
200001,3.10,-0.36
200002,2.16,-0.73
200003,4.61,0.46
200004,3.33,-0.32
200005,3.82,-0.05
200006,4.38,0.16
200007,5.76,0.99
200008,5.33,0.59
200009,5.23,1.06
200010,0.77,-3.45
200011,3.15,-0.10
200012,3.61,-0.59
200101,3.03,-0.43
200102,2.62,-0.27
200103,5.95,1.80
200104,1.83,-1.82
200105,3.17,-0.70
200106,5.24,1.02
200107,3.10,-1.67
200108,3.53,-1.21
200109,2.93,-1.24
200110,0.93,-3.29
200111,1.00,-2.25
200112,2.22,-1.98
200201,2.21,-1.25
200202,0.75,-2.14
200203,4.21,0.06
200204,3.83,0.18
200205,4.26,0.39
200206,4.94,0.72
200207,1.66,-3.11
200208,3.73,-1.01
200209,3.95,-0.22
200210,6.74,2.52
200211,5.10,1.85
200212,4.53,0.33
200301,2.54,-0.92
200302,4.69,1.80
200303,4.07,-0.08
200304,2.86,-0.79
200305,3.77,-0.10
200306,8.43,4.21
200307,3.87,-0.90
200308,4.92,0.18
200309,6.26,2.09
200310,4.99,0.77
200311,4.32,1.07
200312,5.76,1.56
200401,1.98,-1.48
200402,2.52,-0.37
200403,3.30,-0.85
200404,5.32,1.67
200405,3.75,-0.12
200406,3.05,-1.17
200407,7.52,2.75
200408,4.82,0.08
200409,6.06,1.89
200410,2.28,-1.94
200411,4.62,1.37
200412,3.48,-0.72
200501,4.35,0.89
200502,2.42,-0.47
200503,4.01,-0.14
200504,4.48,0.83
200505,2.56,-1.31
200506,3.53,-0.69
200507,4.64,-0.13
200508,2.12,-2.62
200509,1.19,-2.98
200510,11.99,7.77
200511,3.91,0.66
200512,3.61,-0.59
200601,5.17,1.71
200602,1.76,-1.13
200603,0.82,-3.33
200604,3.64,-0.01
200605,3.03,-0.84
200606,7.88,3.66
200607,5.18,0.41
200608,3.76,-0.98
200609,5.85,1.68
200610,6.28,2.06
200611,5.88,2.63
200612,2.16,-2.04
200701,3.60,0.14
200702,1.97,-0.92
200703,4.11,-0.04
200704,8.45,4.80
200705,1.58,-2.29
200706,4.05,-0.17
200707,4.47,-0.30
200708,4.49,-0.25
200709,0.99,-3.18
200710,5.50,1.28
200711,2.34,-0.91
200712,5.38,1.18
200801,2.06,-1.40
200802,5.24,2.35
200803,4.09,-0.06
200804,2.67,-0.98
200805,4.57,0.70
200806,3.09,-1.13
200807,3.92,-0.85
200808,2.34,-2.40
200809,6.16,1.99
200810,2.84,-1.38
200811,3.80,0.55
200812,6.44,2.24
200901,2.93,-0.53
200902,0.66,-2.23
200903,2.01,-2.14
200904,4.40,0.75
200905,4.43,0.56
200906,6.79,2.57
200907,5.00,0.23
200908,7.39,2.65
200909,3.99,-0.18
200910,5.67,1.45
200911,2.19,-1.06
200912,7.71,3.51
201001,2.64,-0.82
201002,4.62,1.73
201003,8.66,4.51
201004,2.51,-1.14
201005,3.35,-0.52
201006,2.24,-1.98
201007,4.07,-0.70
201008,2.51,-2.23
201009,3.18,-0.99
201010,5.38,1.16
201011,2.17,-1.08
201012,3.27,-0.93
201101,3.33,-0.13
201102,3.07,0.18
201103,5.55,1.40
201104,5.67,2.02
201105,3.77,-0.10
201106,3.43,-0.79
201107,4.11,-0.66
201108,15.67,10.93
201109,7.12,2.95
201110,4.19,-0.03
201111,3.83,0.58
201112,4.21,0.01
201201,2.78,-0.68
201202,1.33,-1.56
201203,1.65,-2.50
201204,2.87,-0.78
201205,4.27,0.40
201206,4.30,0.08
201207,3.43,-1.34
201208,4.62,-0.12
201209,4.45,0.28
201210,5.43,1.21
201211,1.30,-1.95
201212,5.56,1.36
201301,3.00,-0.46
201302,2.89,0.00
201303,2.89,-1.26
201304,2.60,-1.05
201305,3.82,-0.05
201306,9.49,5.27
201307,5.27,0.50
201308,4.67,-0.07
201309,2.11,-2.06
201310,2.01,-2.21
201311,2.89,-0.36
201312,4.74,0.54
201401,3.12,-0.34
201402,4.96,2.07
201403,3.97,-0.18
201404,4.42,0.77
201405,4.72,0.85
201406,3.32,-0.90
201407,5.23,0.46
201408,4.08,-0.66
201409,2.50,-1.67
201410,3.64,-0.58
201411,4.34,1.09
201412,4.65,0.45
201501,4.43,0.97
201502,2.18,-0.71
201503,4.55,0.40
201504,2.67,-0.98
201505,1.21,-2.66
201506,8.12,3.90
201507,3.68,-1.09
201508,2.26,-2.48
201509,3.60,-0.57
201510,4.02,-0.20
201511,2.30,-0.95
201512,4.84,0.64
201601,3.19,-0.27
201602,4.08,1.19
201603,1.87,-2.28
201604,2.26,-1.39
201605,4.79,0.92
201606,2.40,-1.82
201607,6.97,2.20
201608,2.08,-2.66
201609,3.45,-0.72
201610,2.80,-1.42
201611,2.43,-0.82
201612,3.27,-0.93
201701,3.71,0.25
201702,1.64,-1.25
201703,4.06,-0.09
201704,3.82,0.17
201705,6.51,2.64
201706,3.32,-0.90
201707,6.29,1.52
201708,5.17,0.43
201709,2.27,-1.90
201710,4.97,0.75
201711,1.70,-1.55
201712,1.46,-2.74
201801,2.72,-0.74
201802,6.08,3.19
201803,4.64,0.49
201804,4.17,0.52
201805,5.80,1.93
201806,3.30,-0.92
201807,5.91,1.14
201808,5.56,0.82
201809,7.57,3.40
201810,4.46,0.24
201811,8.65,5.40
201812,5.90,1.70
201901,4.49,1.03
201902,3.26,0.37
201903,3.84,-0.31
201904,3.97,0.32
201905,6.75,2.88
201906,5.15,0.93
201907,6.14,1.37
201908,3.73,-1.01
201909,1.25,-2.92
201910,5.71,1.49
201911,1.94,-1.31
201912,5.32,1.12
202001,2.29,-1.17
202002,2.79,-0.10
202003,3.61,-0.54
202004,3.98,0.33
202005,2.47,-1.40
202006,3.05,-1.17
202007,6.69,1.92
202008,6.09,1.35
202009,4.41,0.24
202010,5.03,0.81
202011,4.09,0.84
202012,5.35,1.15
202101,1.86,-1.60
202102,4.73,1.84
202103,3.84,-0.31
202104,2.35,-1.30
202105,3.84,-0.03
202106,3.37,-0.85
202107,7.62,2.85
202108,6.59,1.85
202109,6.45,2.28
202110,5.07,0.85
202111,1.01,-2.24
202112,1.26,-2.94
202201,3.37,-0.09
