New Jersey, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,38.0,6.1
199002,38.3,4.3
199003,43.3,2.1
199004,50.4,-1.1
199005,58.5,-2.6
199006,69.2,-1.1
199007,74.4,-1.0
199008,72.6,-1.0
199009,63.9,-3.0
199010,58.7,3.1
199011,46.6,1.5
199012,39.5,2.7
199101,31.6,-0.3
199102,37.3,3.3
199103,43.0,1.8
199104,52.4,0.9
199105,66.0,4.9
199106,70.9,0.6
199107,75.0,-0.4
199108,74.2,0.6
199109,64.8,-2.1
199110,55.1,-0.5
199111,44.9,-0.2
199112,37.5,0.7
199201,32.8,0.9
199202,34.6,0.6
199203,38.0,-3.2
199204,48.3,-3.2
199205,57.7,-3.4
199206,66.7,-3.6
199207,72.5,-2.9
199208,69.4,-4.2
199209,64.8,-2.1
199210,50.8,-4.8
199211,43.9,-1.2
199212,35.0,-1.8
199301,35.1,3.2
199302,28.4,-5.6
199303,36.6,-4.6
199304,50.3,-1.2
199305,61.9,0.8
199306,69.3,-1.0
199307,76.3,0.9
199308,73.6,0.0
199309,65.1,-1.8
199310,52.4,-3.2
199311,43.9,-1.2
199312,33.8,-3.0
199401,23.7,-8.2
199402,28.4,-5.6
199403,38.7,-2.5
199404,53.7,2.2
199405,58.3,-2.8
199406,72.2,1.9
199407,76.8,1.4
199408,70.1,-3.5
199409,64.2,-2.7
199410,52.7,-2.9
199411,48.6,3.5
199412,38.9,2.1
199501,35.6,3.7
199502,28.8,-5.2
199503,43.3,2.1
199504,49.4,-2.1
199505,59.0,-2.1
199506,69.4,-0.9
199507,76.1,0.7
199508,74.3,0.7
199509,65.5,-1.4
199510,57.8,2.2
199511,40.5,-4.6
199512,29.8,-7.0
199601,28.8,-3.1
199602,32.0,-2.0
199603,36.5,-4.7
199604,50.5,-1.0
199605,58.3,-2.8
199606,70.1,-0.2
199607,71.7,-3.7
199608,71.9,-1.7
199609,66.2,-0.7
199610,54.1,-1.5
199611,39.8,-5.3
199612,38.4,1.6
199701,30.3,-1.6
199702,38.0,4.0
199703,41.2,0.0
199704,48.4,-3.1
199705,57.1,-4.0
199706,67.8,-2.5
199707,74.0,-1.4
199708,71.0,-2.6
199709,64.4,-2.5
199710,54.2,-1.4
199711,42.1,-3.0
199712,36.1,-0.7
199801,38.8,6.9
199802,39.1,5.1
199803,43.2,2.0
199804,52.4,0.9
199805,63.3,2.2
199806,68.5,-1.8
199807,74.4,-1.0
199808,74.1,0.5
199809,68.2,1.3
199810,55.2,-0.4
199811,44.7,-0.4
199812,40.0,3.2
199901,33.1,1.2
199902,35.4,1.4
199903,40.0,-1.2
199904,50.8,-0.7
199905,60.5,-0.6
199906,70.6,0.3
199907,78.4,3.0
199908,73.8,0.2
199909,67.2,0.3
199910,53.0,-2.6
199911,48.6,3.5
199912,37.6,0.8
200001,30.0,-1.9
200002,35.3,1.3
200003,45.6,4.4
200004,49.8,-1.7
200005,62.0,0.9
200006,70.3,0.0
200007,71.0,-4.4
200008,71.0,-2.6
200009,64.4,-2.5
200010,54.9,-0.7
200011,43.0,-2.1
200012,29.0,-7.8
200101,29.8,-2.1
200102,35.0,1.0
200103,38.2,-3.0
200104,51.4,-0.1
200105,61.6,0.5
200106,71.0,0.7
200107,71.1,-4.3
200108,75.5,1.9
200109,64.8,-2.1
200110,55.4,-0.2
200111,48.8,3.7
200112,41.1,4.3
200201,36.9,5.0
200202,38.4,4.4
200203,42.9,1.7
200204,53.9,2.4
200205,59.2,-1.9
200206,70.1,-0.2
200207,76.1,0.7
200208,75.8,2.2
200209,67.8,0.9
