New Mexico, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,0.67,0.02
199002,0.77,0.18
199003,0.78,0.09
199004,1.07,0.44
199005,0.71,-0.20
199006,0.28,-0.74
199007,3.18,0.70
199008,2.86,0.47
199009,2.69,0.92
199010,0.64,-0.50
199011,1.25,0.57
199012,1.06,0.25
199101,0.65,0.00
199102,0.45,-0.14
199103,0.88,0.19
199104,0.06,-0.57
199105,0.96,0.05
199106,1.22,0.20
199107,4.00,1.52
199108,3.38,0.99
199109,2.90,1.13
199110,0.45,-0.69
199111,1.49,0.81
199112,2.58,1.77
199201,0.94,0.29
199202,0.53,-0.06
199203,0.88,0.19
199204,0.62,-0.01
199205,3.01,2.10
199206,1.28,0.26
199207,2.26,-0.22
199208,2.53,0.14
199209,0.84,-0.93
199210,0.66,-0.48
199211,0.56,-0.12
199212,1.42,0.61
199301,1.68,1.03
199302,0.95,0.36
199303,0.76,0.07
199304,0.32,-0.31
199305,0.83,-0.08
199306,0.96,-0.06
199307,1.80,-0.68
199308,4.15,1.76
199309,0.74,-1.03
199310,0.90,-0.24
199311,0.76,0.08
199312,0.25,-0.56
199401,0.25,-0.40
199402,0.42,-0.17
199403,0.99,0.30
199404,0.72,0.09
199405,2.27,1.36
199406,0.59,-0.43
199407,1.64,-0.84
199408,2.19,-0.20
199409,1.39,-0.38
199410,1.37,0.23
199411,1.58,0.90
199412,1.02,0.21
199501,0.94,0.29
199502,0.49,-0.10
199503,0.70,0.01
199504,0.64,0.01
199505,1.21,0.30
199506,1.16,0.14
199507,1.33,-1.15
199508,2.07,-0.32
199509,2.43,0.66
199510,0.09,-1.05
199511,0.26,-0.42
199512,0.42,-0.39
199601,0.38,-0.27
199602,0.45,-0.14
199603,0.17,-0.52
199604,0.20,-0.43
199605,0.19,-0.72
199606,2.44,1.42
199607,2.90,0.42
199608,2.97,0.58
199609,2.24,0.47
199610,1.44,0.30
199611,0.62,-0.06
199612,0.13,-0.68
199701,1.11,0.46
199702,0.94,0.35
199703,0.22,-0.47
199704,1.87,1.24
199705,1.33,0.42
199706,1.81,0.79
199707,2.57,0.09
199708,2.52,0.13
199709,2.67,0.90
199710,0.96,-0.18
199711,0.82,0.14
199712,1.82,1.01
199801,0.18,-0.47
199802,0.78,0.19
199803,1.46,0.77
199804,0.56,-0.07
199805,0.06,-0.85
199806,0.19,-0.83
199807,3.52,1.04
199808,2.14,-0.25
199809,0.82,-0.95
199810,3.27,2.13
199811,0.73,0.05
199812,0.39,-0.42
199901,0.51,-0.14
199902,0.05,-0.54
199903,0.86,0.17
199904,1.45,0.82
199905,1.56,0.65
199906,1.56,0.54
199907,3.19,0.71
199908,3.44,1.05
199909,1.57,-0.20
199910,0.38,-0.76
199911,0.02,-0.66
199912,0.36,-0.45
200001,0.23,-0.42
200002,0.16,-0.43
200003,1.62,0.93
200004,0.34,-0.29
200005,0.12,-0.79
200006,2.27,1.25
200007,1.71,-0.77
200008,1.69,-0.70
200009,0.22,-1.55
200010,3.23,2.09
200011,1.29,0.61
200012,0.48,-0.33
200101,1.16,0.51
200102,0.70,0.11
200103,1.06,0.37
200104,0.41,-0.22
200105,1.02,0.11
200106,0.80,-0.22
200107,1.78,-0.70
200108,2.39,0.00
