New Mexico, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,33.6,-2.0
199002,37.0,-2.4
199003,45.0,-1.0
199004,53.4,0.5
199005,59.7,-1.9
199006,74.5,3.2
199007,71.2,-2.8
199008,68.6,-3.5
199009,65.8,-0.1
199010,54.2,-0.9
199011,44.2,0.3
199012,32.0,-3.7
199101,32.7,-2.9
199102,40.7,1.3
199103,43.0,-3.0
199104,51.6,-1.3
199105,61.1,-0.5
199106,68.1,-3.2
199107,70.6,-3.4
199108,70.0,-2.1
199109,62.5,-3.4
199110,55.2,0.1
199111,40.1,-3.8
199112,34.5,-1.2
199201,31.6,-4.0
199202,39.4,0.0
199203,45.3,-0.7
199204,54.6,1.7
199205,59.4,-2.2
199206,66.9,-4.4
199207,71.5,-2.5
199208,69.9,-2.2
199209,65.3,-0.6
199210,56.4,1.3
199211,37.8,-6.1
199212,32.6,-3.1
199301,36.8,1.2
199302,38.2,-1.2
199303,45.0,-1.0
199304,52.2,-0.7
199305,60.5,-1.1
199306,69.2,-2.1
199307,73.6,-0.4
199308,70.5,-1.6
199309,63.6,-2.3
199310,52.7,-2.4
199311,40.0,-3.9
199312,35.4,-0.3
199401,35.2,-0.4
199402,37.2,-2.2
199403,46.0,0.0
199404,52.2,-0.7
199405,61.1,-0.5
199406,73.7,2.4
199407,74.5,0.5
199408,73.6,1.5
199409,65.4,-0.5
199410,53.5,-1.6
199411,42.5,-1.4
199412,38.4,2.7
199501,35.7,0.1
199502,44.0,4.6
199503,45.7,-0.3
199504,49.5,-3.4
199505,58.7,-2.9
199506,67.4,-3.9
199507,72.6,-1.4
199508,73.7,1.6
199509,65.0,-0.9
199510,55.3,0.2
199511,46.7,2.8
199512,37.5,1.8
199601,36.3,0.7
199602,42.9,3.5
199603,43.4,-2.6
199604,53.2,0.3
199605,66.7,5.1
199606,72.0,0.7
199607,73.8,-0.2
199608,71.0,-1.1
199609,62.3,-3.6
199610,53.6,-1.5
199611,43.9,0.0
199612,37.0,1.3
199701,32.9,-2.7
199702,36.9,-2.5
199703,47.4,1.4
199704,48.5,-4.4
199705,61.4,-0.2
199706,68.5,-2.8
199707,72.9,-1.1
199708,71.6,-0.5
199709,67.9,2.0
199710,53.7,-1.4
199711,41.8,-2.1
199712,31.3,-4.4
199801,37.1,1.5
199802,37.3,-2.1
199803,43.1,-2.9
199804,48.3,-4.6
199805,61.8,0.2
199806,69.9,-1.4
199807,74.3,0.3
199808,71.5,-0.6
199809,68.9,3.0
199810,55.4,0.3
199811,45.7,1.8
199812,36.9,1.2
199901,39.3,3.7
199902,42.6,3.2
199903,46.9,0.9
199904,50.3,-2.6
199905,59.8,-1.8
199906,68.3,-3.0
199907,72.4,-1.6
199908,71.1,-1.0
199909,64.4,-1.5
199910,55.0,-0.1
199911,47.7,3.8
199912,34.2,-1.5
200001,38.9,3.3
200002,43.7,4.3
200003,45.7,-0.3
200004,55.5,2.6
200005,66.0,4.4
200006,70.7,-0.6
200007,74.6,0.6
200008,73.2,1.1
200009,68.0,2.1
200010,53.9,-1.2
200011,37.1,-6.8
200012,35.2,-0.5
200101,31.8,-3.8
200102,39.3,-0.1
200103,44.4,-1.6
200104,54.2,1.3
200105,63.1,1.5
200106,71.5,0.2
200107,75.2,1.2
200108,71.5,-0.6
200109,66.7,0.8
200110,56.8,1.7
200111,45.7,1.8
200112,34.7,-1.0
200201,36.0,0.4
200202,37.0,-2.4
200203,43.6,-2.4
200204,57.3,4.4
200205,62.7,1.1
200206,73.8,2.5
200207,73.8,-0.2
200208,73.2,1.1
200209,65.4,-0.5
200210,52.8,-2.3
200211,42.5,-1.4
200212,34.5,-1.2
200301,40.2,4.6
200302,38.6,-0.8
200303,45.1,-0.9
200304,52.9,0.0
200305,63.2,1.6
200306,69.2,-2.1
200307,76.8,2.8
200308,73.5,1.4
200309,66.0,0.1
200310,58.9,3.8
200311,44.6,0.7
200312,36.8,1.1
200401,36.6,1.0
200402,35.0,-4.4
200403,49.7,3.7
200404,51.4,-1.5
200405,63.1,1.5
200406,69.9,-1.4
200407,72.3,-1.7
200408,69.3,-2.8
200409,63.9,-2.0
200410,54.2,-0.9
200411,41.4,-2.5
200412,35.7,0.0
200501,39.9,4.3
200502,40.1,0.7
200503,43.1,-2.9
200504,51.7,-1.2
200505,61.6,0.0
200506,69.8,-1.5
200507,75.0,1.0
200508,70.8,-1.3
200509,67.3,1.4
200510,55.2,0.1
200511,45.3,1.4
200512,36.8,1.1
200601,38.2,2.6
200602,40.1,0.7
200603,45.3,-0.7
200604,56.2,3.3
200605,65.0,3.4
200606,73.0,1.7
200607,74.6,0.6
200608,70.2,-1.9
200609,60.9,-5.0
200610,53.6,-1.5
200611,45.3,1.4
200612,34.5,-1.2
200701,30.8,-4.8
200702,39.2,-0.2
200703,47.6,1.6
200704,51.6,-1.3
200705,60.0,-1.6
200706,69.8,-1.5
