Nevada, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,31.9,-0.9
199002,30.9,-4.7
199003,43.1,1.0
199004,51.7,4.1
199005,53.9,-2.3
199006,65.4,-0.4
199007,73.5,-0.4
199008,69.9,-2.0
199009,65.5,1.9
199010,52.2,0.7
199011,39.2,-0.9
199012,23.3,-8.3
199101,29.7,-3.1
199102,41.2,5.6
199103,37.2,-4.9
199104,44.0,-3.6
199105,50.5,-5.7
199106,62.2,-3.6
199107,73.6,-0.3
199108,71.3,-0.6
199109,63.9,0.3
199110,53.6,2.1
199111,39.6,-0.5
199112,31.9,0.3
199201,30.8,-2.0
199202,39.3,3.7
199203,43.6,1.5
199204,52.9,5.3
199205,61.8,5.6
199206,64.8,-1.0
199207,70.4,-3.5
199208,72.1,0.2
199209,63.7,0.1
199210,54.3,2.8
199211,35.7,-4.4
199212,26.9,-4.7
199301,26.4,-6.4
199302,30.4,-5.2
199303,44.0,1.9
199304,47.0,-0.6
199305,58.3,2.1
199306,61.0,-4.8
199307,67.6,-6.3
199308,68.6,-3.3
199309,62.3,-1.3
199310,51.3,-0.2
199311,35.3,-4.8
199312,31.3,-0.3
199401,34.2,1.4
199402,32.3,-3.3
199403,44.9,2.8
199404,48.6,1.0
199405,57.2,1.0
199406,67.9,2.1
199407,75.2,1.3
199408,73.3,1.4
199409,63.7,0.1
199410,49.1,-2.4
199411,31.0,-9.1
199412,31.8,0.2
199501,34.1,1.3
199502,42.8,7.2
199503,40.0,-2.1
199504,44.7,-2.9
199505,51.6,-4.6
199506,59.8,-6.0
199507,70.3,-3.6
199508,71.1,-0.8
199509,64.3,0.7
199510,51.7,0.2
199511,45.6,5.5
199512,35.1,3.5
199601,34.2,1.4
199602,37.4,1.8
199603,42.0,-0.1
199604,48.4,0.8
199605,56.0,-0.2
199606,66.9,1.1
199607,75.3,1.4
199608,72.5,0.6
199609,60.9,-2.7
199610,50.0,-1.5
199611,40.7,0.6
199612,34.2,2.6
199701,32.0,-0.8
199702,34.8,-0.8
199703,44.5,2.4
199704,45.4,-2.2
199705,60.5,4.3
199706,64.0,-1.8
199707,70.1,-3.8
199708,71.8,-0.1
199709,63.3,-0.3
199710,49.9,-1.6
199711,41.0,0.9
199712,29.7,-1.9
199801,35.2,2.4
199802,33.5,-2.1
199803,40.3,-1.8
199804,43.9,-3.7
199805,50.0,-6.2
199806,59.7,-6.1
199807,73.8,-0.1
199808,73.2,1.3
199809,62.9,-0.7
199810,47.9,-3.6
199811,39.5,-0.6
199812,30.4,-1.2
199901,34.5,1.7
199902,35.7,0.1
199903,41.2,-0.9
199904,42.5,-5.1
199905,54.0,-2.2
199906,64.1,-1.7
199907,71.5,-2.4
199908,69.4,-2.5
199909,62.8,-0.8
199910,54.1,2.6
199911,44.6,4.5
199912,32.5,0.9
200001,35.0,2.2
200002,38.3,2.7
200003,41.0,-1.1
200004,51.5,3.9
200005,58.6,2.4
200006,68.1,2.3
200007,72.4,-1.5
200008,72.3,0.4
200009,62.2,-1.4
200010,50.0,-1.5
200011,33.8,-6.3
200012,34.6,3.0
200101,29.7,-3.1
200102,32.0,-3.6
200103,43.8,1.7
200104,45.7,-1.9
200105,61.8,5.6
200106,67.1,1.3
200107,72.0,-1.9
200108,74.2,2.3
200109,65.5,1.9
200110,54.7,3.2
200111,41.6,1.5
200112,30.6,-1.0
200201,30.8,-2.0
200202,35.2,-0.4
200203,38.2,-3.9
200204,49.5,1.9
200205,55.7,-0.5
200206,67.6,1.8
200207,76.3,2.4
200208,70.3,-1.6
200209,63.2,-0.4
200210,49.1,-2.4
200211,40.2,0.1
200212,33.5,1.9
200301,40.7,7.9
200302,34.1,-1.5
200303,42.7,0.6
200304,44.2,-3.4
200305,57.0,0.8
200306,67.8,2.0
200307,77.0,3.1
200308,72.4,0.5
200309,64.8,1.2
200310,57.0,5.5
200311,35.9,-4.2
200312,33.3,1.7
200401,30.4,-2.4
200402,32.3,-3.3
200403,47.9,5.8
200404,49.4,1.8
200405,56.8,0.6
200406,67.0,1.2
200407,73.8,-0.1
200408,70.1,-1.8
200409,61.5,-2.1
200410,49.5,-2.0
200411,37.8,-2.3
200412,33.5,1.9
200501,32.4,-0.4
200502,35.4,-0.2
200503,41.5,-0.6
200504,45.8,-1.8
200505,56.3,0.1
200506,61.5,-4.3
200507,75.9,2.0
200508,71.4,-0.5
200509,60.1,-3.5
200510,51.7,0.2
200511,42.1,2.0
200512,33.9,2.3
200601,34.1,1.3
200602,35.2,-0.4
200603,35.8,-6.3
200604,47.7,0.1
200605,59.0,2.8
200606,68.9,3.1
200607,76.2,2.3
200608,70.1,-1.8
200609,61.5,-2.1
200610,49.7,-1.8
200611,40.2,0.1
200612,31.1,-0.5
200701,27.4,-5.4
200702,36.8,1.2
200703,45.9,3.8
200704,49.2,1.6
200705,58.8,2.6
200706,67.6,1.8
200707,76.9,3.0
200708,72.9,1.0
200709,61.4,-2.2
