Ohio, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,2.28,-0.56
199002,4.31,1.80
199003,1.83,-1.38
199004,3.02,-0.81
199005,7.11,2.80
199006,3.85,-0.51
199007,6.27,1.97
199008,4.09,0.54
199009,4.25,0.91
199010,4.44,1.31
199011,2.09,-0.77
199012,7.53,4.37
199101,2.20,-0.64
199102,1.98,-0.53
199103,3.53,0.32
199104,3.73,-0.10
199105,2.83,-1.48
199106,1.77,-2.59
199107,2.82,-1.48
199108,3.04,-0.51
199109,2.65,-0.69
199110,2.05,-1.08
199111,1.82,-1.04
199112,3.19,0.03
199201,1.98,-0.86
199202,1.39,-1.12
199203,3.39,0.18
199204,3.09,-0.74
199205,3.13,-1.18
199206,2.69,-1.67
199207,8.77,4.47
199208,3.90,0.35
199209,3.37,0.03
199210,1.75,-1.38
199211,4.51,1.65
199212,1.81,-1.35
199301,3.37,0.53
199302,2.17,-0.34
199303,3.50,0.29
199304,3.91,0.08
199305,2.12,-2.19
199306,4.63,0.27
199307,3.87,-0.43
199308,1.57,-1.98
199309,3.85,0.51
199310,2.86,-0.27
199311,4.72,1.86
199312,2.06,-1.10
199401,3.43,0.59
199402,1.83,-0.68
199403,2.84,-0.37
199404,4.63,0.80
199405,2.50,-1.81
199406,4.13,-0.23
199407,3.61,-0.69
199408,4.28,0.73
199409,1.81,-1.53
199410,0.90,-2.23
199411,3.08,0.22
199412,2.56,-0.60
199501,3.80,0.96
199502,1.31,-1.20
199503,1.81,-1.40
199504,3.60,-0.23
199505,6.00,1.69
199506,4.23,-0.13
199507,3.23,-1.07
199508,4.17,0.62
199509,1.42,-1.92
199510,4.37,1.24
199511,2.64,-0.22
199512,2.09,-1.07
199601,3.71,0.87
199602,2.15,-0.36
199603,3.10,-0.11
199604,5.46,1.63
199605,6.44,2.13
199606,4.89,0.53
199607,4.57,0.27
199608,1.62,-1.93
199609,5.40,2.06
199610,2.33,-0.80
199611,3.40,0.54
199612,3.78,0.62
199701,2.24,-0.60
199702,2.28,-0.23
199703,5.01,1.80
199704,1.63,-2.20
199705,5.16,0.85
199706,5.13,0.77
199707,3.36,-0.94
199708,4.95,1.40
199709,2.21,-1.13
199710,1.52,-1.61
199711,2.64,-0.22
199712,2.22,-0.94
199801,3.41,0.57
199802,2.55,0.04
199803,2.75,-0.46
199804,5.59,1.76
199805,3.29,-1.02
199806,7.20,2.84
199807,3.33,-0.97
199808,3.72,0.17
199809,1.46,-1.88
199810,2.95,-0.18
199811,1.65,-1.21
199812,2.07,-1.09
199901,4.21,1.37
199902,2.66,0.15
199903,1.93,-1.28
199904,4.05,0.22
199905,2.20,-2.11
199906,2.10,-2.26
199907,3.65,-0.65
199908,3.14,-0.41
199909,1.85,-1.49
199910,2.15,-0.98
199911,2.49,-0.37
199912,2.64,-0.52
200001,2.62,-0.22
200002,3.24,0.73
200003,2.48,-0.73
200004,4.05,0.22
200005,4.80,0.49
200006,4.89,0.53
200007,3.94,-0.36
200008,3.81,0.26
200009,3.94,0.60
200010,2.20,-0.93
200011,1.80,-1.06
200012,3.08,-0.08
200101,1.28,-1.56
200102,1.57,-0.94
200103,1.79,-1.42
200104,3.54,-0.29
200105,5.42,1.11
200106,3.09,-1.27
200107,3.63,-0.67
200108,3.54,-0.01
200109,3.09,-0.25
200110,4.62,1.49
200111,2.98,0.12
200112,2.75,-0.41
200201,2.06,-0.78
200202,1.64,-0.87
200203,3.77,0.56
200204,4.75,0.92
200205,5.19,0.88
200206,3.58,-0.78
200207,2.75,-1.55
200208,2.12,-1.43
200209,4.11,0.77
200210,2.96,-0.17
200211,2.89,0.03
200212,2.78,-0.38
200301,1.61,-1.23
200302,2.88,0.37
200303,2.18,-1.03
200304,2.53,-1.30
200305,6.79,2.48
200306,3.97,-0.39
200307,6.71,2.41
200308,4.82,1.27
200309,5.96,2.62
200310,2.53,-0.60
200311,3.65,0.79
200312,2.79,-0.37
200401,3.61,0.77
200402,1.36,-1.15
200403,3.26,0.05
200404,3.22,-0.61
200405,6.89,2.58
200406,4.58,0.22
200407,4.56,0.26
200408,4.08,0.53
200409,4.31,0.97
200410,2.74,-0.39
200411,3.61,0.75
200412,3.23,0.07
200501,6.70,3.86
200502,1.72,-0.79
200503,2.59,-0.62
200504,4.42,0.59
200505,2.44,-1.87
200506,1.78,-2.58
200507,4.17,-0.13
200508,4.99,1.44
200509,3.36,0.02
200510,2.65,-0.48
200511,3.46,0.60
200512,1.83,-1.33
200601,3.08,0.24
200602,1.63,-0.88
200603,2.66,-0.55
200604,3.18,-0.65
200605,4.18,-0.13
200606,4.57,0.21
200607,5.55,1.25
200608,3.04,-0.51
200609,4.79,1.45
200610,5.67,2.54
200611,2.17,-0.69
200612,3.04,-0.12
200701,4.51,1.67
200702,2.05,-0.46
200703,4.07,0.86
200704,3.42,-0.41
200705,1.56,-2.75
200706,2.77,-1.59
200707,3.62,-0.68
200708,5.72,2.17
200709,2.37,-0.97
200710,3.23,0.10
200711,3.24,0.38
200712,4.60,1.44
200801,2.36,-0.48
200802,4.90,2.39
200803,6.41,3.20
200804,2.52,-1.31
200805,4.68,0.37
200806,6.42,2.06
200807,3.61,-0.69
200808,1.90,-1.65
200809,2.52,-0.82
200810,1.85,-1.28
200811,2.40,-0.46
200812,4.54,1.38
200901,2.47,-0.37
200902,2.03,-0.48
200903,2.47,-0.74
200904,3.87,0.04
200905,3.68,-0.63
200906,4.01,-0.35
200907,4.05,-0.25
200908,3.07,-0.48
200909,2.67,-0.67
200910,4.16,1.03
200911,0.98,-1.88
200912,3.04,-0.12
201001,1.76,-1.08
201002,2.05,-0.46
201003,2.85,-0.36
201004,2.18,-1.65
201005,5.37,1.06
201006,6.32,1.96
201007,3.45,-0.85
201008,2.72,-0.83
201009,2.11,-1.23
201010,1.93,-1.20
201011,4.14,1.28
201012,1.88,-1.28
201101,1.47,-1.37
201102,4.58,2.07
201103,4.24,1.03
201104,7.63,3.80
201105,6.55,2.24
201106,3.81,-0.55
201107,3.80,-0.50
201108,3.93,0.38
201109,5.89,2.55
201110,4.36,1.23
201111,5.42,2.56
201112,4.27,1.11
201201,3.38,0.54
201202,1.62,-0.89
201203,3.09,-0.12
201204,1.93,-1.90
201205,3.68,-0.63
201206,2.12,-2.24
201207,3.45,-0.85
201208,2.97,-0.58
201209,5.10,1.76
201210,4.47,1.34
201211,0.83,-2.03
201212,4.64,1.48
201301,2.61,-0.23
201302,1.88,-0.63
201303,2.42,-0.79
201304,3.84,0.01
201305,2.28,-2.03
201306,5.92,1.56
201307,6.68,2.38
201308,2.70,-0.85
201309,2.63,-0.71
201310,3.64,0.51
201311,2.96,0.10
201312,4.13,0.97
201401,2.08,-0.76
201402,2.60,0.09
201403,2.00,-1.21
201404,5.28,1.45
201405,3.98,-0.33
201406,5.42,1.06
201407,3.45,-0.85
201408,4.14,0.59
201409,2.19,-1.15
201410,2.97,-0.16
201411,1.93,-0.93
201412,2.52,-0.64
201501,2.46,-0.38
201502,1.47,-1.04
201503,3.52,0.31
201504,4.58,0.75
201505,3.34,-0.97
201506,8.03,3.67
201507,4.75,0.45
201508,2.49,-1.06
201509,3.07,-0.27
201510,2.76,-0.37
201511,2.24,-0.62
201512,4.30,1.14
201601,1.34,-1.50
201602,3.24,0.73
201603,4.01,0.80
201604,3.40,-0.43
201605,3.40,-0.91
201606,3.29,-1.07
201607,3.23,-1.07
201608,4.20,0.65
201609,3.72,0.38
201610,2.93,-0.20
201611,1.31,-1.55
201612,3.32,0.16
201701,4.06,1.22
201702,2.03,-0.48
201703,4.50,1.29
201704,4.06,0.23
201705,5.29,0.98
201706,4.62,0.26
201707,6.29,1.99
201708,2.32,-1.23
201709,1.87,-1.47
201710,3.77,0.64
201711,5.14,2.28
201712,1.56,-1.60
201801,2.31,-0.53
201802,5.40,2.89
201803,3.30,0.09
201804,4.63,0.80
201805,4.00,-0.31
201806,5.50,1.14
201807,3.26,-1.04
201808,4.96,1.41
201809,6.30,2.96
201810,2.77,-0.36
201811,5.16,2.30
201812,3.34,0.18
201901,3.42,0.58
201902,4.69,2.18
201903,3.54,0.33
201904,4.31,0.48
201905,4.82,0.51
201906,6.76,2.40
201907,4.45,0.15
201908,3.64,0.09
201909,1.74,-1.60
201910,3.80,0.67
201911,2.19,-0.67
201912,3.51,0.35
202001,3.51,0.67
202002,2.98,0.47
202003,4.98,1.77
202004,3.66,-0.17
202005,5.11,0.80
202006,3.12,-1.24
202007,3.16,-1.14
202008,3.71,0.16
202009,3.18,-0.16
202010,4.19,1.06
202011,2.51,-0.35
202012,2.21,-0.95
202101,1.98,-0.86
202102,2.03,-0.48
202103,2.98,-0.23
202104,2.88,-0.95
202105,3.79,-0.52
202106,4.25,-0.11
202107,5.66,1.36
202108,4.29,0.74
202109,3.79,0.45
202110,4.64,1.51
202111,1.56,-1.30
202112,3.81,0.65
202201,2.32,-0.52
