Ohio, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,36.2,7.9
199002,36.2,5.3
199003,43.8,3.7
199004,49.8,-1.2
199005,57.3,-3.6
199006,68.0,-1.8
199007,71.6,-1.6
199008,69.9,-1.9
199009,64.3,-0.9
199010,53.4,-0.5
199011,45.5,3.2
199012,35.9,2.6
199101,28.2,-0.1
199102,33.8,2.9
199103,42.3,2.2
199104,53.6,2.6
199105,67.7,6.8
199106,72.0,2.2
199107,74.6,1.4
199108,72.3,0.5
199109,64.1,-1.1
199110,55.2,1.3
199111,39.2,-3.1
199112,34.4,1.1
199201,29.7,1.4
199202,35.0,4.1
199203,38.8,-1.3
199204,49.5,-1.5
199205,58.2,-2.7
199206,65.0,-4.8
199207,71.6,-1.6
199208,67.2,-4.6
199209,62.8,-2.4
199210,50.3,-3.6
199211,42.3,0.0
199212,33.0,-0.3
199301,32.2,3.9
199302,26.5,-4.4
199303,35.8,-4.3
199304,48.8,-2.2
199305,60.4,-0.5
199306,68.0,-1.8
199307,74.7,1.5
199308,73.2,1.4
199309,62.2,-3.0
199310,50.7,-3.2
199311,41.4,-0.9
199312,30.9,-2.4
199401,19.6,-8.7
199402,27.7,-3.2
199403,37.9,-2.2
199404,51.9,0.9
199405,56.1,-4.8
199406,71.4,1.6
199407,73.0,-0.2
199408,68.8,-3.0
199409,63.1,-2.1
199410,53.2,-0.7
199411,46.4,4.1
199412,36.5,3.2
199501,28.8,0.5
199502,26.7,-4.2
199503,41.6,1.5
199504,48.2,-2.8
199505,58.5,-2.4
199506,70.5,0.7
199507,73.9,0.7
199508,76.2,4.4
199509,62.0,-3.2
199510,54.9,1.0
199511,36.4,-5.9
199512,26.4,-6.9
199601,25.3,-3.0
199602,28.8,-2.1
199603,33.5,-6.6
199604,48.3,-2.7
199605,58.7,-2.2
199606,70.0,0.2
199607,70.5,-2.7
199608,71.4,-0.4
199609,63.5,-1.7
199610,53.4,-0.5
199611,35.6,-6.7
199612,35.4,2.1
199701,25.9,-2.4
199702,34.6,3.7
199703,41.4,1.3
199704,46.2,-4.8
199705,54.4,-6.5
199706,68.3,-1.5
199707,71.9,-1.3
199708,68.3,-3.5
199709,62.9,-2.3
199710,52.9,-1.0
199711,38.9,-3.4
199712,33.6,0.3
199801,35.6,7.3
199802,38.7,7.8
199803,41.8,1.7
199804,51.2,0.2
199805,65.0,4.1
199806,69.1,-0.7
199807,72.0,-1.2
199808,72.7,0.9
199809,68.0,2.8
199810,54.2,0.3
199811,43.9,1.6
199812,36.9,3.6
199901,28.4,0.1
199902,34.8,3.9
199903,35.3,-4.8
199904,52.8,1.8
199905,62.1,1.2
199906,71.1,1.3
199907,76.8,3.6
199908,70.0,-1.8
199909,64.7,-0.5
199910,52.6,-1.3
199911,46.2,3.9
199912,33.0,-0.3
200001,26.2,-2.1
200002,35.6,4.7
200003,44.9,4.8
200004,49.7,-1.3
200005,62.9,2.0
200006,69.8,0.0
200007,69.9,-3.3
200008,69.7,-2.1
200009,63.2,-2.0
200010,55.9,2.0
200011,40.1,-2.2
200012,21.6,-11.7
200101,27.5,-0.8
200102,34.0,3.1
200103,36.3,-3.8
200104,53.9,2.9
200105,61.5,0.6
200106,68.4,-1.4
200107,71.9,-1.3
200108,73.0,1.2
200109,62.3,-2.9
200110,53.8,-0.1
200111,48.1,5.8
200112,37.7,4.4
200201,34.1,5.8
200202,35.0,4.1
200203,39.2,-0.9
200204,52.6,1.6
200205,56.7,-4.2
200206,71.4,1.6
200207,75.7,2.5
200208,74.2,2.4
200209,68.3,3.1
200210,52.0,-1.9
200211,40.4,-1.9
200212,30.8,-2.5
200301,21.5,-6.8
200302,25.4,-5.5
200303,41.0,0.9
200304,52.0,1.0
200305,59.5,-1.4
200306,66.0,-3.8
200307,71.6,-1.6
200308,72.6,0.8
200309,62.8,-2.4
200310,51.2,-2.7
200311,46.4,4.1
200312,32.8,-0.5
200401,23.5,-4.8
200402,30.2,-0.7
200403,42.6,2.5
200404,51.0,0.0
200405,64.5,3.6
200406,67.9,-1.9
200407,71.4,-1.8
200408,68.6,-3.2
200409,66.1,0.9
200410,53.6,-0.3
200411,45.2,2.9
200412,31.5,-1.8
200501,29.4,1.1
200502,32.7,1.8
200503,35.5,-4.6
200504,52.2,1.2
200505,56.4,-4.5
200506,72.6,2.8
200507,75.1,1.9
200508,74.2,2.4
200509,67.7,2.5
200510,54.2,0.3
200511,44.3,2.0
200512,27.2,-6.1
200601,38.8,10.5
200602,31.4,0.5
200603,38.9,-1.2
200604,54.3,3.3
200605,59.1,-1.8
200606,67.6,-2.2
200607,74.2,1.0
200608,73.3,1.5
200609,61.9,-3.3
200610,50.5,-3.4
200611,44.2,1.9
200612,38.3,5.0
200701,33.0,4.7
200702,19.4,-11.5
200703,43.9,3.8
200704,48.4,-2.6
200705,63.9,3.0
200706,70.6,0.8
200707,70.6,-2.6
200708,75.0,3.2
200709,67.4,2.2
200710,59.9,6.0
200711,42.0,-0.3
200712,33.1,-0.2
200801,29.1,0.8
200802,28.4,-2.5
200803,36.8,-3.3
200804,52.9,1.9
200805,57.0,-3.9
200806,70.8,1.0
200807,72.3,-0.9
200808,70.4,-1.4
200809,67.0,1.8
200810,52.0,-1.9
200811,39.9,-2.4
200812,31.0,-2.3
200901,20.8,-7.5
200902,31.4,0.5
200903,42.3,2.2
200904,51.1,0.1
200905,61.1,0.2
200906,69.0,-0.8
200907,68.5,-4.7
200908,71.0,-0.8
200909,64.6,-0.6
200910,50.0,-3.9
200911,46.1,3.8
200912,30.6,-2.7
201001,25.0,-3.3
201002,25.7,-5.2
201003,42.2,2.1
201004,55.4,4.4
201005,63.4,2.5
201006,72.2,2.4
201007,75.1,1.9
201008,74.2,2.4
201009,65.9,0.7
201010,54.7,0.8
201011,41.9,-0.4
201012,24.8,-8.5
201101,23.5,-4.8
201102,30.5,-0.4
201103,39.6,-0.5
201104,52.1,1.1
201105,61.7,0.8
201106,70.4,0.6
201107,77.3,4.1
201108,71.9,0.1
201109,64.2,-1.0
201110,52.7,-1.2
201111,46.9,4.6
201112,36.9,3.6
201201,32.1,3.8
201202,35.1,4.2
201203,52.2,12.1
201204,50.2,-0.8
201205,66.4,5.5
201206,70.3,0.5
201207,77.5,4.3
201208,71.4,-0.4
201209,63.3,-1.9
201210,52.4,-1.5
201211,39.6,-2.7
201212,37.7,4.4
201301,30.5,2.2
201302,29.2,-1.7
201303,35.0,-5.1
201304,50.6,-0.4
201305,63.2,2.3
201306,69.5,-0.3
201307,72.5,-0.7
201308,70.2,-1.6
201309,64.5,-0.7
201310,54.3,0.4
201311,39.0,-3.3
201312,32.0,-1.3
201401,19.8,-8.5
201402,23.4,-7.5
201403,33.6,-6.5
201404,51.4,0.4
201405,61.7,0.8
201406,70.6,0.8
201407,69.4,-3.8
201408,71.0,-0.8
201409,64.0,-1.2
201410,53.3,-0.6
201411,36.8,-5.5
201412,35.3,2.0
201501,24.4,-3.9
201502,17.3,-13.6
201503,35.9,-4.2
201504,51.5,0.5
201505,65.0,4.1
201506,69.8,0.0
201507,71.6,-1.6
201508,70.1,-1.7
201509,68.4,3.2
201510,54.4,0.5
201511,47.3,5.0
201512,43.7,10.4
201601,27.2,-1.1
201602,33.6,2.7
201603,46.5,6.4
201604,50.2,-0.8
201605,59.7,-1.2
201606,71.2,1.4
201607,74.8,1.6
201608,76.0,4.2
201609,69.2,4.0
201610,57.7,3.8
201611,45.8,3.5
201612,31.0,-2.3
201701,34.6,6.3
201702,40.5,9.6
201703,40.4,0.3
201704,56.6,5.6
201705,60.1,-0.8
201706,69.6,-0.2
201707,73.0,-0.2
201708,69.7,-2.1
201709,65.8,0.6
201710,57.4,3.5
201711,41.8,-0.5
201712,29.2,-4.1
201801,25.0,-3.3
201802,36.6,5.7
201803,36.4,-3.7
201804,45.1,-5.9
201805,68.0,7.1
201806,71.4,1.6
201807,73.8,0.6
201808,73.6,1.8
201809,69.6,4.4
201810,54.3,0.4
201811,37.4,-4.9
201812,35.1,1.8
201901,27.4,-0.9
201902,33.0,2.1
201903,36.8,-3.3
201904,52.3,1.3
201905,62.8,1.9
201906,68.8,-1.0
201907,75.9,2.7
201908,71.8,0.0
201909,69.8,4.6
201910,56.5,2.6
201911,37.4,-4.9
201912,36.2,2.9
202001,34.9,6.6
202002,32.8,1.9
202003,44.7,4.6
202004,47.8,-3.2
202005,58.4,-2.5
202006,70.4,0.6
202007,76.9,3.7
202008,72.2,0.4
202009,64.7,-0.5
202010,53.5,-0.4
202011,46.4,4.1
202012,33.6,0.3
202101,30.9,2.6
202102,25.2,-5.7
202103,44.8,4.7
202104,51.4,0.4
202105,58.8,-2.1
202106,71.5,1.7
202107,73.0,-0.2
202108,74.7,2.9
202109,66.9,1.7
202110,60.3,6.4
202111,40.6,-1.7
202112,40.2,6.9
202201,24.0,-4.3
