Oklahoma, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,2.99,1.38
199002,3.85,2.12
199003,5.70,2.81
199004,6.03,2.37
199005,6.58,1.58
199006,1.89,-2.32
199007,3.01,-0.20
199008,2.29,-0.89
199009,4.49,1.21
199010,1.91,-1.43
199011,2.67,0.38
199012,1.85,-0.21
199101,1.51,-0.10
199102,0.33,-1.40
199103,1.95,-0.94
199104,3.32,-0.34
199105,5.10,0.10
199106,4.28,0.07
199107,2.67,-0.54
199108,2.65,-0.53
199109,4.82,1.54
199110,4.41,1.07
199111,2.85,0.56
199112,4.83,2.77
199201,1.31,-0.30
199202,1.24,-0.49
199203,1.92,-0.97
199204,3.09,-0.57
199205,4.53,-0.47
199206,7.17,2.96
199207,4.40,1.19
199208,3.93,0.75
199209,3.67,0.39
199210,0.78,-2.56
199211,5.57,3.28
199212,3.83,1.77
199301,2.18,0.57
199302,2.95,1.22
199303,2.78,-0.11
199304,4.03,0.37
199305,7.42,2.42
199306,3.66,-0.55
199307,1.76,-1.45
199308,2.97,-0.21
199309,5.47,2.19
199310,2.07,-1.27
199311,1.89,-0.40
199312,2.00,-0.06
199401,0.92,-0.69
199402,1.77,0.04
199403,2.85,-0.04
199404,4.66,1.00
199405,3.98,-1.02
199406,1.96,-2.25
199407,4.51,1.30
199408,2.87,-0.31
199409,2.40,-0.88
199410,3.45,0.11
199411,5.47,3.18
199412,1.43,-0.63
199501,1.96,0.35
199502,0.45,-1.28
199503,3.03,0.14
199504,4.35,0.69
199505,6.99,1.99
199506,6.39,2.18
199507,3.26,0.05
199508,2.91,-0.27
199509,4.98,1.70
199510,1.09,-2.25
199511,0.50,-1.79
199512,1.90,-0.16
199601,0.92,-0.69
199602,0.18,-1.55
199603,1.93,-0.96
199604,2.20,-1.46
199605,2.42,-2.58
199606,3.79,-0.42
199607,5.93,2.72
199608,5.54,2.36
199609,5.86,2.58
199610,2.60,-0.74
199611,5.32,3.03
199612,0.59,-1.47
199701,0.48,-1.13
199702,4.12,2.39
199703,1.21,-1.68
199704,5.48,1.82
199705,3.70,-1.30
199706,4.33,0.12
199707,2.54,-0.67
199708,4.70,1.52
199709,3.07,-0.21
199710,4.02,0.68
199711,1.68,-0.61
199712,3.98,1.92
199801,3.54,1.93
199802,1.48,-0.25
199803,5.37,2.48
199804,2.55,-1.11
199805,2.52,-2.48
199806,1.80,-2.41
199807,2.44,-0.77
199808,1.53,-1.65
199809,3.07,-0.21
199810,6.69,3.35
199811,3.29,1.00
199812,1.90,-0.16
199901,2.13,0.52
199902,0.88,-0.85
199903,4.12,1.23
199904,5.86,2.20
199905,5.45,0.45
199906,6.32,2.11
199907,1.38,-1.83
199908,1.44,-1.74
199909,3.86,0.58
199910,1.90,-1.44
199911,0.83,-1.46
199912,3.10,1.04
200001,1.15,-0.46
200002,1.53,-0.20
200003,4.30,1.41
200004,2.57,-1.09
200005,4.34,-0.66
200006,7.11,2.90
200007,2.54,-0.67
200008,0.12,-3.06
200009,1.09,-2.19
200010,6.45,3.11
200011,3.76,1.47
200012,1.97,-0.09
200101,2.22,0.61
200102,4.11,2.38
200103,1.52,-1.37
200104,1.37,-2.29
200105,7.38,2.38
