Oklahoma, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,43.4,5.0
199002,44.7,2.5
199003,50.7,-0.6
199004,58.2,-1.2
199005,66.4,-1.9
199006,80.4,3.0
199007,79.7,-2.1
199008,80.2,-0.6
199009,75.5,2.4
199010,59.5,-1.8
199011,53.4,3.8
199012,35.8,-4.5
199101,33.6,-4.8
199102,47.1,4.9
199103,52.7,1.4
199104,61.2,1.8
199105,71.2,2.9
199106,77.5,0.1
199107,81.6,-0.2
199108,79.5,-1.3
199109,70.2,-2.9
199110,62.1,0.8
199111,44.0,-5.6
199112,42.6,2.3
199201,40.5,2.1
199202,47.8,5.6
199203,52.9,1.6
199204,59.9,0.5
199205,65.8,-2.5
199206,72.9,-4.5
199207,79.6,-2.2
199208,74.4,-6.4
199209,71.4,-1.7
199210,62.0,0.7
199211,45.6,-4.0
199212,39.2,-1.1
199301,35.1,-3.3
199302,38.5,-3.7
199303,47.6,-3.7
199304,55.9,-3.5
199305,66.1,-2.2
199306,76.1,-1.3
199307,83.4,1.6
199308,82.1,1.3
199309,69.6,-3.5
199310,57.5,-3.8
199311,43.9,-5.7
199312,41.6,1.3
199401,35.9,-2.5
199402,38.2,-4.0
199403,51.9,0.6
199404,59.7,0.3
199405,66.7,-1.6
199406,80.1,2.7
199407,79.6,-2.2
199408,79.2,-1.6
199409,70.9,-2.2
199410,62.1,0.8
199411,50.0,0.4
199412,42.3,2.0
199501,39.0,0.6
199502,45.1,2.9
199503,50.0,-1.3
199504,57.3,-2.1
199505,64.6,-3.7
199506,73.6,-3.8
199507,81.1,-0.7
199508,82.0,1.2
199509,70.6,-2.5
199510,61.2,-0.1
199511,49.0,-0.6
199512,39.2,-1.1
199601,35.4,-3.0
199602,43.4,1.2
199603,45.0,-6.3
199604,58.6,-0.8
199605,73.0,4.7
199606,77.5,0.1
199607,80.8,-1.0
199608,77.5,-3.3
199609,69.1,-4.0
199610,60.7,-0.6
199611,45.7,-3.9
199612,41.1,0.8
199701,36.6,-1.8
199702,42.7,0.5
199703,52.2,0.9
199704,54.2,-5.2
199705,65.6,-2.7
199706,74.4,-3.0
199707,81.5,-0.3
199708,78.1,-2.7
