Oklahoma, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,1.30,1.04
199002,2.72,2.79
199003,3.84,3.63
199004,3.46,2.89
199005,1.97,1.85
199006,-2.33,-2.52
199007,-0.47,-0.95
199008,-0.79,-1.54
199009,0.62,0.74
199010,-0.94,-1.41
199011,-0.31,-0.43
199012,-0.02,-0.57
199101,0.00,-0.26
199102,-2.37,-2.30
199103,-1.33,-1.54
199104,-0.24,-0.81
199105,-0.26,-0.38
199106,0.50,0.31
199107,0.59,0.11
199108,0.16,-0.59
199109,1.68,1.80
199110,1.72,1.25
199111,1.59,1.47
199112,4.94,4.39
199201,0.51,0.25
199202,-0.63,-0.56
199203,-0.88,-1.09
199204,-0.03,-0.60
199205,0.19,0.07
199206,3.92,3.73
199207,3.05,2.57
199208,3.63,2.88
199209,1.13,1.25
199210,-1.61,-2.08
199211,4.34,4.22
199212,3.96,3.41
199301,1.97,1.71
199302,2.37,2.44
199303,0.71,0.50
199304,1.55,0.98
199305,2.78,2.66
199306,0.07,-0.12
199307,-0.74,-1.22
199308,-0.43,-1.18
199309,2.28,2.40
199310,-0.12,-0.59
199311,0.14,0.02
199312,0.49,-0.06
199401,-0.21,-0.47
199402,0.68,0.75
199403,0.33,0.12
199404,1.74,1.17
199405,-0.44,-0.56
199406,-2.22,-2.41
199407,1.10,0.62
199408,0.47,-0.28
199409,-0.77,-0.65
199410,0.39,-0.08
199411,3.73,3.61
199412,0.50,-0.05
199501,1.49,1.23
199502,-1.41,-1.34
199503,0.74,0.53
199504,1.72,1.15
199505,2.60,2.48
199506,3.07,2.88
199507,1.81,1.33
199508,1.19,0.44
199509,1.93,2.05
199510,-1.38,-1.85
199511,-2.10,-2.22
199512,-0.24,-0.79
199601,-1.03,-1.29
199602,-2.73,-2.66
199603,-0.81,-1.02
199604,-1.17,-1.74
199605,-3.38,-3.50
199606,-1.17,-1.36
199607,2.02,1.54
199608,3.85,3.10
199609,3.05,3.17
199610,0.45,-0.02
199611,4.47,4.35
199612,-0.41,-0.96
199701,-0.42,-0.68
199702,3.67,3.74
199703,-1.64,-1.85
199704,3.35,2.78
199705,-0.54,-0.66
199706,0.95,0.76
199707,0.88,0.40
199708,2.83,2.08
199709,-0.31,-0.19
199710,1.17,0.70
199711,-0.08,-0.20
199712,3.39,2.84
199801,3.57,3.31
199802,-0.01,0.06
199803,3.89,3.68
199804,-0.23,-0.80
199805,-2.58,-2.70
199806,-2.88,-3.07
199807,-2.64,-3.12
199808,-2.53,-3.28
199809,-1.43,-1.31
199810,3.31,2.84
199811,1.54,1.42
199812,1.21,0.66
199901,1.68,1.42
199902,-1.21,-1.14
199903,2.19,1.98
199904,3.01,2.44
199905,0.82,0.70
199906,2.81,2.62
199907,-0.10,-0.58
199908,-1.82,-2.57
199909,0.59,0.71
199910,-1.18,-1.65
199911,-2.76,-2.88
199912,0.70,0.15
200001,-1.05,-1.31
200002,-1.42,-1.35
200003,1.39,1.18
200004,-0.41,-0.98
200005,-0.69,-0.81
200006,3.71,3.52
200007,1.10,0.62
200008,-2.85,-3.60
200009,-2.84,-2.72
200010,3.04,2.57
200011,2.65,2.53
200012,1.76,1.21
200101,2.00,1.74
200102,3.76,3.83
200103,-0.69,-0.90
200104,-2.47,-3.04
200105,1.85,1.73
200106,-1.31,-1.50
200107,-2.67,-3.15
200108,-1.81,-2.56
200109,0.38,0.50
200110,-0.82,-1.29
200111,-1.52,-1.64
200112,-0.58,-1.13
200201,0.09,-0.17
200202,-1.35,-1.28
200203,0.23,0.02
200204,0.92,0.35
200205,-0.80,-0.92
200206,-0.06,-0.25
200207,1.18,0.70
200208,0.83,0.08
200209,-1.17,-1.05
200210,2.62,2.15
200211,-1.12,-1.24
200212,1.98,1.43
200301,-1.01,-1.27
200302,0.80,0.87
200303,-0.41,-0.62
200304,-1.51,-2.08
200305,-1.17,-1.29
200306,1.76,1.57
200307,-0.95,-1.43
200308,0.93,0.18
200309,-0.05,0.07
200310,-1.59,-2.06
200311,-0.86,-0.98
200312,-1.45,-2.00
200401,0.12,-0.14
200402,-0.42,-0.35
200403,0.93,0.72
200404,0.59,0.02
200405,-3.26,-3.38
200406,2.23,2.04
200407,2.62,2.14
