Oregon, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,34.2,0.6
199002,32.6,-2.8
199003,41.0,1.0
199004,49.2,4.6
199005,48.9,-2.9
199006,57.9,-0.4
199007,67.4,0.7
199008,65.3,-0.6
199009,62.4,3.1
199010,46.7,-1.8
199011,38.9,0.2
199012,24.4,-7.8
199101,31.6,-2.0
199102,41.6,6.2
199103,37.0,-3.0
199104,42.2,-2.4
199105,47.3,-4.5
199106,53.9,-4.4
199107,66.3,-0.4
199108,66.5,0.6
199109,61.6,2.3
199110,50.0,1.5
199111,39.0,0.3
199112,34.3,2.1
199201,35.0,1.4
199202,40.9,5.5
199203,44.6,4.6
199204,48.1,3.5
199205,57.8,6.0
199206,61.8,3.5
199207,64.4,-2.3
199208,66.5,0.6
199209,57.9,-1.4
199210,50.6,2.1
199211,36.8,-1.9
199212,28.8,-3.4
199301,26.2,-7.4
199302,29.4,-6.0
199303,40.9,0.9
199304,43.2,-1.4
199305,54.5,2.7
199306,55.4,-2.9
199307,57.6,-9.1
199308,61.8,-4.1
199309,59.1,-0.2
199310,50.6,2.1
199311,33.6,-5.1
199312,33.3,1.1
199401,36.5,2.9
199402,33.1,-2.3
199403,42.3,2.3
199404,46.6,2.0
199405,53.4,1.6
199406,57.6,-0.7
199407,68.1,1.4
199408,65.4,-0.5
199409,61.3,2.0
199410,46.9,-1.6
199411,31.7,-7.0
199412,31.3,-0.9
199501,35.1,1.5
199502,40.9,5.5
199503,38.9,-1.1
199504,42.6,-2.0
199505,51.6,-0.2
199506,56.2,-2.1
199507,64.5,-2.2
199508,62.0,-3.9
199509,60.6,1.3
199510,47.0,-1.5
199511,43.3,4.6
199512,34.2,2.0
199601,33.2,-0.4
199602,35.1,-0.3
199603,40.6,0.6
199604,45.3,0.7
199605,48.3,-3.5
199606,57.8,-0.5
199607,68.2,1.5
199608,66.0,0.1
199609,55.9,-3.4
199610,47.7,-0.8
199611,39.6,0.9
199612,34.0,1.8
199701,32.7,-0.9
199702,35.1,-0.3
199703,40.7,0.7
199704,43.0,-1.6
199705,55.7,3.9
199706,56.6,-1.7
199707,64.0,-2.7
199708,66.2,0.3
199709,59.1,-0.2
199710,46.9,-1.6
199711,40.8,2.1
199712,32.3,0.1
199801,35.4,1.8
199802,35.8,0.4
199803,39.9,-0.1
199804,44.2,-0.4
199805,48.1,-3.7
199806,56.6,-1.7
199807,68.8,2.1
199808,67.5,1.6
199809,62.0,2.7
199810,46.8,-1.7
199811,38.5,-0.2
199812,30.1,-2.1
199901,34.5,0.9
199902,33.3,-2.1
199903,37.4,-2.6
199904,42.0,-2.6
199905,48.1,-3.7
199906,56.3,-2.0
199907,63.5,-3.2
199908,64.9,-1.0
199909,58.6,-0.7
199910,50.3,1.8
199911,43.1,4.4
199912,34.3,2.1
200001,32.4,-1.2
200002,37.3,1.9
200003,38.6,-1.4
200004,47.8,3.2
200005,51.2,-0.6
200006,60.2,1.9
200007,64.7,-2.0
200008,65.4,-0.5
200009,57.2,-2.1
200010,47.5,-1.0
200011,33.8,-4.9
200012,33.5,1.3
200101,32.1,-1.5
200102,33.1,-2.3
200103,41.3,1.3
200104,41.8,-2.8
200105,55.0,3.2
200106,56.5,-1.8
200107,64.4,-2.3
200108,67.6,1.7
200109,60.8,1.5
200110,49.0,0.5
200111,40.0,1.3
200112,31.8,-0.4
200201,31.8,-1.8
200202,35.4,0.0
200203,37.0,-3.0
200204,45.0,0.4
200205,50.2,-1.6
200206,59.9,1.6
200207,68.6,1.9
200208,63.2,-2.7
200209,58.8,-0.5
200210,46.5,-2.0
200211,40.7,2.0
200212,35.4,3.2
200301,39.0,5.4
200302,35.0,-0.4
200303,41.5,1.5
200304,41.8,-2.8
200305,51.2,-0.6
200306,61.2,2.9
200307,70.1,3.4
200308,66.6,0.7
200309,61.0,1.7
200310,52.1,3.6
200311,34.9,-3.8
200312,34.1,1.9
200401,32.0,-1.6
200402,34.8,-0.6
200403,44.2,4.2
200404,47.2,2.6
200405,51.0,-0.8
200406,59.5,1.2
200407,67.7,1.0
200408,66.6,0.7
200409,56.3,-3.0
200410,48.3,-0.2
200411,38.3,-0.4
200412,35.5,3.3
200501,33.8,0.2
200502,36.6,1.2
200503,42.3,2.3
200504,44.0,-0.6
200505,52.1,0.3
200506,55.0,-3.3
200507,67.4,0.7
200508,66.9,1.0
200509,56.3,-3.0
200510,48.9,0.4
200511,37.5,-1.2
200512,31.7,-0.5
200601,35.0,1.4
200602,33.8,-1.6
200603,36.4,-3.6
200604,44.6,0.0
200605,53.2,1.4
200606,60.9,2.6
200607,69.3,2.6
200608,64.3,-1.6
200609,59.1,-0.2
200610,47.6,-0.9
200611,38.3,-0.4
200612,32.9,0.7
200701,30.2,-3.4
200702,36.5,1.1
200703,43.5,3.5
200704,44.7,0.1
200705,53.1,1.3
200706,58.6,0.3
200707,69.6,2.9
200708,64.8,-1.1
200709,56.6,-2.7
200710,46.2,-2.3
200711,39.1,0.4
200712,30.5,-1.7
200801,28.5,-5.1
200802,35.8,0.4
200803,36.5,-3.5
200804,40.3,-4.3
200805,51.6,-0.2
200806,56.6,-1.7
200807,66.3,-0.4
200808,65.2,-0.7
200809,59.4,0.1
200810,48.8,0.3
200811,42.4,3.7
200812,30.2,-2.0
200901,34.2,0.6
200902,35.0,-0.4
200903,36.4,-3.6
200904,43.4,-1.2
200905,53.2,1.4
200906,58.4,0.1
200907,68.0,1.3
200908,65.3,-0.6
200909,61.4,2.1
200910,45.1,-3.4
200911,38.2,-0.5
200912,28.5,-3.7
201001,36.9,3.3
201002,37.6,2.2
201003,39.5,-0.5
201004,42.0,-2.6
201005,46.4,-5.4
201006,55.6,-2.7
201007,65.3,-1.4
201008,63.5,-2.4
201009,58.5,-0.8
201010,50.0,1.5
201011,36.7,-2.0
201012,33.4,1.2
201101,33.9,0.3
201102,32.6,-2.8
201103,37.9,-2.1
201104,39.5,-5.1
201105,46.5,-5.3
201106,54.9,-3.4
201107,62.7,-4.0
201108,66.1,0.2
201109,62.6,3.3
201110,49.0,0.5
201111,37.0,-1.7
201112,32.6,0.4
201201,34.4,0.8
201202,34.6,-0.8
201203,38.3,-1.7
201204,45.9,1.3
201205,50.8,-1.0
201206,55.5,-2.8
201207,66.3,-0.4
201208,67.7,1.8
201209,61.8,2.5
201210,48.8,0.3
201211,40.6,1.9
201212,31.5,-0.7
201301,29.7,-3.9
201302,35.1,-0.3
201303,40.9,0.9
201304,44.6,0.0
201305,52.5,0.7
201306,59.4,1.1
201307,69.4,2.7
201308,66.5,0.6
201309,58.3,-1.0
201310,46.2,-2.3
201311,39.4,0.7
201312,29.7,-2.5
201401,36.7,3.1
201402,35.3,-0.1
201403,41.8,1.8
201404,45.8,1.2
201405,53.3,1.5
201406,58.1,-0.2
201407,70.0,3.3
201408,66.6,0.7
201409,60.8,1.5
201410,52.9,4.4
201411,38.2,-0.5
201412,36.0,3.8
201501,38.1,4.5
201502,41.7,6.3
201503,45.7,5.7
201504,44.7,0.1
201505,53.5,1.7
201506,65.6,7.3
201507,67.5,0.8
201508,66.9,1.0
201509,58.1,-1.2
201510,54.3,5.8
201511,35.8,-2.9
201512,32.4,0.2
201601,33.1,-0.5
201602,40.2,4.8
201603,41.2,1.2
201604,50.1,5.5
201605,53.2,1.4
201606,60.5,2.2
201607,64.4,-2.3
201608,66.7,0.8
201609,57.1,-2.2
201610,48.1,-0.4
201611,43.2,4.5
201612,27.4,-4.8
201701,26.7,-6.9
201702,34.8,-0.6
201703,41.6,1.6
201704,42.9,-1.7
201705,52.9,1.1
201706,59.9,1.6
201707,69.2,2.5
201708,69.6,3.7
201709,59.6,0.3
201710,47.0,-1.5
201711,39.3,0.6
201712,32.9,0.7
201801,37.5,3.9
201802,33.2,-2.2
201803,38.4,-1.6
201804,45.0,0.4
201805,55.4,3.6
201806,58.5,0.2
201807,69.0,2.3
201808,66.5,0.6
201809,57.4,-1.9
201810,48.8,0.3
201811,39.3,0.6
201812,32.3,0.1
201901,35.3,1.7
201902,28.8,-6.6
201903,37.3,-2.7
201904,46.1,1.5
201905,52.7,0.9
201906,59.0,0.7
201907,64.9,-1.8
201908,67.1,1.2
