Pennsylvania, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,3.63,0.46
199002,2.88,0.26
199003,1.69,-1.76
199004,3.11,-0.66
199005,6.08,1.96
199006,3.17,-1.19
199007,5.22,0.73
199008,5.22,1.10
199009,4.12,-0.26
199010,5.81,1.87
199011,2.47,-0.74
199012,6.30,2.74
199101,2.75,-0.42
199102,1.72,-0.90
199103,3.88,0.43
199104,3.15,-0.62
199105,2.23,-1.89
199106,1.59,-2.77
199107,3.47,-1.02
199108,3.06,-1.06
199109,3.09,-1.29
199110,1.98,-1.96
199111,2.83,-0.38
199112,3.61,0.05
199201,1.95,-1.22
199202,1.86,-0.76
199203,4.08,0.63
199204,2.78,-0.99
199205,3.33,-0.79
199206,2.39,-1.97
199207,7.14,2.65
199208,3.58,-0.54
199209,4.16,-0.22
199210,2.03,-1.91
199211,4.48,1.27
199212,3.83,0.27
199301,2.52,-0.65
199302,2.23,-0.39
199303,5.38,1.93
199304,6.53,2.76
199305,1.72,-2.40
199306,3.69,-0.67
199307,3.26,-1.23
199308,3.18,-0.94
199309,6.09,1.71
199310,3.15,-0.79
199311,4.87,1.66
199312,3.18,-0.38
199401,4.52,1.35
199402,2.87,0.25
199403,5.77,2.32
199404,3.73,-0.04
199405,3.36,-0.76
199406,4.81,0.45
199407,4.44,-0.05
199408,7.18,3.06
199409,3.23,-1.15
199410,1.13,-2.81
199411,4.53,1.32
199412,2.62,-0.94
199501,3.43,0.26
199502,1.90,-0.72
199503,1.66,-1.79
199504,2.57,-1.20
199505,3.76,-0.36
199506,3.70,-0.66
199507,3.54,-0.95
199508,1.65,-2.47
199509,2.30,-2.08
199510,6.47,2.53
199511,4.30,1.09
199512,2.23,-1.33
199601,5.83,2.66
199602,2.43,-0.19
199603,3.55,0.10
199604,4.48,0.71
199605,4.54,0.42
199606,5.57,1.21
199607,5.92,1.43
199608,2.92,-1.20
199609,7.20,2.82
199610,4.71,0.77
199611,3.99,0.78
199612,5.17,1.61
199701,2.33,-0.84
199702,2.05,-0.57
199703,4.19,0.74
199704,1.80,-1.97
199705,3.96,-0.16
199706,3.44,-0.92
199707,2.85,-1.64
199708,4.68,0.56
199709,3.75,-0.63
199710,1.58,-2.36
199711,5.52,2.31
199712,2.65,-0.91
199801,4.32,1.15
199802,3.67,1.05
199803,3.65,0.20
199804,5.60,1.83
199805,4.36,0.24
199806,5.15,0.79
199807,2.87,-1.62
199808,2.93,-1.19
199809,2.13,-2.25
199810,3.08,-0.86
199811,1.19,-2.02
199812,1.46,-2.10
199901,5.84,2.67
199902,1.90,-0.72
199903,3.46,0.01
199904,3.96,0.19
199905,2.56,-1.56
199906,2.37,-1.99
199907,2.62,-1.87
199908,3.67,-0.45
199909,6.65,2.27
199910,2.28,-1.66
199911,3.37,0.16
199912,2.44,-1.12
200001,2.36,-0.81
200002,2.82,0.20
200003,3.52,0.07
200004,4.48,0.71
200005,4.54,0.42
200006,5.30,0.94
200007,3.34,-1.15
200008,3.65,-0.47
200009,3.94,-0.44
200010,2.37,-1.57
200011,2.12,-1.09
200012,2.94,-0.62
200101,1.88,-1.29
200102,1.55,-1.07
200103,4.04,0.59
200104,2.79,-0.98
200105,3.08,-1.04
200106,4.10,-0.26
200107,2.74,-1.75
200108,3.32,-0.80
200109,3.98,-0.40
200110,2.15,-1.79
200111,2.07,-1.14
200112,2.66,-0.90
200201,2.13,-1.04
200202,1.45,-1.17
200203,3.98,0.53
200204,3.92,0.15
200205,5.68,1.56
200206,4.85,0.49
200207,2.31,-2.18
200208,2.67,-1.45
200209,4.33,-0.05
200210,5.06,1.12
200211,3.36,0.15
200212,3.81,0.25
200301,2.41,-0.76
200302,3.51,0.89
200303,2.84,-0.61
200304,2.66,-1.11
200305,5.06,0.94
200306,6.11,1.75
200307,5.64,1.15
200308,5.55,1.43
200309,7.13,2.75
200310,4.19,0.25
200311,4.30,1.09
200312,4.17,0.61
200401,3.29,0.12
200402,2.26,-0.36
200403,2.84,-0.61
200404,4.87,1.10
200405,5.44,1.32
200406,4.40,0.04
200407,7.10,2.61
200408,5.26,1.14
200409,8.87,4.49
200410,2.61,-1.33
200411,3.47,0.26
200412,3.49,-0.07
200501,5.58,2.41
200502,2.31,-0.31
200503,3.60,0.15
200504,3.80,0.03
200505,2.08,-2.04
200506,2.74,-1.62
200507,4.28,-0.21
200508,3.51,-0.61
200509,1.82,-2.56
200510,6.50,2.56
200511,4.35,1.14
200512,2.40,-1.16
200601,4.25,1.08
200602,1.79,-0.83
200603,1.48,-1.97
200604,3.48,-0.29
200605,3.32,-0.80
200606,7.67,3.31
200607,5.08,0.59
