Pennsylvania, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,0.99,0.52
199002,0.36,0.31
199003,-3.21,-3.01
199004,-0.99,-1.01
199005,2.75,2.90
199006,-1.26,-1.49
199007,1.59,1.28
199008,2.39,2.14
199009,1.42,0.42
199010,4.04,3.03
199011,-1.03,-0.93
199012,4.69,4.08
199101,-0.10,-0.57
199102,-1.39,-1.44
199103,0.16,0.36
199104,-1.14,-1.16
199105,-3.41,-3.26
199106,-4.18,-4.41
199107,-2.35,-2.66
199108,-2.61,-2.86
199109,-1.35,-2.35
199110,-3.09,-4.10
199111,-2.99,-2.89
199112,-1.04,-1.65
199201,-1.25,-1.72
199202,-1.13,-1.18
199203,1.13,1.33
199204,-1.12,-1.14
199205,-0.69,-0.54
199206,-1.84,-2.07
199207,4.49,4.18
199208,0.65,0.40
199209,1.51,0.51
199210,-0.16,-1.17
199211,2.15,2.25
199212,1.30,0.69
199301,-0.43,-0.90
199302,-0.53,-0.58
199303,3.24,3.44
199304,4.20,4.18
199305,-3.10,-2.95
199306,-0.66,-0.89
199307,-2.03,-2.34
199308,-1.90,-2.15
199309,2.95,1.95
199310,0.63,-0.38
199311,2.74,2.84
199312,0.35,-0.26
199401,2.44,1.97
199402,0.51,0.46
199403,3.71,3.91
199404,-0.39,-0.41
199405,-0.35,-0.20
199406,0.56,0.33
199407,0.22,-0.09
199408,5.67,5.42
199409,0.46,-0.54
199410,-1.68,-2.69
199411,1.47,1.57
199412,-0.67,-1.28
199501,0.88,0.41
199502,-1.07,-1.12
199503,-3.18,-2.98
199504,-1.12,-1.14
199505,-0.26,-0.11
199506,-0.79,-1.02
199507,-1.21,-1.52
199508,-4.25,-4.50
199509,-2.17,-3.17
199510,2.82,1.81
199511,2.19,2.29
199512,-1.02,-1.63
199601,4.32,3.85
199602,-0.21,-0.26
199603,0.59,0.79
199604,1.29,1.27
199605,0.82,0.97
199606,1.80,1.57
199607,3.14,2.83
199608,-0.89,-1.14
199609,5.07,4.07
199610,2.98,1.97
199611,1.99,2.09
199612,3.09,2.48
199701,-0.70,-1.17
