South Dakota, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,-1.07,-1.41
199002,-0.85,-1.49
199003,-1.11,-1.10
199004,-1.23,-2.06
199005,0.89,-0.47
199006,0.13,-0.30
199007,-0.17,-1.74
199008,-0.86,-2.19
199009,-2.20,-3.09
199010,-0.54,-2.35
199011,-1.70,-1.81
199012,-0.40,-1.00
199101,-1.12,-1.46
199102,0.54,-0.10
199103,-2.14,-2.13
199104,0.92,0.09
199105,3.99,2.63
199106,1.25,0.82
199107,-0.20,-1.77
199108,-0.97,-2.30
199109,-0.58,-1.47
199110,0.66,-1.15
199111,0.71,0.60
199112,-1.23,-1.83
199201,0.44,0.10
199202,0.46,-0.18
199203,-0.89,-0.88
199204,-1.77,-2.60
199205,-3.37,-4.73
199206,0.89,0.46
199207,4.58,3.01
199208,2.02,0.69
199209,0.09,-0.80
199210,-0.91,-2.72
199211,1.69,1.58
199212,0.13,-0.47
199301,0.44,0.10
199302,0.97,0.33
199303,0.35,0.36
199304,1.48,0.65
199305,1.38,0.02
199306,5.24,4.81
199307,9.79,8.22
199308,3.78,2.45
199309,2.42,1.53
199310,-0.12,-1.93
199311,2.53,2.42
199312,1.52,0.92
199401,1.87,1.53
199402,1.63,0.99
199403,-0.26,-0.25
199404,1.78,0.95
199405,-2.40,-3.76
199406,-0.32,-0.75
199407,3.33,1.76
199408,0.87,-0.46
199409,-0.38,-1.27
199410,3.89,2.08
199411,0.46,0.35
199412,0.32,-0.28
199501,0.18,-0.16
199502,0.18,-0.46
199503,2.87,2.88
199504,4.89,4.06
199505,6.46,5.10
199506,0.99,0.56
199507,3.37,1.80
199508,1.43,0.10
199509,1.19,0.30
199510,5.28,3.47
199511,0.54,0.43
199512,-0.09,-0.69
199601,2.03,1.69
199602,0.28,-0.36
199603,0.80,0.81
199604,-0.36,-1.19
199605,6.09,4.73
199606,-1.39,-1.82
199607,0.51,-1.06
199608,-0.19,-1.52
199609,6.35,5.46
199610,3.99,2.18
199611,2.45,2.34
199612,3.14,2.54
199701,3.47,3.13
199702,2.42,1.78
199703,0.89,0.90
199704,4.09,3.26
199705,1.88,0.52
199706,0.40,-0.03
199707,5.47,3.90
199708,2.42,1.09
199709,0.42,-0.47
199710,1.62,-0.19
199711,-0.43,-0.54
199712,-0.72,-1.32
199801,0.29,-0.05
199802,0.93,0.29
199803,2.19,2.20
199804,-0.43,-1.26
199805,-0.56,-1.92
199806,3.07,2.64
199807,2.12,0.55
199808,2.87,1.54
199809,-2.05,-2.94
199810,9.65,7.84
199811,2.36,2.25
199812,0.18,-0.42
199901,1.37,1.03
199902,0.48,-0.16
199903,0.26,0.27
199904,3.66,2.83
199905,2.61,1.25
199906,3.47,3.04
199907,3.23,1.66
199908,3.62,2.29
199909,3.57,2.68
199910,-1.07,-2.88
199911,-2.19,-2.30
199912,-0.67,-1.27
200001,0.00,-0.34
200002,0.81,0.17
200003,-0.55,-0.54
200004,1.53,0.70
200005,0.93,-0.43
200006,-0.41,-0.84
200007,0.95,-0.62
200008,-1.35,-2.68
200009,-2.33,-3.22
200010,-0.02,-1.83
200011,3.34,3.23
200012,0.08,-0.52
200101,1.44,1.10
200102,1.46,0.82
200103,-0.63,-0.62
200104,3.89,3.06
200105,0.17,-1.19
200106,0.57,0.14
200107,4.07,2.50
200108,-1.84,-3.17
200109,0.44,-0.45
200110,-0.33,-2.14
200111,0.21,0.10
200112,-1.31,-1.91
200201,-0.60,-0.94
200202,-1.24,-1.88
200203,-0.68,-0.67
200204,-1.59,-2.42
200205,-1.58,-2.94
200206,-4.76,-5.19
200207,-3.84,-5.41
200208,1.28,-0.05
200209,-0.71,-1.60
200210,1.79,-0.02
200211,-1.65,-1.76
200212,-0.90,-1.50
200301,-0.19,-0.53
200302,0.03,-0.61
200303,-0.68,-0.67
200304,-0.38,-1.21
200305,0.11,-1.25
200306,0.57,0.14
200307,-2.04,-3.61
200308,-3.51,-4.84
200309,0.26,-0.63
200310,-1.47,-3.28
200311,0.25,0.14
200312,-0.71,-1.31
200401,-0.54,-0.88
200402,-0.48,-1.12
200403,-0.42,-0.41
200404,-3.09,-3.92
200405,0.99,-0.37
200406,-0.87,-1.30
200407,0.05,-1.52
200408,-0.57,-1.90
200409,4.55,3.66
200410,2.65,0.84
200411,-0.86,-0.97
200412,-1.10,-1.70
200501,-0.19,-0.53
200502,-0.42,-1.06
200503,-1.47,-1.46
200504,-0.74,-1.57
200505,1.95,0.59
200506,2.55,2.12
200507,-0.69,-2.26
200508,-0.31,-1.64
200509,0.62,-0.27
200510,-0.77,-2.58
200511,0.55,0.44
200512,0.90,0.30
200601,-0.40,-0.74
200602,-0.69,-1.33
200603,0.64,0.65
200604,-0.22,-1.05
200605,-3.14,-4.50
200606,-3.76,-4.19
200607,-5.33,-6.90
200608,0.44,-0.89
200609,4.10,3.21
200610,-0.70,-2.51
200611,-0.95,-1.06
200612,0.60,0.00
200701,-0.99,-1.33
200702,0.82,0.18
200703,0.56,0.57
200704,0.81,-0.02
200705,2.53,1.17
200706,-0.19,-0.62
200707,-2.40,-3.97
200708,3.50,2.17
200709,-0.51,-1.40
200710,3.11,1.30
200711,-1.54,-1.65
200712,0.48,-0.12
200801,-0.62,-0.96
200802,-0.46,-1.10
200803,-0.47,-0.46
200804,0.01,-0.82
200805,3.01,1.65
200806,3.67,3.24
200807,3.16,1.59
200808,0.76,-0.57
200809,1.76,0.87
200810,4.27,2.46
200811,1.89,1.78
200812,1.53,0.93
200901,0.68,0.34
200902,2.46,1.82
200903,3.60,3.61
200904,1.91,1.08
200905,-1.56,-2.92
200906,1.31,0.88
200907,4.01,2.44
200908,4.04,2.71
200909,0.26,-0.63
200910,7.82,6.01
200911,-1.09,-1.20
200912,3.16,2.56
201001,1.66,1.32
201002,1.68,1.04
201003,1.90,1.91
201004,1.60,0.77
201005,3.06,1.70
201006,3.68,3.25
201007,5.30,3.73
201008,3.00,1.67
201009,4.81,3.92
201010,-0.06,-1.87
201011,-0.21,-0.32
201012,2.01,1.41
201101,2.14,1.80
201102,2.72,2.08
201103,1.72,1.73
201104,2.48,1.65
201105,4.72,3.36
201106,3.19,2.76
201107,4.04,2.47
201108,2.88,1.55
201109,-1.10,-1.99
201110,-0.29,-2.10
201111,-1.02,-1.13
201112,-0.57,-1.17
201201,-0.04,-0.38
201202,1.91,1.27
201203,-4.82,-4.81
201204,0.24,-0.59
201205,-0.58,-1.94
201206,-3.27,-3.70
201207,-3.85,-5.42
201208,-3.49,-4.82
201209,-3.76,-4.65
201210,-0.58,-2.39
201211,-1.34,-1.45
201212,0.19,-0.41
201301,-0.27,-0.61
201302,0.14,-0.50
201303,-1.47,-1.46
201304,1.59,0.76
201305,3.79,2.43
201306,0.32,-0.11
201307,1.53,-0.04
201308,1.43,0.10
201309,0.46,-0.43
201310,9.47,7.66
201311,0.25,0.14
201312,1.93,1.33
201401,0.45,0.11
201402,0.78,0.14
201403,1.32,1.33
201404,1.92,1.09
201405,0.53,-0.83
201406,5.48,5.05
201407,0.45,-1.12
201408,6.13,4.80
201409,1.20,0.31
201410,-1.19,-3.00
201411,0.43,0.32
201412,1.02,0.42
201501,-0.13,-0.47
201502,-0.12,-0.76
201503,-2.81,-2.80
201504,-2.78,-3.61
201505,5.29,3.93
201506,1.46,1.03
201507,2.74,1.17
201508,4.25,2.92
201509,-0.28,-1.17
201510,0.37,-1.44
201511,0.73,0.62
201512,2.37,1.77
201601,-0.14,-0.48
201602,0.61,-0.03
201603,-1.00,-0.99
201604,3.59,2.76
201605,0.37,-0.99
201606,-2.66,-3.09
201607,0.73,-0.84
201608,1.22,-0.11
201609,0.76,-0.13
201610,-0.32,-2.13
201611,-0.77,-0.88
201612,2.46,1.86
201701,0.88,0.54
201702,-0.28,-0.92
201703,-1.36,-1.35
201704,-0.30,-1.13
201705,-1.11,-2.47
201706,-2.71,-3.14
201707,-2.00,-3.57
201708,2.07,0.74
201709,1.66,0.77
201710,0.13,-1.68
201711,-1.40,-1.51
201712,-0.36,-0.96
201801,-0.67,-1.01
201802,0.94,0.30
201803,0.86,0.87
201804,0.94,0.11
201805,-1.07,-2.43
201806,1.65,1.22
201807,2.29,0.72
201808,0.35,-0.98
201809,2.25,1.36
201810,2.05,0.24
201811,0.68,0.57
201812,1.98,1.38
201901,0.63,0.29
201902,2.09,1.45
201903,2.81,2.82
201904,2.82,1.99
201905,7.69,6.33
201906,-0.23,-0.66
201907,7.64,6.07
201908,6.71,5.38
201909,6.70,5.81
201910,4.16,2.35
201911,2.32,2.21
201912,3.15,2.55
202001,1.31,0.97
202002,1.30,0.66
202003,0.86,0.87
202004,0.18,-0.65
202005,1.29,-0.07
202006,-0.18,-0.61
202007,3.36,1.79
202008,0.95,-0.38
202009,-1.38,-2.27
202010,0.95,-0.86
202011,-1.23,-1.34
202012,-0.36,-0.96
202101,-0.39,-0.73
202102,-0.54,-1.18
202103,-1.31,-1.30
202104,-0.96,-1.79
202105,-0.89,-2.25
202106,-5.44,-5.87
202107,-2.12,-3.69
202108,-0.52,-1.85
202109,-0.05,-0.94
202110,4.52,2.71
202111,-1.43,-1.54
202112,0.56,-0.04
202201,-0.70,-1.04
