Tennessee, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,43.8,5.7
199002,48.0,6.2
199003,51.3,1.6
199004,56.0,-2.2
199005,64.0,-2.5
199006,73.9,-0.3
199007,76.3,-1.2
199008,76.0,-0.5
199009,71.4,1.0
199010,57.7,-1.7
199011,51.7,3.3
199012,43.0,1.7
199101,38.4,0.3
199102,42.7,0.9
199103,50.8,1.1
199104,60.9,2.7
199105,70.2,3.7
199106,74.2,0.0
199107,78.1,0.6
199108,75.5,-1.0
199109,70.2,-0.2
199110,59.5,0.1
199111,45.4,-3.0
199112,43.2,1.9
199201,38.6,0.5
199202,45.1,3.3
199203,48.3,-1.4
199204,57.2,-1.0
199205,63.4,-3.1
199206,70.4,-3.8
199207,76.9,-0.6
199208,71.8,-4.7
199209,68.6,-1.8
199210,56.6,-2.8
199211,47.8,-0.6
199212,39.2,-2.1
199301,40.9,2.8
199302,38.4,-3.4
199303,45.1,-4.6
199304,54.6,-3.6
199305,65.4,-1.1
199306,73.5,-0.7
199307,80.5,3.0
199308,77.3,0.8
199309,68.3,-2.1
199310,56.8,-2.6
199311,46.1,-2.3
199312,39.2,-2.1
199401,32.0,-6.1
199402,41.8,0.0
199403,48.2,-1.5
199404,60.2,2.0
199405,61.9,-4.6
199406,75.4,1.2
199407,75.8,-1.7
199408,73.9,-2.6
199409,66.9,-3.5
199410,58.9,-0.5
199411,52.8,4.4
199412,43.7,2.4
199501,38.2,0.1
199502,39.0,-2.8
199503,51.8,2.1
199504,58.7,0.5
199505,66.2,-0.3
199506,72.0,-2.2
199507,77.3,-0.2
199508,79.4,2.9
199509,68.2,-2.2
199510,58.4,-1.0
199511,42.8,-5.6
199512,37.3,-4.0
199601,35.8,-2.3
199602,39.1,-2.7
199603,43.5,-6.2
199604,54.5,-3.7
199605,68.6,2.1
199606,73.4,-0.8
199607,75.6,-1.9
199608,75.0,-1.5
199609,67.5,-2.9
199610,58.5,-0.9
199611,44.5,-3.9
199612,42.7,1.4
199701,37.0,-1.1
199702,45.0,3.2
199703,52.9,3.2
199704,53.0,-5.2
199705,61.5,-5.0
199706,70.9,-3.3
199707,77.5,0.0
199708,74.2,-2.3
199709,69.6,-0.8
199710,57.7,-1.7
199711,43.9,-4.5
199712,38.9,-2.4
199801,42.6,4.5
199802,44.4,2.6
199803,48.4,-1.3
199804,56.8,-1.4
199805,69.5,3.0
199806,75.8,1.6
199807,78.0,0.5
199808,76.4,-0.1
199809,74.4,4.0
199810,61.6,2.2
199811,50.7,2.3
199812,43.3,2.0
199901,42.0,3.9
199902,44.7,2.9
199903,44.8,-4.9
199904,61.4,3.2
199905,65.8,-0.7
199906,74.4,0.2
199907,79.4,1.9
199908,77.0,0.5
199909,69.3,-1.1
199910,58.4,-1.0
199911,52.8,4.4
199912,41.5,0.2
200001,37.8,-0.3
200002,45.4,3.6
200003,52.5,2.8
200004,55.3,-2.9
200005,68.8,2.3
200006,74.1,-0.1
200007,76.8,-0.7
200008,77.1,0.6
200009,69.6,-0.8
200010,61.1,1.7
200011,46.9,-1.5
200012,30.6,-10.7
200101,34.3,-3.8
200102,44.7,2.9
200103,44.6,-5.1
200104,61.3,3.1
200105,66.9,0.4
200106,71.9,-2.3
200107,77.1,-0.4
200108,76.7,0.2
200109,67.6,-2.8
200110,56.5,-2.9
200111,53.0,4.6
200112,44.4,3.1
200201,40.3,2.2
200202,40.5,-1.3
200203,48.3,-1.4
200204,60.9,2.7
200205,64.2,-2.3
200206,74.9,0.7
200207,78.8,1.3
200208,77.8,1.3
200209,73.3,2.9
200210,60.9,1.5
200211,45.3,-3.1
200212,39.5,-1.8
200301,32.2,-5.9
200302,38.5,-3.3
200303,51.3,1.6
200304,59.4,1.2
200305,66.5,0.0
200306,70.6,-3.6
200307,76.2,-1.3
200308,77.1,0.6
200309,68.1,-2.3
200310,58.5,-0.9
200311,52.8,4.4
200312,38.9,-2.4
200401,36.9,-1.2
200402,39.4,-2.4
200403,52.7,3.0
200404,57.2,-1.0
200405,70.1,3.6
200406,73.7,-0.5
200407,75.6,-1.9
200408,72.2,-4.3
200409,69.6,-0.8
200410,62.8,3.4
200411,53.0,4.6
200412,38.7,-2.6
200501,42.8,4.7
200502,44.4,2.6
200503,47.0,-2.7
200504,57.9,-0.3
200505,63.3,-3.2
200506,74.0,-0.2
200507,78.0,0.5
200508,78.9,2.4
200509,72.6,2.2
200510,59.3,-0.1
200511,50.4,2.0
200512,36.4,-4.9
200601,45.0,6.9
200602,38.5,-3.3
200603,49.6,-0.1
200604,63.2,5.0
200605,65.0,-1.5
200606,73.2,-1.0
200607,78.0,0.5
200608,79.2,2.7
200609,67.2,-3.2
200610,56.1,-3.3
200611,48.4,0.0
200612,43.3,2.0
200701,40.2,2.1
200702,35.9,-5.9
200703,56.4,6.7
200704,55.2,-3.0
200705,68.7,2.2
200706,75.2,1.0
200707,76.2,-1.3
200708,82.6,6.1
200709,73.0,2.6
200710,63.2,3.8
200711,48.2,-0.2
200712,44.5,3.2
200801,36.4,-1.7
200802,42.2,0.4
200803,48.8,-0.9
200804,57.2,-1.0
200805,64.8,-1.7
200806,75.4,1.2
200807,76.8,-0.7
200808,75.2,-1.3
200809,71.2,0.8
200810,57.9,-1.5
200811,45.2,-3.2
200812,40.4,-0.9
200901,35.3,-2.8
200902,42.3,0.5
200903,50.3,0.6
200904,57.2,-1.0
200905,66.4,-0.1
200906,75.6,1.4
200907,73.7,-3.8
200908,74.9,-1.6
200909,70.6,0.2
200910,56.2,-3.2
200911,50.5,2.1
200912,37.9,-3.4
201001,32.8,-5.3
201002,33.7,-8.1
201003,47.2,-2.5
201004,60.9,2.7
201005,69.1,2.6
