Tennessee, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,-0.32,-0.03
199002,2.68,2.53
199003,-0.43,-0.27
199004,-0.59,-1.17
199005,1.27,0.85
199006,-1.07,-1.88
199007,-0.49,-0.83
199008,-1.66,-2.07
199009,-0.86,-1.39
199010,2.10,1.23
199011,-0.98,-0.99
199012,6.67,6.09
199101,-1.51,-1.22
199102,2.52,2.37
199103,0.71,0.87
199104,1.19,0.61
199105,1.56,1.14
199106,0.64,-0.17
199107,-1.25,-1.59
199108,-0.28,-0.69
199109,-0.62,-1.15
199110,-0.66,-1.53
199111,-0.66,-0.67
199112,4.45,3.87
199201,-1.49,-1.20
199202,-1.49,-1.64
199203,-0.20,-0.04
199204,-2.45,-3.03
199205,-0.82,-1.24
199206,2.98,2.17
199207,1.43,1.09
199208,2.39,1.98
199209,2.10,1.57
199210,0.76,-0.11
199211,0.93,0.92
199212,-0.02,-0.60
199301,-0.98,-0.69
199302,-1.49,-1.64
199303,0.21,0.37
199304,0.22,-0.36
199305,0.58,0.16
199306,-0.49,-1.30
199307,-3.18,-3.52
199308,-0.65,-1.06
199309,0.60,0.07
199310,-0.51,-1.38
199311,-0.75,-0.76
199312,1.63,1.05
199401,1.00,1.29
199402,2.08,1.93
199403,4.03,4.19
199404,2.02,1.44
199405,0.10,-0.32
199406,2.09,1.28
199407,1.66,1.32
199408,1.18,0.77
199409,0.30,-0.23
199410,1.09,0.22
199411,-0.13,-0.14
199412,-1.33,-1.91
199501,0.46,0.75
199502,-1.61,-1.76
199503,-1.63,-1.47
199504,-1.14,-1.72
199505,1.68,1.26
199506,0.99,0.18
199507,-0.19,-0.53
199508,0.65,0.24
199509,0.21,-0.32
199510,2.22,1.35
199511,2.37,2.36
199512,-1.34,-1.92
199601,0.77,1.06
199602,-1.60,-1.75
199603,0.87,1.03
199604,0.30,-0.28
199605,0.19,-0.23
199606,0.93,0.12
199607,2.83,2.49
199608,0.31,-0.10
199609,3.93,3.40
199610,0.97,0.10
199611,3.20,3.19
199612,0.96,0.38
199701,0.06,0.35
199702,-0.23,-0.38
199703,3.20,3.36
199704,0.40,-0.18
199705,1.62,1.20
199706,4.58,3.77
199707,-1.85,-2.19
199708,0.32,-0.09
199709,1.26,0.73
199710,0.47,-0.40
199711,-0.70,-0.71
199712,-1.07,-1.65
199801,0.27,0.56
199802,-0.25,-0.40
199803,-0.83,-0.67
199804,4.59,4.01
199805,-0.17,-0.59
199806,4.43,3.62
199807,2.30,1.96
199808,-0.23,-0.64
199809,-2.76,-3.29
