Texas, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,2.23,0.53
199002,2.53,0.90
199003,3.14,1.02
199004,3.56,1.36
199005,3.20,-0.17
199006,1.18,-1.91
199007,4.16,1.69
199008,2.13,-0.39
199009,3.73,0.70
199010,2.20,-0.60
199011,2.31,0.37
199012,1.07,-0.73
199101,3.53,1.83
199102,1.65,0.02
199103,1.01,-1.11
199104,2.92,0.72
199105,3.62,0.25
199106,4.14,1.05
199107,3.08,0.61
199108,3.03,0.51
199109,4.80,1.77
199110,2.33,-0.47
199111,1.50,-0.44
199112,5.59,3.79
199201,3.15,1.45
199202,3.98,2.35
199203,2.24,0.12
199204,2.31,0.11
199205,5.09,1.72
199206,4.31,1.22
199207,2.42,-0.05
199208,1.98,-0.54
199209,1.86,-1.17
199210,0.93,-1.87
199211,3.08,1.14
199212,2.25,0.45
199301,2.16,0.46
199302,1.91,0.28
199303,2.42,0.30
199304,2.39,0.19
199305,3.46,0.09
199306,4.34,1.25
199307,1.28,-1.19
199308,1.61,-0.91
199309,2.09,-0.94
199310,3.01,0.21
199311,1.25,-0.69
199312,1.45,-0.35
199401,1.48,-0.22
199402,1.51,-0.12
199403,1.77,-0.35
199404,1.96,-0.24
199405,4.52,1.15
199406,1.91,-1.18
199407,2.00,-0.47
199408,2.07,-0.45
199409,2.50,-0.53
199410,5.04,2.24
199411,1.80,-0.14
199412,2.75,0.95
199501,1.61,-0.09
199502,1.02,-0.61
199503,2.21,0.09
199504,2.47,0.27
199505,4.67,1.30
199506,2.97,-0.12
199507,2.11,-0.36
199508,2.75,0.23
199509,3.66,0.63
199510,1.14,-1.66
199511,1.50,-0.44
199512,1.57,-0.23
199601,0.49,-1.21
199602,0.25,-1.38
199603,0.75,-1.37
199604,1.51,-0.69
199605,1.34,-2.03
199606,2.96,-0.13
199607,2.51,0.04
199608,5.23,2.71
199609,4.08,1.05
199610,1.72,-1.08
199611,2.71,0.77
199612,1.05,-0.75
199701,1.24,-0.46
