Texas, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,-0.26,-0.25
199002,0.44,0.69
199003,2.19,1.78
199004,2.06,2.19
199005,0.17,0.57
199006,-1.66,-1.60
199007,1.70,1.46
199008,-0.44,-0.69
199009,0.65,0.86
199010,-0.18,-0.47
199011,0.05,0.00
199012,-1.03,-1.08
199101,2.63,2.64
199102,-0.04,0.21
199103,-1.26,-1.67
199104,0.70,0.83
199105,0.03,0.43
199106,1.75,1.81
199107,1.85,1.61
199108,1.79,1.54
199109,2.83,3.04
199110,0.12,-0.17
199111,0.05,0.00
199112,5.67,5.62
199201,3.60,3.61
199202,4.02,4.27
199203,0.86,0.45
199204,0.66,0.79
199205,3.38,3.78
199206,3.45,3.51
199207,3.43,3.19
199208,0.95,0.70
199209,-1.49,-1.28
199210,-2.02,-2.31
199211,2.19,2.14
199212,1.02,0.97
199301,1.33,1.34
199302,1.04,1.29
199303,1.58,1.17
199304,0.97,1.10
199305,1.07,1.47
199306,3.32,3.38
199307,0.84,0.60
199308,-1.37,-1.62
199309,-1.23,-1.02
199310,0.81,0.52
199311,-0.33,-0.38
199312,-0.72,-0.77
199401,-0.56,-0.55
199402,-0.44,-0.19
199403,-0.13,-0.54
199404,-0.43,-0.30
199405,1.39,1.79
199406,-1.59,-1.53
199407,-1.31,-1.55
199408,-0.80,-1.05
199409,-0.61,-0.40
199410,2.95,2.66
199411,0.06,0.01
199412,1.58,1.53
199501,0.43,0.44
199502,-0.86,-0.61
199503,1.09,0.68
199504,0.95,1.08
199505,2.30,2.70
199506,1.79,1.85
199507,1.76,1.52
199508,1.09,0.84
199509,0.83,1.04
199510,-1.64,-1.93
199511,-0.79,-0.84
199512,-0.69,-0.74
199601,-2.11,-2.10
199602,-3.26,-3.01
199603,-1.34,-1.75
199604,-1.88,-1.75
199605,-5.58,-5.18
199606,-2.12,-2.06
199607,-1.49,-1.73
199608,4.30,4.05
199609,1.49,1.70
199610,-0.96,-1.25
199611,1.01,0.96
199612,-1.26,-1.31
199701,-0.79,-0.78
199702,3.06,3.31
199703,0.97,0.56
199704,4.80,4.93
199705,1.18,1.58
199706,3.70,3.76
199707,1.58,1.34
199708,0.11,-0.14
199709,-1.63,-1.42
199710,0.93,0.64
199711,0.38,0.33
199712,1.92,1.87
199801,0.80,0.81
199802,1.86,2.11
199803,1.61,1.20
199804,-1.37,-1.24
199805,-4.25,-3.85
199806,-4.03,-3.97
199807,-3.52,-3.76
199808,1.52,1.27
199809,-0.41,-0.20
199810,2.87,2.58
199811,2.02,1.97
199812,0.64,0.59
199901,0.44,0.45
199902,-2.50,-2.25
199903,1.74,1.33
199904,-0.31,-0.18
199905,0.59,0.99
199906,1.86,1.92
199907,0.61,0.37
199908,-1.72,-1.97
199909,-2.04,-1.83
199910,-1.41,-1.70
199911,-3.34,-3.39
199912,-1.41,-1.46
200001,-2.06,-2.05
200002,-2.89,-2.64
200003,-0.32,-0.73
200004,-1.37,-1.24
200005,-2.93,-2.53
200006,0.84,0.90
200007,-4.06,-4.30
200008,-3.94,-4.19
200009,-3.00,-2.79
200010,1.62,1.33
