Utah, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,0.98,-0.21
199002,1.20,-0.01
199003,1.27,0.03
199004,1.35,0.12
199005,0.79,-0.45
199006,0.92,0.26
199007,0.83,-0.09
199008,0.69,-0.42
199009,1.35,0.19
199010,0.94,-0.40
199011,0.94,-0.02
199012,0.89,-0.32
199101,0.80,-0.39
199102,0.49,-0.72
199103,1.66,0.42
199104,1.12,-0.11
199105,1.66,0.42
199106,0.65,-0.01
199107,0.65,-0.27
199108,1.37,0.26
199109,1.58,0.42
199110,1.36,0.02
199111,1.47,0.51
199112,0.70,-0.51
199201,0.63,-0.56
199202,1.35,0.14
199203,1.83,0.59
199204,0.38,-0.85
199205,1.72,0.48
199206,0.54,-0.12
199207,1.09,0.17
199208,1.04,-0.07
199209,0.52,-0.64
199210,1.50,0.16
199211,0.88,-0.08
199212,1.52,0.31
199301,3.02,1.83
199302,2.36,1.15
199303,1.52,0.28
199304,0.82,-0.41
199305,1.57,0.33
199306,0.95,0.29
199307,0.59,-0.33
199308,1.19,0.08
199309,0.39,-0.77
199310,1.95,0.61
199311,0.79,-0.17
199312,0.49,-0.72
199401,0.48,-0.71
199402,1.58,0.37
199403,0.83,-0.41
199404,1.85,0.62
199405,0.79,-0.45
199406,0.12,-0.54
199407,0.32,-0.60
199408,1.23,0.12
199409,1.18,0.02
199410,2.07,0.73
199411,1.77,0.81
199412,0.90,-0.31
199501,1.73,0.54
199502,0.90,-0.31
199503,2.40,1.16
199504,1.74,0.51
199505,3.06,1.82
199506,1.63,0.97
199507,0.75,-0.17
199508,0.93,-0.18
199509,0.71,-0.45
199510,0.25,-1.09
199511,0.54,-0.42
199512,0.91,-0.30
199601,1.52,0.33
199602,1.42,0.21
199603,1.33,0.09
199604,0.84,-0.39
199605,1.36,0.12
199606,0.37,-0.29
199607,0.84,-0.08
199608,0.31,-0.80
199609,1.31,0.15
199610,1.39,0.05
199611,1.78,0.82
199612,1.71,0.50
199701,2.47,1.28
199702,1.00,-0.21
199703,0.32,-0.92
199704,1.85,0.62
199705,1.11,-0.13
199706,1.27,0.61
199707,1.09,0.17
199708,2.04,0.93
199709,2.96,1.80
199710,1.09,-0.25
199711,0.95,-0.01
199712,0.65,-0.56
199801,1.33,0.14
199802,2.33,1.12
199803,1.61,0.37
199804,1.34,0.11
199805,1.19,-0.05
199806,1.83,1.17
199807,1.49,0.57
199808,0.82,-0.29
199809,1.73,0.57
199810,2.10,0.76
199811,1.03,0.07
199812,0.60,-0.61
199901,1.05,-0.14
199902,0.93,-0.28
199903,0.41,-0.83
199904,2.60,1.37
199905,1.31,0.07
199906,1.13,0.47
199907,1.50,0.58
199908,1.81,0.70
199909,0.80,-0.36
199910,0.12,-1.22
199911,0.22,-0.74
199912,0.55,-0.66
200001,1.42,0.23
200002,1.92,0.71
200003,1.29,0.05
200004,0.58,-0.65
200005,0.93,-0.31
200006,0.49,-0.17
200007,0.31,-0.61
200008,1.57,0.46
200009,0.93,-0.23
200010,2.77,1.43
200011,0.68,-0.28
200012,0.64,-0.57
200101,1.02,-0.17
200102,1.24,0.03
200103,1.24,0.00
200104,1.49,0.26
200105,0.65,-0.59
200106,0.37,-0.29
200107,0.95,0.03
200108,1.27,0.16
200109,0.31,-0.85
200110,0.51,-0.83
200111,1.52,0.56
200112,1.12,-0.09
200201,0.43,-0.76
200202,0.28,-0.93
200203,0.80,-0.44
200204,0.87,-0.36
200205,0.38,-0.86
200206,0.15,-0.51
200207,0.61,-0.31
200208,0.29,-0.82
200209,2.27,1.11
200210,1.32,-0.02
200211,0.93,-0.03
200212,0.71,-0.50
200301,0.40,-0.79
200302,1.47,0.26
200303,1.33,0.09
200304,0.93,-0.30
200305,1.08,-0.16
200306,0.56,-0.10
200307,0.39,-0.53
200308,1.19,0.08
200309,0.64,-0.52
200310,0.43,-0.91
200311,1.35,0.39
200312,1.76,0.55
200401,0.60,-0.59
200402,1.89,0.68
200403,0.33,-0.91
200404,1.82,0.59
200405,0.63,-0.61
200406,0.66,0.00
200407,0.82,-0.10
200408,0.89,-0.22
200409,1.22,0.06
200410,3.43,2.09
200411,1.69,0.73
200412,1.29,0.08
200501,2.76,1.57
200502,1.61,0.40
200503,1.63,0.39
200504,1.75,0.52
200505,1.74,0.50
200506,1.43,0.77
200507,0.41,-0.51
200508,1.32,0.21
200509,0.92,-0.24
200510,1.38,0.04
200511,0.65,-0.31
200512,1.08,-0.13
200601,1.35,0.16
200602,0.56,-0.65
200603,2.40,1.16
200604,1.16,-0.07
200605,0.42,-0.82
200606,0.42,-0.24
200607,1.21,0.29
200608,0.90,-0.21
200609,1.40,0.24
200610,3.08,1.74
200611,0.70,-0.26
200612,0.81,-0.40
200701,0.53,-0.66
200702,1.05,-0.16
200703,0.82,-0.42
200704,0.91,-0.32
200705,0.68,-0.56
200706,0.39,-0.27
200707,0.91,-0.01
200708,1.21,0.10
200709,1.40,0.24
200710,0.85,-0.49
200711,0.33,-0.63
200712,2.20,0.99
200801,1.67,0.48
200802,1.53,0.32
200803,0.67,-0.57
200804,0.42,-0.81
200805,1.07,-0.17
200806,0.65,-0.01
200807,0.53,-0.39
200808,0.92,-0.19
200809,0.62,-0.54
200810,0.82,-0.52
200811,1.07,0.11
200812,1.69,0.48
200901,1.12,-0.07
200902,0.98,-0.23
200903,0.79,-0.45
200904,1.56,0.33
200905,1.23,-0.01
200906,1.74,1.08
200907,0.49,-0.43
200908,0.39,-0.72
200909,0.75,-0.41
200910,0.79,-0.55
200911,0.40,-0.56
200912,1.56,0.35
201001,1.58,0.39
201002,1.11,-0.10
201003,1.30,0.06
201004,1.39,0.16
201005,1.24,0.00
201006,0.79,0.13
201007,0.83,-0.09
201008,1.38,0.27
201009,0.26,-0.90
201010,2.57,1.23
201011,1.40,0.44
201012,3.38,2.17
201101,0.39,-0.80
201102,1.21,0.00
201103,1.27,0.03
201104,2.02,0.79
201105,2.81,1.57
201106,0.54,-0.12
201107,1.72,0.80
201108,0.96,-0.15
201109,0.96,-0.20
201110,1.42,0.08
201111,0.90,-0.06
201112,0.51,-0.70
201201,0.97,-0.22
201202,1.04,-0.17
201203,0.73,-0.51
201204,0.73,-0.50
201205,0.28,-0.96
201206,0.03,-0.63
201207,1.41,0.49
201208,1.07,-0.04
201209,1.04,-0.12
201210,0.96,-0.38
201211,0.67,-0.29
201212,1.76,0.55
201301,1.01,-0.18
201302,0.52,-0.69
201303,0.73,-0.51
201304,1.28,0.05
201305,0.97,-0.27
201306,0.02,-0.64
201307,1.50,0.58
201308,1.40,0.29
201309,2.74,1.58
201310,1.01,-0.33
201311,1.02,0.06
201312,1.01,-0.20
201401,0.61,-0.58
201402,1.06,-0.15
201403,0.99,-0.25
201404,0.94,-0.29
201405,1.02,-0.22
201406,0.24,-0.42
201407,1.14,0.22
201408,2.46,1.35
201409,2.66,1.50
201410,0.20,-1.14
201411,0.75,-0.21
201412,1.26,0.05
201501,0.92,-0.27
201502,0.63,-0.58
201503,0.85,-0.39
201504,0.98,-0.25
201505,3.20,1.96
201506,0.97,0.31
201507,1.46,0.54
201508,1.27,0.16
201509,0.88,-0.28
201510,1.80,0.46
201511,1.07,0.11
201512,1.38,0.17
201601,1.42,0.23
201602,0.62,-0.59
201603,1.20,-0.04
201604,1.70,0.47
201605,1.36,0.12
201606,0.33,-0.33
201607,0.62,-0.30
201608,0.94,-0.17
201609,2.08,0.92
201610,0.89,-0.45
201611,0.95,-0.01
