Utah, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,28.4,0.3
199002,29.3,-2.9
199003,41.5,1.1
199004,50.0,3.4
199005,54.1,-1.7
199006,67.1,0.9
199007,72.7,-0.6
199008,69.7,-1.4
199009,65.1,2.7
199010,49.7,0.1
199011,36.9,-0.5
199012,19.8,-8.0
199101,22.6,-5.5
199102,34.7,2.5
199103,36.2,-4.2
199104,43.2,-3.4
199105,52.5,-3.3
199106,63.5,-2.7
199107,72.3,-1.0
199108,70.8,-0.3
199109,61.3,-1.1
199110,50.9,1.3
199111,35.3,-2.1
199112,26.4,-1.4
199201,24.7,-3.4
199202,34.9,2.7
199203,42.0,1.6
199204,52.7,6.1
199205,58.8,3.0
199206,64.4,-1.8
199207,69.3,-4.0
199208,70.6,-0.5
199209,62.2,-0.2
199210,52.8,3.2
199211,31.9,-5.5
199212,23.4,-4.4
199301,25.6,-2.5
199302,28.1,-4.1
199303,40.4,0.0
199304,45.3,-1.3
199305,57.2,1.4
199306,61.4,-4.8
199307,67.9,-5.4
199308,67.8,-3.3
199309,60.5,-1.9
199310,48.0,-1.6
199311,32.1,-5.3
199312,27.7,-0.1
199401,30.9,2.8
199402,29.8,-2.4
199403,42.4,2.0
199404,47.5,0.9
199405,57.8,2.0
199406,69.4,3.2
199407,74.1,0.8
199408,73.2,2.1
199409,63.4,1.0
199410,47.6,-2.0
199411,30.6,-6.8
199412,29.4,1.6
199501,29.4,1.3
199502,39.3,7.1
199503,39.6,-0.8
199504,44.0,-2.6
199505,50.6,-5.2
199506,59.9,-6.3
199507,69.9,-3.4
199508,71.8,0.7
199509,62.6,0.2
199510,49.1,-0.5
199511,41.9,4.5
199512,31.9,4.1
199601,29.2,1.1
199602,34.1,1.9
199603,40.0,-0.4
199604,46.4,-0.2
199605,56.9,1.1
199606,67.9,1.7
199607,74.2,0.9
199608,71.7,0.6
199609,59.0,-3.4
199610,48.0,-1.6
199611,37.6,0.2
199612,30.0,2.2
199701,27.3,-0.8
199702,29.5,-2.7
199703,41.6,1.2
199704,42.8,-3.8
199705,58.0,2.2
199706,65.2,-1.0
199707,69.8,-3.5
199708,70.2,-0.9
199709,61.7,-0.7
199710,48.4,-1.2
199711,37.3,-0.1
199712,26.4,-1.4
199801,31.8,3.7
199802,31.5,-0.7
199803,38.1,-2.3
199804,43.4,-3.2
199805,53.7,-2.1
199806,60.0,-6.2
199807,73.6,0.3
199808,71.6,0.5
199809,63.0,0.6
199810,47.8,-1.8
199811,38.0,0.6
199812,27.0,-0.8
199901,31.9,3.8
199902,34.0,1.8
199903,41.9,1.5
199904,41.7,-4.9
199905,52.8,-3.0
199906,64.0,-2.2
199907,71.7,-1.6
199908,69.1,-2.0
199909,59.8,-2.6
199910,51.8,2.2
199911,42.4,5.0
199912,28.8,1.0
200001,31.9,3.8
200002,36.0,3.8
200003,38.8,-1.6
200004,51.0,4.4
200005,59.3,3.5
200006,67.3,1.1
200007,74.0,0.7
200008,73.0,1.9
200009,62.0,-0.4
200010,49.1,-0.5
200011,29.8,-7.6
200012,30.4,2.6
200101,26.3,-1.8
200102,31.7,-0.5
200103,41.4,1.0
200104,47.0,0.4
200105,59.3,3.5
200106,67.1,0.9
200107,72.9,-0.4
200108,72.4,1.3
200109,65.2,2.8
200110,52.2,2.6
200111,39.3,1.9
200112,25.0,-2.8
200201,26.1,-2.0
200202,29.0,-3.2
200203,36.0,-4.4
200204,49.7,3.1
200205,56.3,0.5
200206,68.7,2.5
200207,76.2,2.9
200208,70.7,-0.4
200209,61.0,-1.4
200210,47.0,-2.6
200211,35.9,-1.5
200212,29.3,1.5
200301,35.2,7.1
200302,31.0,-1.2
200303,40.3,-0.1
200304,45.8,-0.8
200305,57.4,1.6
200306,66.0,-0.2
200307,77.2,3.9
200308,72.7,1.6
200309,62.2,-0.2
200310,55.0,5.4
200311,34.1,-3.3
200312,30.3,2.5
200401,24.2,-3.9
200402,27.8,-4.4
200403,45.6,5.2
200404,48.0,1.4
200405,57.0,1.2
200406,66.1,-0.1
200407,72.2,-1.1
200408,68.6,-2.5
200409,60.2,-2.2
200410,48.9,-0.7
200411,35.7,-1.7
200412,30.1,2.3
200501,32.6,4.5
200502,33.5,1.3
200503,39.0,-1.4
200504,45.9,-0.7
200505,56.0,0.2
200506,61.8,-4.4
200507,74.8,1.5
200508,69.0,-2.1
200509,60.8,-1.6
200510,50.4,0.8
200511,39.0,1.6
200512,29.2,1.4
200601,29.9,1.8
200602,31.5,-0.7
200603,36.3,-4.1
200604,48.4,1.8
200605,58.9,3.1
200606,68.8,2.6
200607,75.0,1.7
200608,69.7,-1.4
200609,58.1,-4.3
200610,47.3,-2.3
200611,38.2,0.8
200612,27.9,0.1
200701,22.4,-5.7
200702,34.3,2.1
200703,43.0,2.6
200704,48.3,1.7
200705,57.7,1.9
200706,68.2,2.0
200707,76.2,2.9
200708,72.8,1.7
200709,61.7,-0.7
200710,48.9,-0.7
200711,40.6,3.2
200712,24.6,-3.2
200801,22.8,-5.3
200802,30.5,-1.7
200803,37.2,-3.2
200804,43.1,-3.5
200805,52.8,-3.0
200806,65.0,-1.2
200807,74.1,0.8
200808,71.6,0.5
200809,61.9,-0.5
200810,50.4,0.8
200811,40.9,3.5
200812,27.0,-0.8
200901,29.5,1.4
200902,33.1,0.9
200903,39.2,-1.2
200904,45.3,-1.3
200905,58.7,2.9
200906,62.0,-4.2
200907,73.2,-0.1
200908,69.7,-1.4
200909,64.3,1.9
200910,45.7,-3.9
200911,39.0,1.6
200912,21.6,-6.2
201001,27.0,-1.1
201002,29.9,-2.3
201003,38.0,-2.4
201004,44.7,-1.9
201005,50.2,-5.6
201006,65.4,-0.8
201007,73.1,-0.2
201008,69.3,-1.8
201009,63.8,1.4
201010,51.1,1.5
201011,34.8,-2.6
201012,32.5,4.7
201101,25.4,-2.7
201102,28.6,-3.6
201103,39.4,-1.0
201104,43.5,-3.1
201105,50.8,-5.0
201106,63.3,-2.9
201107,71.8,-1.5
201108,72.5,1.4
201109,63.2,0.8
201110,50.0,0.4
201111,36.0,-1.4
201112,26.8,-1.0
201201,31.0,2.9
201202,31.7,-0.5
201203,42.6,2.2
201204,49.6,3.0
201205,58.0,2.2
201206,68.7,2.5
201207,73.2,-0.1
201208,73.0,1.9
201209,63.6,1.2
201210,50.9,1.3
201211,41.2,3.8
201212,27.8,0.0
201301,19.7,-8.4
201302,27.6,-4.6
201303,41.0,0.6
201304,45.0,-1.6
201305,56.0,0.2
201306,69.2,3.0
201307,74.6,1.3
201308,71.0,-0.1
201309,61.4,-1.0
201310,46.4,-3.2
201311,38.0,0.6
201312,23.1,-4.7
201401,30.4,2.3
201402,35.7,3.5
201403,41.0,0.6
201404,46.7,0.1
201405,56.5,0.7
201406,66.0,-0.2
201407,74.6,1.3
201408,67.7,-3.4
201409,64.2,1.8
201410,53.1,3.5
201411,37.7,0.3
201412,31.7,3.9
201501,32.1,4.0
201502,38.9,6.7
201503,44.9,4.5
201504,47.1,0.5
201505,53.8,-2.0
201506,70.0,3.8
201507,70.1,-3.2
201508,71.0,-0.1
201509,65.5,3.1
201510,54.3,4.7
201511,34.5,-2.9
201512,26.6,-1.2
201601,26.6,-1.5
201602,33.7,1.5
201603,42.2,1.8
201604,47.9,1.3
201605,54.4,-1.4
201606,70.9,4.7
201607,73.7,0.4
201608,70.1,-1.0
201609,61.1,-1.3
201610,53.2,3.6
