Vermont, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,4.19,1.11
199002,3.26,0.61
199003,3.01,-0.08
199004,3.84,0.19
199005,5.49,1.50
199006,4.53,-0.11
199007,3.76,-0.95
199008,7.32,2.88
199009,2.86,-1.01
199010,6.85,2.14
199011,3.71,0.22
199012,5.43,1.65
199101,2.71,-0.37
199102,1.36,-1.29
199103,3.57,0.48
199104,3.29,-0.36
199105,3.61,-0.38
199106,2.70,-1.94
199107,2.65,-2.06
199108,6.16,1.72
199109,5.07,1.20
199110,4.81,0.10
199111,2.66,-0.83
199112,3.17,-0.61
199201,2.51,-0.57
199202,2.40,-0.25
199203,3.28,0.19
199204,2.92,-0.73
199205,2.40,-1.59
199206,3.02,-1.62
199207,4.36,-0.35
199208,3.80,-0.64
199209,4.13,0.26
199210,3.03,-1.68
199211,4.52,1.03
199212,2.19,-1.59
199301,3.19,0.11
199302,2.85,0.20
199303,3.52,0.43
199304,4.10,0.45
199305,2.23,-1.76
199306,4.25,-0.39
199307,3.47,-1.24
199308,3.47,-0.97
199309,4.62,0.75
199310,3.35,-1.36
199311,3.50,0.01
199312,3.24,-0.54
199401,4.16,1.08
199402,1.54,-1.11
199403,4.16,1.07
199404,4.21,0.56
199405,4.23,0.24
199406,4.23,-0.41
199407,4.68,-0.03
199408,5.08,0.64
199409,3.95,0.08
199410,0.95,-3.76
199411,3.13,-0.36
199412,2.76,-1.02
199501,3.13,0.05
199502,2.43,-0.22
199503,2.35,-0.74
199504,2.18,-1.47
199505,2.48,-1.51
199506,1.35,-3.29
199507,4.82,0.11
199508,4.50,0.06
199509,3.44,-0.43
199510,8.14,3.43
199511,4.41,0.92
199512,2.96,-0.82
199601,4.81,1.73
199602,2.55,-0.10
199603,1.68,-1.41
199604,6.51,2.86
199605,5.58,1.59
199606,4.45,-0.19
199607,7.44,2.73
199608,2.37,-2.07
199609,3.50,-0.37
199610,4.95,0.24
199611,3.41,-0.08
199612,5.37,1.59
199701,3.26,0.18
199702,2.59,-0.06
199703,3.90,0.81
199704,3.01,-0.64
199705,3.79,-0.20
199706,2.70,-1.94
199707,4.56,-0.15
199708,5.88,1.44
199709,3.08,-0.79
199710,2.15,-2.56
199711,5.14,1.65
199712,2.72,-1.06
199801,5.88,2.80
199802,2.35,-0.30
199803,3.73,0.64
199804,2.52,-1.13
199805,2.83,-1.16
199806,8.77,4.13
199807,5.14,0.43
199808,4.73,0.29
199809,3.97,0.10
199810,3.02,-1.69
199811,2.90,-0.59
199812,1.69,-2.09
199901,5.73,2.65
199902,1.53,-1.12
199903,4.14,1.05
199904,0.88,-2.77
199905,3.50,-0.49
199906,2.56,-2.08
199907,3.79,-0.92
199908,2.76,-1.68
199909,8.57,4.70
199910,4.00,-0.71
199911,3.23,-0.26
