Vermont, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,1.74,1.55
199002,1.10,1.04
199003,-0.02,-0.04
199004,0.34,0.07
199005,2.44,2.35
199006,0.76,-0.01
199007,-0.34,-1.07
199008,4.60,4.13
199009,-0.42,-0.39
199010,4.35,2.85
199011,-0.17,0.32
199012,2.92,2.32
199101,-0.32,-0.51
199102,-2.17,-2.23
199103,0.85,0.83
199104,-1.06,-1.33
199105,-0.79,-0.88
199106,-1.84,-2.61
199107,-2.18,-2.91
199108,1.95,1.48
199109,1.96,1.99
199110,1.90,0.40
199111,-1.51,-1.02
199112,-0.23,-0.83
199201,-0.59,-0.78
199202,-0.38,-0.44
199203,0.40,0.38
199204,-0.34,-0.61
199205,-1.70,-1.79
199206,-1.16,-1.93
199207,0.84,0.11
199208,-0.04,-0.51
199209,0.44,0.47
199210,0.35,-1.15
199211,1.31,1.80
199212,-1.60,-2.20
199301,0.35,0.16
199302,0.40,0.34
199303,0.77,0.75
199304,0.85,0.58
199305,-1.96,-2.05
199306,0.45,-0.32
199307,-0.93,-1.66
199308,-1.25,-1.72
199309,0.75,0.78
199310,0.39,-1.11
199311,-0.21,0.28
199312,-0.13,-0.73
199401,1.69,1.50
199402,-1.86,-1.92
199403,1.76,1.74
199404,1.20,0.93
199405,0.76,0.67
199406,-0.04,-0.81
199407,0.49,-0.24
199408,2.01,1.54
199409,1.03,1.06
199410,-2.62,-4.12
199411,-1.49,-1.00
199412,-0.80,-1.40
199501,0.27,0.08
199502,-0.33,-0.39
199503,-1.09,-1.11
199504,-1.15,-1.42
199505,-1.42,-1.51
199506,-4.01,-4.78
199507,-0.28,-1.01
199508,-0.30,-0.77
199509,-0.67,-0.64
199510,4.67,3.17
199511,1.21,1.70
199512,-0.52,-1.12
199601,2.60,2.41
199602,-0.12,-0.18
199603,-2.07,-2.09
199604,5.08,4.81
199605,2.45,2.36
199606,0.51,-0.26
199607,5.03,4.30
199608,-1.93,-2.40
199609,-0.71,-0.68
199610,1.75,0.25
199611,-0.14,0.35
199612,2.84,2.24
199701,0.45,0.26
199702,-0.05,-0.11
199703,1.36,1.34
199704,-0.12,-0.39
199705,0.71,0.62
199706,-1.90,-2.67
199707,0.67,-0.06
199708,2.76,2.29
199709,-0.09,-0.06
199710,-0.90,-2.40
