Washington, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,9.18,2.83
199002,5.92,1.55
199003,2.80,-1.72
199004,2.89,-0.33
199005,3.30,0.84
199006,2.82,0.88
199007,0.89,0.10
199008,1.87,0.96
199009,0.21,-1.51
199010,6.15,1.92
199011,9.46,2.88
199012,5.42,-0.95
199101,4.67,-1.68
199102,5.15,0.78
199103,4.24,-0.28
199104,4.60,1.38
199105,2.85,0.39
199106,2.48,0.54
199107,0.68,-0.11
199108,1.86,0.95
199109,0.23,-1.49
199110,1.65,-2.58
199111,7.60,1.02
199112,4.47,-1.90
199201,6.99,0.64
199202,3.76,-0.61
199203,1.09,-3.43
199204,4.24,1.02
199205,0.61,-1.85
199206,2.09,0.15
199207,1.76,0.97
199208,0.80,-0.11
199209,2.15,0.43
199210,2.45,-1.78
199211,6.07,-0.51
199212,5.12,-1.25
199301,4.09,-2.26
199302,0.84,-3.53
199303,4.05,-0.47
199304,5.15,1.93
199305,3.04,0.58
199306,2.80,0.86
199307,2.59,1.80
199308,0.86,-0.05
199309,0.34,-1.38
199310,1.71,-2.52
199311,2.35,-4.23
199312,5.86,-0.51
199401,4.15,-2.20
199402,5.28,0.91
199403,3.28,-1.24
199404,2.88,-0.34
199405,2.06,-0.40
199406,2.12,0.18
199407,0.53,-0.26
199408,0.42,-0.49
199409,1.37,-0.35
199410,5.49,1.26
199411,7.19,0.61
199412,7.74,1.37
199501,6.40,0.05
199502,4.76,0.39
199503,5.16,0.64
199504,3.05,-0.17
199505,1.53,-0.93
199506,2.15,0.21
199507,1.30,0.51
199508,1.63,0.72
199509,1.93,0.21
199510,4.99,0.76
199511,11.13,4.55
199512,7.05,0.68
199601,6.90,0.55
199602,7.71,3.34
199603,2.22,-2.30
199604,5.58,2.36
199605,3.50,1.04
199606,1.15,-0.79
199607,0.72,-0.07
199608,0.63,-0.28
199609,2.12,0.40
199610,5.84,1.61
199611,6.95,0.37
199612,11.63,5.26
199701,7.47,1.12
199702,3.71,-0.66
199703,8.24,3.72
199704,3.98,0.76
199705,2.75,0.29
199706,2.90,0.96
199707,1.68,0.89
199708,1.09,0.18
199709,3.88,2.16
199710,6.77,2.54
199711,4.34,-2.24
199712,4.26,-2.11
199801,8.21,1.86
199802,4.64,0.27
199803,4.05,-0.47
199804,1.64,-1.58
199805,3.66,1.20
199806,1.61,-0.33
199807,1.07,0.28
199808,0.21,-0.70
199809,0.66,-1.06
199810,2.76,-1.47
199811,10.04,3.46
199812,10.06,3.69
199901,7.53,1.18
199902,9.93,5.56
199903,4.51,-0.01
199904,1.46,-1.76
199905,2.50,0.04
199906,1.86,-0.08
199907,0.98,0.19
199908,1.31,0.40
199909,0.36,-1.36
199910,3.49,-0.74
199911,8.24,1.66
199912,7.13,0.76
200001,6.09,-0.26
