Wisconsin, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,0.94,-0.23
199002,0.74,-0.38
199003,2.90,1.04
199004,2.71,-0.45
199005,4.23,0.32
199006,6.63,1.90
199007,3.14,-0.88
199008,5.41,1.41
199009,3.67,0.12
199010,2.81,-0.16
199011,1.26,-0.68
199012,1.57,0.04
199101,0.65,-0.52
199102,0.64,-0.48
199103,2.88,1.02
199104,3.88,0.72
199105,4.85,0.94
199106,3.66,-1.07
199107,4.85,0.83
199108,2.39,-1.61
199109,4.75,1.20
199110,3.36,0.39
199111,5.28,3.34
199112,1.28,-0.25
199201,0.79,-0.38
199202,0.82,-0.30
199203,1.90,0.04
199204,3.04,-0.12
199205,2.05,-1.86
199206,2.15,-2.58
199207,4.27,0.25
199208,2.87,-1.13
199209,5.84,2.29
199210,1.65,-1.32
199211,3.79,1.85
199212,1.84,0.31
199301,1.42,0.25
199302,0.48,-0.64
199303,1.15,-0.71
199304,4.32,1.16
199305,4.87,0.96
199306,7.12,2.39
199307,4.95,0.93
199308,4.01,0.01
199309,3.36,-0.19
199310,1.61,-1.36
199311,1.78,-0.16
199312,0.58,-0.95
199401,1.27,0.10
199402,1.11,-0.01
199403,0.76,-1.10
199404,3.62,0.46
199405,1.79,-2.12
199406,3.67,-1.06
199407,4.99,0.97
199408,3.98,-0.02
199409,5.23,1.68
199410,1.73,-1.24
199411,2.21,0.27
199412,0.53,-1.00
199501,0.74,-0.43
199502,0.34,-0.78
199503,2.17,0.31
199504,2.94,-0.22
199505,3.64,-0.27
199506,2.25,-2.48
199507,3.54,-0.48
199508,7.24,3.24
199509,2.11,-1.44
199510,4.95,1.98
199511,1.97,0.03
199512,0.99,-0.54
199601,2.64,1.47
199602,0.70,-0.42
199603,1.50,-0.36
199604,2.42,-0.74
199605,2.56,-1.35
199606,6.40,1.67
199607,4.27,0.25
199608,2.38,-1.62
199609,2.43,-1.12
199610,3.61,0.64
199611,2.28,0.34
199612,1.81,0.28
199701,1.98,0.81
199702,0.88,-0.24
199703,1.87,0.01
199704,0.97,-2.19
199705,3.01,-0.90
199706,4.11,-0.62
199707,4.99,0.97
199708,4.18,0.18
199709,2.90,-0.65
199710,2.18,-0.79
199711,0.73,-1.21
199712,0.63,-0.90
199801,1.79,0.62
199802,1.59,0.47
199803,3.65,1.79
199804,2.34,-0.82
199805,3.42,-0.49
199806,6.22,1.49
199807,1.71,-2.31
199808,4.21,0.21
