West Virginia, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,38.0,6.5
199002,40.6,6.0
199003,46.1,3.7
199004,50.8,-1.7
199005,58.9,-2.0
199006,67.5,-1.2
199007,71.5,-0.8
199008,70.4,-0.9
199009,64.3,-0.8
199010,54.3,0.1
199011,46.2,2.9
199012,38.6,3.0
199101,32.6,1.1
199102,36.3,1.7
199103,43.8,1.4
199104,54.4,1.9
199105,67.1,6.2
199106,69.7,1.0
199107,74.0,1.7
199108,71.3,0.0
199109,64.3,-0.8
199110,54.4,0.2
199111,41.2,-2.1
199112,37.1,1.5
199201,32.1,0.6
199202,37.2,2.6
199203,40.8,-1.6
199204,50.8,-1.7
199205,57.6,-3.3
199206,64.6,-4.1
199207,72.1,-0.2
199208,67.6,-3.7
199209,64.2,-0.9
199210,50.7,-3.5
199211,43.9,0.6
199212,33.6,-2.0
199301,36.3,4.8
199302,30.9,-3.7
199303,37.8,-4.6
199304,50.2,-2.3
199305,60.8,-0.1
199306,67.6,-1.1
199307,74.6,2.3
199308,72.3,1.0
199309,64.6,-0.5
199310,51.6,-2.6
199311,43.0,-0.3
199312,32.7,-2.9
199401,24.0,-7.5
199402,33.9,-0.7
199403,40.5,-1.9
199404,54.7,2.2
199405,55.4,-5.5
199406,70.7,2.0
199407,72.7,0.4
199408,68.9,-2.4
199409,62.1,-3.0
199410,52.2,-2.0
199411,47.8,4.5
199412,38.6,3.0
199501,32.4,0.9
199502,30.0,-4.6
199503,44.3,1.9
199504,51.0,-1.5
199505,59.2,-1.7
199506,68.7,0.0
199507,73.1,0.8
199508,74.9,3.6
199509,62.6,-2.5
199510,55.0,0.8
199511,38.2,-5.1
199512,29.5,-6.1
199601,29.5,-2.0
199602,31.9,-2.7
199603,36.2,-6.2
199604,50.6,-1.9
199605,60.6,-0.3
199606,69.4,0.7
199607,69.3,-3.0
199608,70.0,-1.3
199609,63.2,-1.9
199610,53.5,-0.7
199611,37.2,-6.1
199612,37.5,1.9
199701,30.7,-0.8
199702,38.4,3.8
199703,44.6,2.2
199704,46.7,-5.8
199705,54.8,-6.1
199706,66.8,-1.9
199707,71.8,-0.5
199708,68.4,-2.9
199709,62.5,-2.6
199710,52.6,-1.6
199711,39.7,-3.6
199712,34.8,-0.8
199801,37.6,6.1
199802,39.0,4.4
199803,42.6,0.2
199804,52.4,-0.1
199805,63.4,2.5
199806,68.0,-0.7
199807,71.6,-0.7
199808,71.6,0.3
199809,67.7,2.6
199810,54.4,0.2
199811,44.0,0.7
199812,38.4,2.8
199901,34.5,3.0
199902,36.3,1.7
199903,36.8,-5.6
199904,54.3,1.8
199905,60.8,-0.1
199906,69.3,0.6
199907,75.3,3.0
199908,70.4,-0.9
199909,63.3,-1.8
199910,52.3,-1.9
199911,47.6,4.3
199912,35.4,-0.2
200001,29.5,-2.0
200002,39.0,4.4
200003,46.1,3.7
200004,51.0,-1.5
200005,62.9,2.0
200006,69.8,1.1
200007,69.0,-3.3
200008,69.5,-1.8
200009,63.3,-1.8
200010,55.2,1.0
200011,40.4,-2.9
200012,25.6,-10.0
200101,29.4,-2.1
200102,38.0,3.4
200103,37.3,-5.1
200104,54.6,2.1
200105,61.0,0.1
200106,67.8,-0.9
200107,69.4,-2.9
200108,72.5,1.2
200109,62.2,-2.9
200110,52.3,-1.9
200111,47.9,4.6
200112,39.9,4.3
200201,35.0,3.5
200202,36.7,2.1
200203,42.8,0.4
200204,54.1,1.6
200205,57.9,-3.0
200206,70.0,1.3
200207,73.6,1.3
200208,72.8,1.5
200209,67.5,2.4
200210,54.5,0.3
200211,41.2,-2.1
200212,32.7,-2.9
200301,25.5,-6.0
200302,30.5,-4.1
200303,45.0,2.6
200304,53.4,0.9
200305,59.8,-1.1
200306,65.1,-3.6
200307,71.2,-1.1
200308,72.4,1.1
200309,63.6,-1.5
200310,51.9,-2.3
200311,47.8,4.5
200312,32.8,-2.8
200401,27.5,-4.0
200402,32.8,-1.8
200403,44.8,2.4
200404,52.0,-0.5
200405,65.9,5.0
200406,67.6,-1.1
200407,71.1,-1.2
200408,68.8,-2.5
200409,65.6,0.5
200410,55.2,1.0
200411,46.9,3.6
200412,34.4,-1.2
200501,34.5,3.0
200502,36.0,1.4
200503,37.6,-4.8
200504,53.1,0.6
200505,56.3,-4.6
200506,70.3,1.6
200507,74.1,1.8
200508,73.8,2.5
200509,67.3,2.2
200510,55.1,0.9
200511,45.0,1.7
200512,30.0,-5.6
