Wyoming, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,0.98,0.03
199002,0.69,-0.30
199003,1.44,0.21
199004,2.05,0.26
199005,1.77,-0.60
199006,1.19,-0.49
199007,1.90,0.69
199008,1.12,0.10
199009,1.05,-0.20
199010,1.14,-0.27
199011,1.23,0.21
199012,0.82,-0.21
199101,0.60,-0.35
199102,0.54,-0.45
199103,1.30,0.07
199104,2.31,0.52
199105,3.70,1.33
199106,2.24,0.56
199107,1.00,-0.21
199108,1.00,-0.02
199109,1.32,0.07
199110,1.01,-0.40
199111,1.63,0.61
199112,0.44,-0.59
199201,0.46,-0.49
199202,0.53,-0.46
199203,1.27,0.04
199204,1.14,-0.65
199205,2.06,-0.31
199206,2.50,0.82
199207,2.24,1.03
199208,0.88,-0.14
199209,0.70,-0.55
199210,0.69,-0.72
199211,1.15,0.13
199212,1.36,0.33
199301,0.98,0.03
199302,1.08,0.09
199303,1.15,-0.08
199304,2.30,0.51
199305,2.41,0.04
199306,3.36,1.68
199307,1.88,0.67
199308,1.22,0.20
199309,0.88,-0.37
199310,1.51,0.10
199311,1.04,0.02
199312,0.69,-0.34
199401,0.94,-0.01
199402,1.24,0.25
199403,0.82,-0.41
199404,1.43,-0.36
199405,1.04,-1.33
199406,0.92,-0.76
199407,1.07,-0.14
199408,0.82,-0.20
199409,0.78,-0.47
199410,2.87,1.46
199411,1.30,0.28
199412,0.79,-0.24
199501,1.07,0.12
199502,0.92,-0.07
199503,1.43,0.20
199504,2.09,0.30
199505,4.48,2.11
199506,2.71,1.03
199507,1.31,0.10
199508,0.65,-0.37
199509,1.73,0.48
199510,1.49,0.08
199511,1.47,0.45
199512,0.93,-0.10
199601,1.62,0.67
199602,0.78,-0.21
199603,1.42,0.19
199604,1.65,-0.14
199605,3.09,0.72
199606,0.90,-0.78
199607,0.78,-0.43
199608,0.75,-0.27
199609,1.21,-0.04
199610,1.43,0.02
199611,1.38,0.36
199612,2.29,1.26
199701,1.60,0.65
199702,0.85,-0.14
199703,0.89,-0.34
199704,1.94,0.15
199705,2.04,-0.33
199706,2.14,0.46
199707,2.23,1.02
199708,1.75,0.73
199709,1.72,0.47
199710,1.38,-0.03
199711,0.55,-0.47
199712,0.89,-0.14
199801,1.41,0.46
199802,0.90,-0.09
199803,1.82,0.59
199804,1.36,-0.43
199805,1.44,-0.93
199806,3.33,1.65
199807,1.74,0.53
199808,1.37,0.35
199809,1.34,0.09
199810,2.81,1.40
199811,1.21,0.19
199812,0.84,-0.19
199901,1.22,0.27
199902,1.17,0.18
199903,0.75,-0.48
199904,3.31,1.52
199905,2.18,-0.19
199906,2.17,0.49
199907,0.81,-0.40
199908,1.04,0.02
199909,1.54,0.29
199910,0.39,-1.02
