Wyoming, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,24.0,2.1
199002,22.7,-0.8
199003,32.0,-0.7
199004,41.5,1.8
199005,46.6,-2.3
199006,59.5,0.6
199007,64.9,-1.7
199008,64.4,-0.2
199009,59.3,3.7
199010,42.1,-0.5
199011,32.5,1.8
199012,12.7,-8.9
199101,16.9,-5.0
199102,30.7,7.2
199103,31.8,-0.9
199104,37.6,-2.1
199105,48.5,-0.4
199106,59.2,0.3
199107,65.6,-1.0
199108,65.7,1.1
199109,54.5,-1.1
199110,41.8,-0.8
199111,25.9,-4.8
199112,22.4,0.8
199201,22.5,0.6
199202,30.2,6.7
199203,36.7,4.0
199204,44.5,4.8
199205,52.7,3.8
199206,58.5,-0.4
199207,60.8,-5.8
199208,62.1,-2.5
199209,54.5,-1.1
199210,45.3,2.7
199211,25.8,-4.9
199212,16.3,-5.3
199301,16.3,-5.6
199302,16.0,-7.5
199303,32.0,-0.7
199304,38.4,-1.3
199305,50.8,1.9
199306,54.3,-4.6
199307,58.9,-7.7
199308,60.4,-4.2
199309,51.5,-4.1
199310,41.2,-1.4
199311,23.9,-6.8
199312,22.9,1.3
199401,23.5,1.6
199402,20.0,-3.5
199403,34.4,1.7
199404,40.8,1.1
199405,53.9,5.0
199406,61.1,2.2
199407,65.1,-1.5
199408,66.2,1.6
199409,57.0,1.4
199410,41.5,-1.1
199411,26.1,-4.6
199412,25.3,3.7
199501,22.3,0.4
199502,28.1,4.6
199503,31.3,-1.4
199504,36.9,-2.8
199505,44.4,-4.5
199506,55.4,-3.5
199507,63.5,-3.1
199508,66.2,1.6
199509,54.1,-1.5
199510,40.2,-2.4
199511,33.0,2.3
199512,24.7,3.1
199601,17.4,-4.5
199602,24.2,0.7
199603,27.9,-4.8
199604,39.8,0.1
199605,47.1,-1.8
199606,60.6,1.7
199607,66.2,-0.4
199608,64.8,0.2
199609,52.3,-3.3
199610,41.8,-0.8
199611,29.1,-1.6
199612,21.3,-0.3
199701,18.8,-3.1
199702,22.1,-1.4
199703,32.9,0.2
199704,34.2,-5.5
199705,49.5,0.6
199706,60.0,1.1
199707,64.2,-2.4
199708,63.7,-0.9
199709,56.4,0.8
199710,42.8,0.2
199711,28.8,-1.9
199712,21.0,-0.6
199801,22.7,0.8
199802,26.4,2.9
199803,28.4,-4.3
199804,39.5,-0.2
199805,50.4,1.5
199806,52.4,-6.5
199807,68.0,1.4
199808,65.2,0.6
199809,59.9,4.3
199810,43.2,0.6
199811,33.1,2.4
199812,21.3,-0.3
199901,24.6,2.7
199902,28.0,4.5
199903,34.4,1.7
199904,36.5,-3.2
199905,46.7,-2.2
199906,56.7,-2.2
199907,66.0,-0.6
199908,64.9,0.3
199909,51.0,-4.6
199910,45.0,2.4
199911,38.8,8.1
199912,25.2,3.6
200001,24.0,2.1
200002,29.4,5.9
200003,33.4,0.7
200004,42.5,2.8
200005,51.3,2.4
200006,58.3,-0.6
200007,68.2,1.6
200008,67.4,2.8
200009,54.1,-1.5
200010,43.1,0.5
200011,19.8,-10.9
200012,19.0,-2.6
200101,20.9,-1.0
200102,19.8,-3.7
200103,32.5,-0.2
200104,41.1,1.4
200105,51.3,2.4
200106,59.9,1.0
200107,68.6,2.0
200108,67.6,3.0
200109,58.1,2.5
200110,43.1,0.5
200111,34.3,3.6
200112,21.2,-0.4
200201,20.2,-1.7
200202,22.9,-0.6
200203,24.8,-7.9
200204,40.1,0.4
200205,47.7,-1.2
200206,61.3,2.4
200207,69.8,3.2
200208,62.6,-2.0
200209,55.2,-0.4
200210,37.4,-5.2
200211,29.6,-1.1
200212,24.9,3.3
200301,28.0,6.1
200302,20.2,-3.3
200303,32.0,-0.7
200304,42.7,3.0
200305,49.8,0.9
200306,56.1,-2.8
200307,70.2,3.6
200308,68.1,3.5
200309,52.9,-2.7
200310,47.0,4.4
200311,24.8,-5.9
200312,24.8,3.2
200401,20.8,-1.1
200402,23.4,-0.1
200403,36.5,3.8
200404,42.2,2.5
200405,49.4,0.5
200406,56.6,-2.3
200407,64.6,-2.0
200408,60.8,-3.8
200409,54.2,-1.4
200410,43.6,1.0
200411,31.0,0.3
200412,25.8,4.2
200501,24.6,2.7
200502,26.6,3.1
200503,32.5,-0.2
200504,40.3,0.6
200505,47.9,-1.0
200506,57.2,-1.7
200507,68.0,1.4
200508,62.8,-1.8
200509,55.6,0.0
200510,45.1,2.5
200511,32.9,2.2
200512,20.6,-1.0
200601,26.9,5.0
200602,21.3,-2.2
200603,30.2,-2.5
200604,43.5,3.8
200605,51.2,2.3
200606,62.6,3.7
200607,70.1,3.5
200608,64.5,-0.1
200609,51.9,-3.7
200610,40.6,-2.0
