Texas, Precipitation
Units: Inches
Base Period: 2000-2022
Missing: -99
Date,Value,Anomaly
200001,1.05,-0.53
200002,1.01,-0.48
200003,2.36,0.23
200004,1.91,-0.17
200005,3.13,-0.23
200006,5.03,1.96
200007,0.70,-1.88
200008,0.47,-2.00
200009,1.18,-1.87
200010,4.00,1.11
200011,5.24,3.29
200012,1.75,0.12
200101,2.35,0.77
200102,2.03,0.54
200103,3.25,1.12
200104,0.79,-1.29
200105,3.02,-0.34
200106,2.55,-0.52
200107,0.97,-1.61
200108,3.60,1.13
200109,3.23,0.18
200110,1.74,-1.15
200111,3.31,1.36
200112,2.27,0.64
200201,0.96,-0.62
200202,1.05,-0.44
200203,1.98,-0.15
200204,1.79,-0.29
200205,1.90,-1.46
200206,2.39,-0.68
200207,4.73,2.15
200208,1.75,-0.72
200209,2.99,-0.06
200210,6.17,3.28
200211,1.83,-0.12
200212,3.11,1.48
200301,0.58,-1.00
200302,2.40,0.91
200303,1.13,-1.00
200304,0.77,-1.31
200305,1.50,-1.86
200306,4.48,1.41
200307,2.36,-0.22
200308,2.09,-0.38
200309,3.91,0.86
200310,2.71,-0.18
200311,1.56,-0.39
200312,0.71,-0.92
200401,2.17,0.59
200402,2.81,1.32
200403,2.35,0.22
200404,3.94,1.86
200405,2.39,-0.97
200406,6.66,3.59
200407,2.37,-0.21
200408,3.18,0.71
200409,2.55,-0.50
200410,3.95,1.06
200411,6.18,4.23
200412,0.81,-0.82
200501,1.89,0.31
200502,2.51,1.02
200503,1.80,-0.33
200504,0.70,-1.38
200505,2.89,-0.47
200506,1.24,-1.83
200507,3.01,0.43
200508,3.42,0.95
200509,1.41,-1.64
200510,2.15,-0.74
200511,0.73,-1.22
200512,0.45,-1.18
200601,1.06,-0.52
200602,1.14,-0.35
200603,2.07,-0.06
200604,1.51,-0.57
200605,2.20,-1.16
200606,1.96,-1.11
200607,2.31,-0.27
200608,2.36,-0.11
200609,3.27,0.22
200610,4.03,1.14
200611,0.72,-1.23
200612,2.50,0.87
200701,3.55,1.97
200702,0.48,-1.01
200703,4.47,2.34
200704,2.15,0.07
200705,5.54,2.18
200706,5.33,2.26
200707,5.37,2.79
200708,2.92,0.45
200709,2.68,-0.37
200710,1.15,-1.74
200711,1.34,-0.61
200712,1.22,-0.41
200801,0.94,-0.64
200802,1.10,-0.39
200803,2.34,0.21
200804,1.87,-0.21
200805,2.29,-1.07
200806,1.93,-1.14
200807,2.29,-0.29
200808,4.52,2.05
200809,2.85,-0.20
200810,2.16,-0.73
200811,0.99,-0.96
200812,0.52,-1.11
200901,0.40,-1.18
200902,0.62,-0.87
200903,2.21,0.08
200904,3.20,1.12
200905,2.30,-1.06
200906,1.87,-1.20
200907,3.09,0.51
200908,1.62,-0.85
200909,4.20,1.15
200910,5.55,2.66
200911,1.26,-0.69
200912,2.22,0.59
201001,2.37,0.79
201002,2.59,1.10
201003,1.87,-0.26
201004,2.69,0.61
201005,2.27,-1.09
201006,2.78,-0.29
201007,5.12,2.54
201008,1.28,-1.19
201009,4.31,1.26
201010,0.76,-2.13
201011,1.04,-0.91
201012,0.73,-0.90
201101,1.55,-0.03
201102,0.65,-0.84
201103,0.27,-1.86
201104,0.70,-1.38
201105,1.56,-1.80
201106,0.98,-2.09
201107,0.74,-1.84
201108,0.74,-1.73
201109,1.14,-1.91
201110,2.23,-0.66
201111,1.28,-0.67
201112,2.86,1.23
201201,2.27,0.69
201202,2.29,0.80
201203,3.07,0.94
201204,1.27,-0.81
201205,2.88,-0.48
201206,1.86,-1.21
201207,2.70,0.12
201208,1.84,-0.63
201209,3.95,0.90
201210,0.69,-2.20
201211,0.31,-1.64
201212,0.97,-0.66
201301,2.46,0.88
201302,1.21,-0.28
201303,0.66,-1.47
201304,1.77,-0.31
201305,2.42,-0.94
201306,2.33,-0.74
201307,3.10,0.52
201308,1.41,-1.06
201309,4.05,1.00
201310,3.31,0.42
201311,1.94,-0.01
201312,1.36,-0.27
201401,0.37,-1.21
201402,0.73,-0.76
201403,1.11,-1.02
201404,0.98,-1.10
201405,4.10,0.74
201406,3.01,-0.06
201407,2.58,0.00
201408,1.73,-0.74
201409,3.59,0.54
201410,1.76,-1.13
201411,2.83,0.88
201412,1.22,-0.41
201501,2.67,1.09
201502,1.09,-0.40
201503,3.47,1.34
201504,3.96,1.88
201505,9.05,5.69
201506,3.72,0.65
201507,1.85,-0.73
201508,1.43,-1.04
201509,1.43,-1.62
201510,6.17,3.28
201511,3.87,1.92
201512,2.52,0.89
201601,0.95,-0.63
201602,1.06,-0.43
201603,2.85,0.72
201604,4.30,2.22
201605,4.86,1.50
201606,3.37,0.30
201607,1.31,-1.27
201608,5.33,2.86
201609,2.96,-0.09
201610,0.67,-2.22
201611,2.34,0.39
201612,2.10,0.47
201701,2.28,0.70
201702,1.71,0.22
201703,1.88,-0.25
201704,2.75,0.67
201705,2.54,-0.82
201706,3.11,0.04
201707,2.46,-0.12
201708,7.00,4.53
201709,2.61,-0.44
201710,1.25,-1.64
201711,0.73,-1.22
201712,1.96,0.33
201801,0.64,-0.94
201802,2.43,0.94
201803,1.96,-0.17
201804,1.05,-1.03
201805,2.08,-1.28
201806,2.49,-0.58
201807,2.15,-0.43
201808,2.17,-0.30
201809,6.71,3.66
201810,6.92,4.03
201811,1.78,-0.17
201812,3.34,1.71
201901,1.50,-0.08
201902,0.92,-0.57
201903,1.21,-0.92
201904,3.58,1.50
201905,5.23,1.87
201906,4.27,1.20
201907,1.29,-1.29
201908,1.42,-1.05
201909,2.43,-0.62
201910,2.71,-0.18
201911,1.42,-0.53
201912,0.88,-0.75
202001,1.96,0.38
202002,1.90,0.41
202003,3.17,1.04
202004,1.86,-0.22
202005,3.54,0.18
202006,2.15,-0.92
202007,2.28,-0.30
202008,1.32,-1.15
202009,4.21,1.16
202010,1.01,-1.88
202011,0.95,-1.00
202012,1.82,0.19
202101,1.69,0.11
202102,0.99,-0.50
202103,1.31,-0.82
202104,2.14,0.06
202105,6.23,2.87
202106,4.06,0.99
202107,3.99,1.41
202108,2.78,0.31
202109,1.41,-1.64
202110,2.43,-0.46
202111,1.16,-0.79
202112,0.64,-0.99
202201,0.69,-0.89
