,Year,STATE,ENERGY SOURCE,GENERATION (MWh),Date,TOTAL_rev,TOTAL_sales,TOTAL_cust,TOTAL_price,Temperature,Delta from Mean Temp,Percipitation (in),Delta from Mean Pcp,Z-index Drought,Delta from Mean Z
0,1990,US-TOTAL,Coal,1594011479.004,1990-01-01,178242791.0,2712554662.0,0.0,6.461,53.514,1.495,32.17,2.23,0.182,0.085
1,1990,US-TOTAL,Geothermal,15434271.0,1990-01-01,178242791.0,2712554662.0,0.0,6.461,53.514,1.495,32.17,2.23,0.182,0.085
2,1990,US-TOTAL,Hydroelectric Conventional,292865846.004,1990-01-01,178242791.0,2712554662.0,0.0,6.461,53.514,1.495,32.17,2.23,0.182,0.085
3,1990,US-TOTAL,Natural Gas,372765153.996,1990-01-01,178242791.0,2712554662.0,0.0,6.461,53.514,1.495,32.17,2.23,0.182,0.085
4,1990,US-TOTAL,Nuclear,576861678.0,1990-01-01,178242791.0,2712554662.0,0.0,6.461,53.514,1.495,32.17,2.23,0.182,0.085
5,1990,US-TOTAL,Other,3615663.0,1990-01-01,178242791.0,2712554662.0,0.0,6.461,53.514,1.495,32.17,2.23,0.182,0.085
6,1990,US-TOTAL,Other Biomass,13260378.996,1990-01-01,178242791.0,2712554662.0,0.0,6.461,53.514,1.495,32.17,2.23,0.182,0.085
7,1990,US-TOTAL,Other Gases,10382829.996,1990-01-01,178242791.0,2712554662.0,0.0,6.461,53.514,1.495,32.17,2.23,0.182,0.085
8,1990,US-TOTAL,Petroleum,126460202.004,1990-01-01,178242791.0,2712554662.0,0.0,6.461,53.514,1.495,32.17,2.23,0.182,0.085
9,1990,US-TOTAL,Pumped Storage,-3507741.0,1990-01-01,178242791.0,2712554662.0,0.0,6.461,53.514,1.495,32.17,2.23,0.182,0.085
10,1990,US-TOTAL,Solar Thermal and Photovoltaic,367086.996,1990-01-01,178242791.0,2712554662.0,0.0,6.461,53.514,1.495,32.17,2.23,0.182,0.085
12,1990,US-TOTAL,Wind,2788599.996,1990-01-01,178242791.0,2712554662.0,0.0,6.461,53.514,1.495,32.17,2.23,0.182,0.085
13,1990,US-TOTAL,Wood and Wood Derived Fuels,32521889.004,1990-01-01,178242791.0,2712554662.0,0.0,6.461,53.514,1.495,32.17,2.23,0.182,0.085
14,1991,US-TOTAL,Coal,1590622748.004,1991-01-01,186358705.0,2762003050.0,0.0,6.632,53.158,1.139,32.44,2.5,0.562,0.465
15,1991,US-TOTAL,Geothermal,15966444.0,1991-01-01,186358705.0,2762003050.0,0.0,6.632,53.158,1.139,32.44,2.5,0.562,0.465
16,1991,US-TOTAL,Hydroelectric Conventional,288994188.996,1991-01-01,186358705.0,2762003050.0,0.0,6.632,53.158,1.139,32.44,2.5,0.562,0.465
17,1991,US-TOTAL,Natural Gas,381553017.0,1991-01-01,186358705.0,2762003050.0,0.0,6.632,53.158,1.139,32.44,2.5,0.562,0.465
18,1991,US-TOTAL,Nuclear,612565086.996,1991-01-01,186358705.0,2762003050.0,0.0,6.632,53.158,1.139,32.44,2.5,0.562,0.465
19,1991,US-TOTAL,Other,4738848.996,1991-01-01,186358705.0,2762003050.0,0.0,6.632,53.158,1.139,32.44,2.5,0.562,0.465
20,1991,US-TOTAL,Other Biomass,15664746.0,1991-01-01,186358705.0,2762003050.0,0.0,6.632,53.158,1.139,32.44,2.5,0.562,0.465
21,1991,US-TOTAL,Other Gases,11335593.0,1991-01-01,186358705.0,2762003050.0,0.0,6.632,53.158,1.139,32.44,2.5,0.562,0.465
22,1991,US-TOTAL,Petroleum,119751573.0,1991-01-01,186358705.0,2762003050.0,0.0,6.632,53.158,1.139,32.44,2.5,0.562,0.465
23,1991,US-TOTAL,Pumped Storage,-4541435.004,1991-01-01,186358705.0,2762003050.0,0.0,6.632,53.158,1.139,32.44,2.5,0.562,0.465
24,1991,US-TOTAL,Solar Thermal and Photovoltaic,471765.0,1991-01-01,186358705.0,2762003050.0,0.0,6.632,53.158,1.139,32.44,2.5,0.562,0.465
26,1991,US-TOTAL,Wind,2950950.996,1991-01-01,186358705.0,2762003050.0,0.0,6.632,53.158,1.139,32.44,2.5,0.562,0.465
27,1991,US-TOTAL,Wood and Wood Derived Fuels,33725358.0,1991-01-01,186358705.0,2762003050.0,0.0,6.632,53.158,1.139,32.44,2.5,0.562,0.465
28,1992,US-TOTAL,Coal,1621206039.0,1992-01-01,188480315.0,2763365474.0,0.0,6.724,52.604,0.585,31.26,1.32,0.764,0.667
29,1992,US-TOTAL,Geothermal,16137962.004,1992-01-01,188480315.0,2763365474.0,0.0,6.724,52.604,0.585,31.26,1.32,0.764,0.667
30,1992,US-TOTAL,Hydroelectric Conventional,253088003.004,1992-01-01,188480315.0,2763365474.0,0.0,6.724,52.604,0.585,31.26,1.32,0.764,0.667
31,1992,US-TOTAL,Natural Gas,404074371.996,1992-01-01,188480315.0,2763365474.0,0.0,6.724,52.604,0.585,31.26,1.32,0.764,0.667
32,1992,US-TOTAL,Nuclear,618776262.996,1992-01-01,188480315.0,2763365474.0,0.0,6.724,52.604,0.585,31.26,1.32,0.764,0.667
33,1992,US-TOTAL,Other,3719886.996,1992-01-01,188480315.0,2763365474.0,0.0,6.724,52.604,0.585,31.26,1.32,0.764,0.667
34,1992,US-TOTAL,Other Biomass,17816034.996,1992-01-01,188480315.0,2763365474.0,0.0,6.724,52.604,0.585,31.26,1.32,0.764,0.667
35,1992,US-TOTAL,Other Gases,13270236.996,1992-01-01,188480315.0,2763365474.0,0.0,6.724,52.604,0.585,31.26,1.32,0.764,0.667
36,1992,US-TOTAL,Petroleum,100154163.0,1992-01-01,188480315.0,2763365474.0,0.0,6.724,52.604,0.585,31.26,1.32,0.764,0.667
37,1992,US-TOTAL,Pumped Storage,-4176582.0,1992-01-01,188480315.0,2763365474.0,0.0,6.724,52.604,0.585,31.26,1.32,0.764,0.667
38,1992,US-TOTAL,Solar Thermal and Photovoltaic,399639.996,1992-01-01,188480315.0,2763365474.0,0.0,6.724,52.604,0.585,31.26,1.32,0.764,0.667
40,1992,US-TOTAL,Wind,2887523.004,1992-01-01,188480315.0,2763365474.0,0.0,6.724,52.604,0.585,31.26,1.32,0.764,0.667
41,1992,US-TOTAL,Wood and Wood Derived Fuels,36528662.004,1992-01-01,188480315.0,2763365474.0,0.0,6.724,52.604,0.585,31.26,1.32,0.764,0.667
42,1993,US-TOTAL,Coal,1690070232.0,1993-01-01,198220188.0,2861462336.0,0.0,6.861,51.262,-0.757,32.62,2.68,1.533,1.436
43,1993,US-TOTAL,Geothermal,16788564.996,1993-01-01,198220188.0,2861462336.0,0.0,6.861,51.262,-0.757,32.62,2.68,1.533,1.436
44,1993,US-TOTAL,Hydroelectric Conventional,280494008.004,1993-01-01,198220188.0,2861462336.0,0.0,6.861,51.262,-0.757,32.62,2.68,1.533,1.436
45,1993,US-TOTAL,Natural Gas,414926798.004,1993-01-01,198220188.0,2861462336.0,0.0,6.861,51.262,-0.757,32.62,2.68,1.533,1.436
46,1993,US-TOTAL,Nuclear,610291214.004,1993-01-01,198220188.0,2861462336.0,0.0,6.861,51.262,-0.757,32.62,2.68,1.533,1.436
47,1993,US-TOTAL,Other,3487155.996,1993-01-01,198220188.0,2861462336.0,0.0,6.861,51.262,-0.757,32.62,2.68,1.533,1.436
48,1993,US-TOTAL,Other Biomass,18333030.996,1993-01-01,198220188.0,2861462336.0,0.0,6.861,51.262,-0.757,32.62,2.68,1.533,1.436
49,1993,US-TOTAL,Other Gases,12955797.996,1993-01-01,198220188.0,2861462336.0,0.0,6.861,51.262,-0.757,32.62,2.68,1.533,1.436
50,1993,US-TOTAL,Petroleum,112788180.0,1993-01-01,198220188.0,2861462336.0,0.0,6.861,51.262,-0.757,32.62,2.68,1.533,1.436
51,1993,US-TOTAL,Pumped Storage,-4035572.004,1993-01-01,198220188.0,2861462336.0,0.0,6.861,51.262,-0.757,32.62,2.68,1.533,1.436
52,1993,US-TOTAL,Solar Thermal and Photovoltaic,462452.004,1993-01-01,198220188.0,2861462336.0,0.0,6.861,51.262,-0.757,32.62,2.68,1.533,1.436
54,1993,US-TOTAL,Wind,3005826.996,1993-01-01,198220188.0,2861462336.0,0.0,6.861,51.262,-0.757,32.62,2.68,1.533,1.436
55,1993,US-TOTAL,Wood and Wood Derived Fuels,37623407.004,1993-01-01,198220188.0,2861462336.0,0.0,6.861,51.262,-0.757,32.62,2.68,1.533,1.436
56,1994,US-TOTAL,Coal,1690693863.996,1994-01-01,202705976.0,2934562867.0,0.0,6.871,52.866,0.847,30.62,0.68,0.135,0.037
57,1994,US-TOTAL,Geothermal,15535452.996,1994-01-01,202705976.0,2934562867.0,0.0,6.871,52.866,0.847,30.62,0.68,0.135,0.037
58,1994,US-TOTAL,Hydroelectric Conventional,260125733.004,1994-01-01,202705976.0,2934562867.0,0.0,6.871,52.866,0.847,30.62,0.68,0.135,0.037
59,1994,US-TOTAL,Natural Gas,460218681.996,1994-01-01,202705976.0,2934562867.0,0.0,6.871,52.866,0.847,30.62,0.68,0.135,0.037
60,1994,US-TOTAL,Nuclear,640439832.0,1994-01-01,202705976.0,2934562867.0,0.0,6.871,52.866,0.847,30.62,0.68,0.135,0.037
61,1994,US-TOTAL,Other,3666924.996,1994-01-01,202705976.0,2934562867.0,0.0,6.871,52.866,0.847,30.62,0.68,0.135,0.037
62,1994,US-TOTAL,Other Biomass,19128594.996,1994-01-01,202705976.0,2934562867.0,0.0,6.871,52.866,0.847,30.62,0.68,0.135,0.037
63,1994,US-TOTAL,Other Gases,13319051.004,1994-01-01,202705976.0,2934562867.0,0.0,6.871,52.866,0.847,30.62,0.68,0.135,0.037
64,1994,US-TOTAL,Petroleum,105900983.004,1994-01-01,202705976.0,2934562867.0,0.0,6.871,52.866,0.847,30.62,0.68,0.135,0.037
65,1994,US-TOTAL,Pumped Storage,-3377825.004,1994-01-01,202705976.0,2934562867.0,0.0,6.871,52.866,0.847,30.62,0.68,0.135,0.037
66,1994,US-TOTAL,Solar Thermal and Photovoltaic,486621.996,1994-01-01,202705976.0,2934562867.0,0.0,6.871,52.866,0.847,30.62,0.68,0.135,0.037
68,1994,US-TOTAL,Wind,3447108.996,1994-01-01,202705976.0,2934562867.0,0.0,6.871,52.866,0.847,30.62,0.68,0.135,0.037
69,1994,US-TOTAL,Wood and Wood Derived Fuels,37937364.0,1994-01-01,202705976.0,2934562867.0,0.0,6.871,52.866,0.847,30.62,0.68,0.135,0.037
70,1995,US-TOTAL,Coal,1709426468.004,1995-01-01,207716916.0,3013286575.0,0.0,6.891,52.653,0.634,32.69,2.75,1.047,0.949
71,1995,US-TOTAL,Geothermal,13378257.996,1995-01-01,207716916.0,3013286575.0,0.0,6.891,52.653,0.634,32.69,2.75,1.047,0.949
72,1995,US-TOTAL,Hydroelectric Conventional,310832748.0,1995-01-01,207716916.0,3013286575.0,0.0,6.891,52.653,0.634,32.69,2.75,1.047,0.949
73,1995,US-TOTAL,Natural Gas,496057944.996,1995-01-01,207716916.0,3013286575.0,0.0,6.891,52.653,0.634,32.69,2.75,1.047,0.949
74,1995,US-TOTAL,Nuclear,673402122.996,1995-01-01,207716916.0,3013286575.0,0.0,6.891,52.653,0.634,32.69,2.75,1.047,0.949
75,1995,US-TOTAL,Other,4103808.0,1995-01-01,207716916.0,3013286575.0,0.0,6.891,52.653,0.634,32.69,2.75,1.047,0.949
76,1995,US-TOTAL,Other Biomass,20404971.0,1995-01-01,207716916.0,3013286575.0,0.0,6.891,52.653,0.634,32.69,2.75,1.047,0.949
77,1995,US-TOTAL,Other Gases,13869951.0,1995-01-01,207716916.0,3013286575.0,0.0,6.891,52.653,0.634,32.69,2.75,1.047,0.949
78,1995,US-TOTAL,Petroleum,74554065.0,1995-01-01,207716916.0,3013286575.0,0.0,6.891,52.653,0.634,32.69,2.75,1.047,0.949
79,1995,US-TOTAL,Pumped Storage,-2725131.0,1995-01-01,207716916.0,3013286575.0,0.0,6.891,52.653,0.634,32.69,2.75,1.047,0.949
80,1995,US-TOTAL,Solar Thermal and Photovoltaic,496821.0,1995-01-01,207716916.0,3013286575.0,0.0,6.891,52.653,0.634,32.69,2.75,1.047,0.949
82,1995,US-TOTAL,Wind,3164253.0,1995-01-01,207716916.0,3013286575.0,0.0,6.891,52.653,0.634,32.69,2.75,1.047,0.949
83,1995,US-TOTAL,Wood and Wood Derived Fuels,36521082.0,1995-01-01,207716916.0,3013286575.0,0.0,6.891,52.653,0.634,32.69,2.75,1.047,0.949
84,1996,US-TOTAL,Coal,1795195593.0,1996-01-01,212608584.0,3101127032.0,0.0,6.897,51.885,-0.134,33.7,3.76,1.426,1.328
85,1996,US-TOTAL,Geothermal,14328684.0,1996-01-01,212608584.0,3101127032.0,0.0,6.897,51.885,-0.134,33.7,3.76,1.426,1.328
86,1996,US-TOTAL,Hydroelectric Conventional,347162063.004,1996-01-01,212608584.0,3101127032.0,0.0,6.897,51.885,-0.134,33.7,3.76,1.426,1.328
