Colorado, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,0.96,-0.09
199002,1.08,-0.01
199003,1.99,0.58
199004,2.08,0.28
199005,1.97,-0.02
199006,0.74,-0.68
199007,3.25,1.09
199008,1.76,-0.29
199009,2.10,0.60
199010,1.61,0.19
199011,1.41,0.34
199012,0.95,-0.13
199101,0.80,-0.25
199102,0.44,-0.65
199103,1.98,0.57
199104,1.27,-0.53
199105,1.63,-0.36
199106,1.88,0.46
199107,2.69,0.53
199108,2.44,0.39
199109,1.36,-0.14
199110,1.06,-0.36
199111,2.28,1.21
199112,0.82,-0.26
199201,0.70,-0.35
199202,0.83,-0.26
199203,2.18,0.77
199204,0.79,-1.01
199205,2.08,0.09
199206,2.22,0.80
199207,2.54,0.38
199208,2.89,0.84
199209,0.69,-0.81
199210,0.92,-0.50
199211,1.60,0.53
199212,1.09,0.01
199301,1.59,0.54
199302,2.04,0.95
199303,1.68,0.27
199304,1.77,-0.03
199305,2.18,0.19
199306,1.36,-0.06
199307,1.21,-0.95
199308,2.84,0.79
199309,1.27,-0.23
199310,1.95,0.53
199311,1.41,0.34
199312,0.60,-0.48
199401,0.72,-0.33
199402,1.12,0.03
199403,1.03,-0.38
199404,2.42,0.62
199405,1.67,-0.32
199406,1.17,-0.25
199407,1.15,-1.01
199408,2.28,0.23
199409,1.26,-0.24
199410,1.98,0.56
199411,1.64,0.57
199412,0.69,-0.39
199501,1.08,0.03
199502,1.13,0.04
199503,2.13,0.72
199504,2.64,0.84
199505,4.58,2.59
199506,2.92,1.50
199507,1.83,-0.33
199508,1.45,-0.60
199509,1.91,0.41
199510,0.59,-0.83
199511,0.88,-0.19
199512,0.65,-0.43
199601,1.68,0.63
199602,1.27,0.18
199603,1.20,-0.21
199604,1.26,-0.54
199605,2.01,0.02
199606,1.68,0.26
199607,2.34,0.18
199608,1.90,-0.15
199609,2.25,0.75
199610,1.63,0.21
199611,1.42,0.35
199612,1.21,0.13
199701,1.74,0.69
199702,1.06,-0.03
199703,0.51,-0.90
199704,2.45,0.65
199705,1.91,-0.08
199706,2.21,0.79
199707,2.14,-0.02
199708,3.45,1.40
199709,2.43,0.93
199710,2.25,0.83
199711,1.23,0.16
199712,0.86,-0.22
199801,0.80,-0.25
199802,1.08,-0.01
199803,1.85,0.44
199804,1.77,-0.03
199805,1.06,-0.93
199806,1.21,-0.21
199807,3.79,1.63
199808,1.85,-0.20
199809,0.89,-0.61
199810,2.50,1.08
199811,1.34,0.27
199812,0.63,-0.45
199901,1.07,0.02
199902,0.66,-0.43
199903,0.72,-0.69
199904,4.38,2.58
199905,2.64,0.65
199906,1.64,0.22
199907,2.59,0.43
199908,3.27,1.22
199909,1.39,-0.11
199910,0.57,-0.85
199911,0.37,-0.70
199912,0.73,-0.35
200001,1.25,0.20
200002,1.19,0.10
200003,2.55,1.14
200004,1.32,-0.48
200005,1.20,-0.79
200006,1.00,-0.42
200007,1.63,-0.53
200008,2.01,-0.04
200009,1.35,-0.15
200010,1.76,0.34
200011,0.83,-0.24
200012,0.82,-0.26
200101,1.02,-0.03
200102,1.14,0.05
200103,1.42,0.01
200104,1.65,-0.15
200105,2.69,0.70
200106,0.94,-0.48
200107,2.44,0.28
200108,1.97,-0.08
200109,1.04,-0.46
200110,0.65,-0.77
200111,1.20,0.13
200112,0.65,-0.43
200201,0.64,-0.41
200202,0.48,-0.61
200203,0.87,-0.54
200204,0.57,-1.23
200205,0.57,-1.42
200206,0.87,-0.55
200207,1.02,-1.14
200208,1.49,-0.56
200209,2.10,0.60
200210,1.62,0.20
200211,0.98,-0.09
200212,0.64,-0.44
200301,0.44,-0.61
200302,1.49,0.40
200303,2.19,0.78
200304,1.57,-0.23
200305,1.75,-0.24
200306,2.07,0.65
200307,1.02,-1.14
200308,1.85,-0.20
200309,1.44,-0.06
200310,0.37,-1.05
200311,1.34,0.27
200312,0.91,-0.17
200401,0.90,-0.15
200402,1.27,0.18
200403,0.61,-0.80
200404,3.15,1.35
200405,0.70,-1.29
200406,1.99,0.57
200407,2.36,0.20
200408,1.85,-0.20
200409,2.17,0.67
200410,1.47,0.05
200411,1.69,0.62
200412,0.77,-0.31
200501,1.97,0.92
200502,1.06,-0.03
200503,1.40,-0.01
200504,1.97,0.17
200505,1.49,-0.50
200506,2.20,0.78
200507,1.05,-1.11
200508,2.23,0.18
200509,1.35,-0.15
200510,2.33,0.91
200511,0.89,-0.18
200512,1.01,-0.07
200601,0.97,-0.08
200602,0.46,-0.63
200603,1.62,0.21
200604,0.91,-0.89
200605,0.91,-1.08
200606,0.81,-0.61
200607,3.00,0.84
200608,2.66,0.61
200609,2.19,0.69
200610,2.83,1.41
200611,0.80,-0.27
200612,1.51,0.43
200701,1.00,-0.05
200702,0.96,-0.13
200703,1.09,-0.32
200704,2.08,0.28
200705,2.09,0.10
200706,1.17,-0.25
200707,2.00,-0.16
200708,2.41,0.36
200709,1.80,0.30
200710,1.13,-0.29
200711,0.40,-0.67
200712,2.58,1.50
200801,1.60,0.55
200802,1.44,0.35
200803,1.01,-0.40
200804,1.14,-0.66
200805,1.55,-0.44
200806,0.98,-0.44
200807,1.48,-0.68
200808,3.14,1.09
200809,1.10,-0.40
200810,1.27,-0.15
200811,0.92,-0.15
200812,1.83,0.75
200901,0.98,-0.07
200902,0.78,-0.31
200903,1.13,-0.28
200904,2.36,0.56
200905,1.94,-0.05
200906,2.64,1.22
200907,2.31,0.15
200908,1.18,-0.87
200909,1.46,-0.04
200910,2.10,0.68
200911,0.61,-0.46
200912,1.30,0.22
201001,0.88,-0.17
201002,1.21,0.12
201003,1.74,0.33
201004,2.13,0.33
201005,1.34,-0.65
