Alabama, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,8.44,3.11
199002,8.57,3.32
199003,8.96,3.38
199004,3.39,-1.47
199005,4.95,0.73
199006,2.93,-2.05
199007,3.75,-1.45
199008,1.92,-2.64
199009,1.90,-2.13
199010,2.66,-0.84
199011,2.94,-1.21
199012,6.46,0.99
199101,7.33,2.00
199102,5.22,-0.03
199103,7.05,1.47
199104,6.85,1.99
199105,9.57,5.35
199106,4.95,-0.03
199107,4.46,-0.74
199108,3.93,-0.63
199109,3.27,-0.76
199110,0.91,-2.59
199111,4.37,0.22
199112,5.34,-0.13
199201,6.12,0.79
199202,5.99,0.74
199203,4.03,-1.55
199204,2.91,-1.95
199205,1.95,-2.27
199206,5.44,0.46
199207,6.07,0.87
199208,5.87,1.31
199209,3.61,-0.42
199210,2.59,-0.91
199211,9.48,5.33
199212,5.73,0.26
199301,6.21,0.88
199302,3.72,-1.53
199303,6.59,1.01
199304,3.26,-1.60
199305,3.80,-0.42
199306,3.39,-1.59
199307,2.88,-2.32
199308,4.72,0.16
199309,3.83,-0.20
199310,3.71,0.21
199311,3.88,-0.27
199312,4.29,-1.18
199401,5.31,-0.02
199402,5.08,-0.17
199403,7.25,1.67
199404,4.40,-0.46
199405,3.20,-1.02
199406,7.00,2.02
199407,9.43,4.23
199408,2.91,-1.65
199409,3.61,-0.42
199410,4.97,1.47
199411,3.50,-0.65
199412,3.67,-1.80
199501,4.83,-0.50
199502,5.65,0.40
199503,5.42,-0.16
199504,5.07,0.21
199505,3.32,-0.90
199506,3.36,-1.62
199507,3.87,-1.33
199508,4.79,0.23
199509,3.09,-0.94
199510,9.30,5.80
199511,5.80,1.65
199512,5.07,-0.40
199601,7.40,2.07
199602,4.07,-1.18
199603,8.45,2.87
199604,4.65,-0.21
199605,2.56,-1.66
199606,3.38,-1.60
199607,6.63,1.43
199608,4.70,0.14
199609,5.71,1.68
199610,2.38,-1.12
199611,3.46,-0.69
199612,4.94,-0.53
199701,6.47,1.14
199702,6.16,0.91
199703,3.87,-1.71
199704,6.03,1.17
199705,5.39,1.17
199706,7.91,2.93
199707,5.33,0.13
199708,2.88,-1.68
199709,3.30,-0.73
199710,5.10,1.60
199711,5.70,1.55
199712,4.82,-0.65
199801,8.14,2.81
199802,7.29,2.04
199803,6.20,0.62
199804,5.39,0.53
199805,2.28,-1.94
199806,3.22,-1.76
199807,6.07,0.87
199808,3.44,-1.12
199809,8.29,4.26
199810,1.37,-2.13
199811,3.30,-0.85
199812,4.27,-1.20
199901,7.94,2.61
199902,2.55,-2.70
199903,5.65,0.07
199904,2.57,-2.29
199905,4.11,-0.11
199906,8.31,3.33
199907,4.63,-0.57
199908,2.02,-2.54
199909,1.91,-2.12
199910,3.39,-0.11
199911,2.61,-1.54
199912,3.32,-2.15
200001,4.69,-0.64
200002,1.99,-3.26
200003,5.05,-0.53
200004,4.83,-0.03
200005,1.32,-2.90
200006,3.71,-1.27
200007,2.26,-2.94
200008,2.36,-2.20
200009,3.49,-0.54
200010,0.80,-2.70
200011,7.70,3.55
200012,4.29,-1.18
200101,4.69,-0.64
200102,4.11,-1.14
200103,10.11,4.53
200104,3.88,-0.98
200105,4.03,-0.19
200106,7.15,2.17
200107,3.95,-1.25
200108,5.48,0.92
200109,4.80,0.77
200110,3.27,-0.23
200111,3.43,-0.72
200112,4.14,-1.33
200201,5.11,-0.22
200202,2.99,-2.26
200203,5.79,0.21
200204,2.19,-2.67
200205,4.09,-0.13
200206,3.77,-1.21
200207,5.38,0.18
200208,3.24,-1.32
200209,7.57,3.54
200210,5.58,2.08
200211,4.88,0.73
200212,6.54,1.07
200301,2.33,-3.00
200302,6.76,1.51
200303,4.67,-0.91
200304,6.41,1.55
200305,8.49,4.27
200306,8.17,3.19
200307,7.74,2.54
200308,5.70,1.14
200309,3.70,-0.33
200310,1.61,-1.89
200311,4.67,0.52
200312,3.47,-2.00
200401,3.27,-2.06
200402,7.06,1.81
200403,2.28,-3.30
200404,3.37,-1.49
200405,4.00,-0.22
200406,7.53,2.55
200407,4.43,-0.77
200408,4.48,-0.08
200409,6.63,2.60
200410,3.87,0.37
200411,8.12,3.97
200412,4.84,-0.63
200501,2.86,-2.47
200502,4.96,-0.29
200503,5.85,0.27
200504,7.60,2.74
200505,2.80,-1.42
200506,6.37,1.39
200507,9.19,3.99
200508,6.01,1.45
200509,3.29,-0.74
200510,0.61,-2.89
200511,3.59,-0.56
200512,3.95,-1.52
200601,5.23,-0.10
200602,5.05,-0.20
200603,2.97,-2.61
200604,3.07,-1.79
200605,4.41,0.19
200606,2.01,-2.97
200607,3.33,-1.87
200608,3.91,-0.65
200609,3.53,-0.50
200610,5.13,1.63
200611,4.84,0.69
200612,4.06,-1.41
200701,4.34,-0.99
200702,2.64,-2.61
200703,1.56,-4.02
200704,3.91,-0.95
200705,0.73,-3.49
200706,2.78,-2.20
200707,5.20,0.00
200708,2.67,-1.89
200709,3.11,-0.92
200710,3.92,0.42
200711,2.75,-1.40
200712,4.25,-1.22
200801,4.09,-1.24
200802,5.79,0.54
200803,4.01,-1.57
200804,4.53,-0.33
200805,4.43,0.21
200806,2.69,-2.29
200807,4.04,-1.16
200808,8.89,4.33
200809,1.65,-2.38
200810,3.02,-0.48
200811,3.15,-1.00
200812,6.78,1.31
200901,4.42,-0.91
200902,3.85,-1.40
200903,8.98,3.40
200904,4.45,-0.41
200905,8.51,4.29
200906,2.71,-2.27
200907,5.59,0.39
200908,5.49,0.93
200909,7.57,3.54
200910,7.18,3.68
200911,4.39,0.24
200912,10.63,5.16
201001,6.21,0.88
201002,4.22,-1.03
201003,5.07,-0.51
201004,2.82,-2.04
201005,6.15,1.93
201006,3.26,-1.72
201007,3.50,-1.70
201008,4.83,0.27
201009,1.61,-2.42
201010,2.59,-0.91
201011,4.73,0.58
201012,2.20,-3.27
201101,4.03,-1.30
201102,3.49,-1.76
201103,8.18,2.60
201104,5.08,0.22
201105,1.64,-2.58
201106,3.55,-1.43
201107,5.52,0.32
201108,2.05,-2.51
201109,7.21,3.18
201110,0.79,-2.71
201111,4.13,-0.02
201112,5.04,-0.43
201201,5.44,0.11
201202,4.49,-0.76
201203,5.35,-0.23
201204,1.89,-2.97
201205,4.16,-0.06
201206,4.00,-0.98
201207,5.75,0.55
201208,6.07,1.51
201209,5.35,1.32
201210,2.91,-0.59
201211,1.36,-2.79
201212,6.61,1.14
201301,6.27,0.94
201302,8.86,3.61
201303,3.83,-1.75
201304,5.71,0.85
201305,4.00,-0.22
201306,5.81,0.83
201307,8.70,3.50
201308,5.50,0.94
201309,3.20,-0.83
201310,1.47,-2.03
201311,3.42,-0.73
201312,7.93,2.46
201401,2.70,-2.63
201402,5.75,0.50
201403,5.57,-0.01
201404,9.67,4.81
201405,4.27,0.05
201406,5.23,0.25
201407,3.36,-1.84
201408,3.25,-1.31
201409,2.51,-1.52
201410,4.38,0.88
201411,2.98,-1.17
201412,6.36,0.89
201501,4.34,-0.99
201502,4.05,-1.20
201503,4.28,-1.30
201504,7.14,2.28
201505,4.32,0.10
201506,3.27,-1.71
201507,4.71,-0.49
201508,4.94,0.38
201509,2.71,-1.32
201510,2.93,-0.57
201511,6.80,2.65
201512,11.87,6.40
201601,4.06,-1.27
201602,5.85,0.60
201603,5.42,-0.16
201604,5.68,0.82
201605,2.14,-2.08
201606,3.81,-1.17
201607,4.27,-0.93
201608,4.58,0.02
201609,1.72,-2.31
201610,0.13,-3.37
201611,2.30,-1.85
201612,5.05,-0.42
201701,9.17,3.84
201702,3.70,-1.55
201703,4.17,-1.41
201704,4.09,-0.77
201705,7.01,2.79
201706,10.70,5.72
201707,5.06,-0.14
201708,6.07,1.51
201709,3.25,-0.78
201710,6.03,2.53
201711,1.05,-3.10
201712,3.89,-1.58
201801,2.32,-3.01
201802,7.27,2.02
201803,4.14,-1.44
201804,5.94,1.08
201805,5.52,1.30
201806,4.58,-0.40
201807,4.46,-0.74
201808,5.03,0.47
201809,6.21,2.18
201810,2.69,-0.81
201811,6.29,2.14
201812,9.95,4.48
201901,6.01,0.68
201902,6.21,0.96
201903,3.40,-2.18
201904,6.24,1.38
201905,3.59,-0.63
201906,4.47,-0.51
201907,4.02,-1.18
201908,4.99,0.43
201909,0.41,-3.62
201910,7.12,3.62
201911,3.24,-0.91
201912,6.60,1.13
202001,7.44,2.11
202002,10.37,5.12
202003,6.18,0.60
202004,7.10,2.24
202005,3.64,-0.58
202006,5.16,0.18
202007,5.30,0.10
202008,5.78,1.22
202009,6.00,1.97
202010,5.11,1.61
202011,2.75,-1.40
202012,3.84,-1.63
202101,3.72,-1.61
202102,4.23,-1.02
202103,8.08,2.50
202104,5.55,0.69
202105,4.67,0.45
202106,8.73,3.75
202107,7.53,2.33
202108,7.40,2.84
202109,4.81,0.78
202110,4.60,1.10
202111,1.19,-2.96
202112,4.69,-0.78
202201,4.84,-0.49
