Arkansas, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,6.27,2.38
199002,6.93,2.88
199003,8.90,3.73
199004,6.14,0.67
199005,9.53,3.91
199006,2.71,-1.23
199007,2.32,-1.56
199008,2.32,-1.20
199009,3.99,0.35
199010,6.75,2.36
199011,3.77,-0.68
199012,7.28,2.43
199101,4.59,0.70
199102,3.74,-0.31
199103,3.65,-1.52
199104,12.28,6.81
199105,5.57,-0.05
199106,2.84,-1.10
199107,3.17,-0.71
199108,3.69,0.17
199109,3.46,-0.18
199110,7.21,2.82
199111,5.16,0.71
199112,6.16,1.31
199201,2.42,-1.47
199202,3.28,-0.77
199203,5.24,0.07
199204,2.61,-2.86
199205,3.38,-2.24
199206,6.95,3.01
199207,5.49,1.61
199208,2.68,-0.84
199209,4.39,0.75
199210,1.59,-2.80
199211,5.40,0.95
199212,4.83,-0.02
199301,4.77,0.88
199302,2.97,-1.08
199303,3.32,-1.85
199304,5.96,0.49
199305,5.11,-0.51
199306,4.12,0.18
199307,1.40,-2.48
199308,3.60,0.08
199309,5.14,1.50
199310,5.53,1.14
199311,5.42,0.97
199312,4.70,-0.15
199401,5.44,1.55
199402,3.87,-0.18
199403,5.16,-0.01
199404,4.25,-1.22
199405,3.97,-1.65
199406,4.06,0.12
199407,6.59,2.71
199408,3.10,-0.42
199409,2.20,-1.44
199410,3.88,-0.51
199411,7.14,2.69
199412,4.73,-0.12
199501,5.08,1.19
199502,2.05,-2.00
199503,3.47,-1.70
199504,6.03,0.56
199505,4.90,-0.72
199506,3.67,-0.27
199507,4.22,0.34
199508,1.24,-2.28
199509,2.63,-1.01
199510,2.39,-2.00
199511,2.82,-1.63
199512,4.34,-0.51
199601,2.81,-1.08
199602,1.63,-2.42
199603,3.64,-1.53
199604,4.52,-0.95
199605,3.85,-1.77
199606,4.34,0.40
199607,5.44,1.56
199608,3.02,-0.50
199609,6.09,2.45
199610,3.99,-0.40
199611,8.89,4.44
199612,3.53,-1.32
199701,2.93,-0.96
199702,6.02,1.97
199703,6.15,0.98
199704,7.72,2.25
199705,3.92,-1.70
199706,5.07,1.13
199707,1.99,-1.89
199708,3.17,-0.35
199709,2.90,-0.74
199710,4.52,0.13
199711,3.47,-0.98
199712,4.07,-0.78
199801,6.33,2.44
199802,4.77,0.72
199803,5.79,0.62
199804,3.23,-2.24
199805,3.41,-2.21
199806,2.00,-1.94
199807,3.47,-0.41
199808,3.24,-0.28
199809,4.24,0.60
199810,5.11,0.72
199811,3.01,-1.44
199812,4.57,-0.28
199901,6.89,3.00
199902,1.33,-2.72
199903,5.33,0.16
199904,5.59,0.12
199905,4.62,-1.00
199906,5.35,1.41
199907,1.79,-2.09
199908,1.20,-2.32
199909,1.77,-1.87
199910,3.12,-1.27
199911,1.85,-2.60
199912,4.96,0.11
200001,2.32,-1.57
200002,2.66,-1.39
200003,4.24,-0.93
200004,3.61,-1.86
200005,6.69,1.07
200006,6.93,2.99
200007,1.54,-2.34
200008,0.43,-3.09
200009,2.95,-0.69
200010,1.76,-2.63
200011,8.97,4.52
200012,3.60,-1.25
200101,3.48,-0.41
200102,8.07,4.02
200103,3.78,-1.39
200104,2.34,-3.13
200105,5.64,0.02
200106,3.15,-0.79
200107,2.58,-1.30
200108,2.84,-0.68
200109,3.65,0.01
200110,5.82,1.43
200111,5.78,1.33
200112,8.28,3.43
200201,4.01,0.12
200202,2.73,-1.32
200203,9.50,4.33
200204,3.33,-2.14
200205,6.16,0.54
200206,2.57,-1.37
200207,4.13,0.25
200208,3.36,-0.16
200209,2.98,-0.66
200210,4.35,-0.04
200211,2.17,-2.28
200212,7.54,2.69
200301,0.67,-3.22
200302,6.05,2.00
200303,2.01,-3.16
200304,2.60,-2.87
200305,6.87,1.25
200306,5.75,1.81
200307,3.56,-0.32
200308,2.93,-0.59
200309,3.60,-0.04
200310,2.43,-1.96
200311,5.26,0.81
200312,3.11,-1.74
200401,3.26,-0.63
200402,4.10,0.05
200403,4.48,-0.69
200404,6.28,0.81
200405,5.00,-0.62
200406,5.81,1.87
200407,4.71,0.83
200408,2.76,-0.76
200409,0.40,-3.24
200410,8.17,3.78
200411,8.99,4.54
200412,3.06,-1.79
200501,5.32,1.43
200502,2.84,-1.21
200503,3.50,-1.67
200504,4.12,-1.35
200505,1.93,-3.69
200506,1.98,-1.96
200507,4.05,0.17
200508,3.04,-0.48
200509,4.77,1.13
200510,0.26,-4.13
200511,3.20,-1.25
200512,0.74,-4.11
200601,4.61,0.72
200602,2.51,-1.54
200603,5.02,-0.15
200604,4.56,-0.91
200605,3.93,-1.69
200606,2.56,-1.38
200607,2.79,-1.09
200608,3.74,0.22
200609,4.33,0.69
200610,4.52,0.13
200611,4.88,0.43
200612,5.88,1.03
200701,6.92,3.03
200702,2.44,-1.61
200703,1.64,-3.53
200704,4.22,-1.25
200705,3.69,-1.93
200706,3.65,-0.29
200707,5.75,1.87
200708,0.89,-2.63
200709,4.56,0.92
200710,5.15,0.76
200711,2.06,-2.39
200712,5.73,0.88
200801,1.73,-2.16
200802,4.67,0.62
200803,9.06,3.89
200804,8.13,2.66
200805,4.55,-1.07
200806,4.06,0.12
200807,2.90,-0.98
200808,7.27,3.75
200809,7.63,3.99
200810,3.71,-0.68
200811,2.31,-2.14
200812,4.46,-0.39
200901,2.74,-1.15
200902,2.71,-1.34
200903,5.35,0.18
200904,5.21,-0.26
200905,11.03,5.41
200906,2.61,-1.33
200907,7.55,3.67
200908,3.55,0.03
200909,8.64,5.00
200910,14.13,9.74
200911,1.70,-2.75
200912,6.98,2.13
201001,3.92,0.03
201002,3.32,-0.73
201003,2.99,-2.18
201004,3.06,-2.41
201005,6.20,0.58
201006,2.61,-1.33
201007,4.46,0.58
201008,1.73,-1.79
201009,3.30,-0.34
201010,1.31,-3.08
201011,4.35,-0.10
201012,1.54,-3.31
201101,1.60,-2.29
201102,4.12,0.07
201103,2.80,-2.37
201104,10.60,5.13
201105,8.31,2.69
201106,1.67,-2.27
201107,2.03,-1.85
201108,4.26,0.74
201109,2.49,-1.15
201110,2.54,-1.85
201111,8.45,4.00
201112,6.97,2.12
201201,2.92,-0.97
201202,3.03,-1.02
201203,6.71,1.54
201204,2.56,-2.91
201205,1.47,-4.15
201206,1.98,-1.96
201207,2.82,-1.06
201208,4.37,0.85
201209,5.01,1.37
201210,3.29,-1.10
201211,1.74,-2.71
201212,3.91,-0.94
201301,6.04,2.15
201302,4.07,0.02
201303,3.51,-1.66
201304,5.23,-0.24
201305,6.29,0.67
201306,3.32,-0.62
201307,4.04,0.16
201308,3.83,0.31
201309,3.47,-0.17
201310,4.84,0.45
201311,3.85,-0.60
201312,5.75,0.90
201401,1.98,-1.91
201402,2.67,-1.38
201403,4.66,-0.51
201404,5.54,0.07
201405,6.05,0.43
201406,6.24,2.30
201407,4.34,0.46
201408,2.89,-0.63
201409,2.42,-1.22
201410,5.43,1.04
201411,2.68,-1.77
201412,3.01,-1.84
201501,3.49,-0.40
201502,3.18,-0.87
201503,8.02,2.85
201504,5.75,0.28
201505,10.56,4.94
201506,3.99,0.05
201507,4.92,1.04
201508,3.02,-0.50
201509,1.47,-2.17
201510,3.75,-0.64
201511,10.72,6.27
201512,8.44,3.59
201601,2.02,-1.87
201602,2.43,-1.62
201603,9.89,4.72
201604,5.80,0.33
201605,4.54,-1.08
201606,3.10,-0.84
201607,4.82,0.94
201608,7.42,3.90
201609,1.80,-1.84
201610,1.58,-2.81
201611,3.28,-1.17
201612,3.76,-1.09
201701,3.02,-0.87
201702,2.76,-1.29
201703,4.56,-0.61
201704,8.74,3.27
201705,6.59,0.97
201706,4.24,0.30
201707,4.72,0.84
201708,6.30,2.78
201709,1.21,-2.43
201710,1.82,-2.57
201711,1.11,-3.34
201712,5.19,0.34
201801,2.70,-1.19
201802,11.81,7.76
201803,5.45,0.28
201804,5.06,-0.41
201805,3.28,-2.34
201806,2.94,-1.00
201807,3.24,-0.64
201808,6.43,2.91
201809,5.32,1.68
201810,5.22,0.83
201811,5.11,0.66
201812,7.76,2.91
201901,4.51,0.62
201902,7.76,3.71
201903,3.98,-1.19
201904,8.25,2.78
201905,9.18,3.56
201906,6.12,2.18
201907,4.83,0.95
201908,4.51,0.99
201909,1.98,-1.66
201910,7.56,3.17
201911,4.66,0.21
201912,2.31,-2.54
202001,6.15,2.26
202002,5.79,1.74
202003,7.39,2.22
202004,6.11,0.64
202005,6.94,1.32
202006,4.67,0.73
202007,3.64,-0.24
202008,6.74,3.22
202009,5.65,2.01
202010,4.42,0.03
202011,1.94,-2.51
202012,4.38,-0.47
202101,4.14,0.25
202102,3.40,-0.65
202103,6.17,1.00
202104,5.58,0.11
202105,6.77,1.15
202106,4.89,0.95
202107,4.71,0.83
202108,3.03,-0.49
202109,1.88,-1.76
202110,4.25,-0.14
202111,2.12,-2.33
202112,3.48,-1.37
202201,3.41,-0.48
