Arkansas, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,45.6,5.2
199002,49.3,5.1
199003,53.4,1.1
199004,59.6,-1.2
199005,66.1,-2.9
199006,78.0,0.9
199007,79.9,-0.6
199008,79.2,-0.5
199009,75.4,2.3
199010,59.2,-2.7
199011,54.7,3.8
199012,41.7,-1.2
199101,37.2,-3.2
199102,46.5,2.3
199103,54.2,1.9
199104,62.7,1.9
199105,72.3,3.3
199106,77.8,0.7
199107,80.6,0.1
199108,78.2,-1.5
199109,71.6,-1.5
199110,62.8,0.9
199111,46.6,-4.3
199112,45.1,2.2
199201,40.8,0.4
199202,48.6,4.4
199203,52.6,0.3
199204,60.4,-0.4
199205,66.8,-2.2
199206,73.9,-3.2
199207,79.3,-1.2
199208,74.0,-5.7
199209,70.5,-2.6
199210,61.6,-0.3
199211,48.2,-2.7
199212,42.0,-0.9
199301,39.4,-1.0
199302,41.3,-2.9
199303,49.0,-3.3
199304,56.3,-4.5
199305,67.0,-2.0
199306,76.4,-0.7
199307,83.2,2.7
199308,81.3,1.6
199309,70.6,-2.5
199310,58.7,-3.2
199311,46.0,-4.9
199312,42.5,-0.4
199401,36.6,-3.8
199402,43.0,-1.2
199403,51.9,-0.4
199404,62.7,1.9
199405,66.2,-2.8
199406,78.8,1.7
199407,78.1,-2.4
199408,76.2,-3.5
199409,70.2,-2.9
199410,62.4,0.5
199411,54.2,3.3
199412,44.4,1.5
199501,41.1,0.7
199502,44.5,0.3
199503,53.5,1.2
199504,60.1,-0.7
199505,68.3,-0.7
199506,74.6,-2.5
199507,80.0,-0.5
199508,83.1,3.4
199509,70.0,-3.1
199510,62.0,0.1
199511,47.8,-3.1
199512,40.7,-2.2
199601,38.2,-2.2
199602,44.4,0.2
199603,46.2,-6.1
199604,58.2,-2.6
199605,72.3,3.3
199606,76.3,-0.8
199607,79.2,-1.3
199608,77.6,-2.1
199609,70.0,-3.1
199610,61.2,-0.7
199611,46.6,-4.3
199612,44.6,1.7
199701,38.6,-1.8
199702,46.0,1.8
199703,54.8,2.5
199704,56.0,-4.8
199705,65.9,-3.1
199706,74.3,-2.8
199707,81.3,0.8
199708,77.4,-2.3
199709,73.2,0.1
199710,60.9,-1.0
199711,47.1,-3.8
199712,40.4,-2.5
199801,44.3,3.9
199802,46.5,2.3
199803,49.6,-2.7
199804,59.7,-1.1
199805,72.7,3.7
199806,79.9,2.8
199807,84.0,3.5
199808,80.9,1.2
199809,77.9,4.8
199810,64.1,2.2
199811,53.7,2.8
199812,43.9,1.0
199901,42.6,2.2
199902,49.6,5.4
199903,49.0,-3.3
199904,63.4,2.6
199905,68.2,-0.8
199906,76.5,-0.6
199907,81.6,1.1
199908,81.2,1.5
199909,71.9,-1.2
199910,62.0,0.1
199911,55.8,4.9
199912,44.0,1.1
200001,41.8,1.4
200002,49.1,4.9
200003,54.8,2.5
200004,59.2,-1.6
200005,70.8,1.8
200006,75.1,-2.0
200007,80.1,-0.4
200008,83.8,4.1
200009,73.7,0.6
200010,63.9,2.0
200011,46.8,-4.1
200012,31.6,-11.3
200101,37.0,-3.4
200102,45.5,1.3
200103,47.9,-4.4
200104,65.4,4.6
200105,70.0,1.0
200106,75.5,-1.6
200107,82.0,1.5
200108,80.8,1.1
200109,70.9,-2.2
200110,59.5,-2.4
200111,55.0,4.1
200112,45.2,2.3
200201,42.5,2.1
200202,42.3,-1.9
200203,47.9,-4.4
200204,63.6,2.8
200205,67.0,-2.0
200206,76.6,-0.5
200207,80.6,0.1
200208,79.9,0.2
200209,75.2,2.1
200210,60.5,-1.4
200211,48.2,-2.7
200212,42.7,-0.2
200301,36.8,-3.6
200302,40.1,-4.1
200303,51.2,-1.1
200304,61.7,0.9
200305,69.6,0.6
200306,73.1,-4.0
200307,80.0,-0.5
200308,80.8,1.1
