Arkansas, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,1.17,1.24
199002,2.36,2.38
199003,3.38,3.28
199004,1.27,0.73
199005,3.79,3.53
199006,-1.30,-1.21
199007,-1.61,-1.68
199008,-1.35,-1.67
199009,-0.19,-0.21
199010,2.81,2.02
199011,-0.42,-0.42
199012,2.71,2.40
199101,0.70,0.77
199102,-0.42,-0.40
199103,-1.43,-1.53
199104,6.12,5.58
199105,-0.22,-0.48
199106,-1.15,-1.06
199107,-0.94,-1.01
199108,0.31,-0.01
199109,-0.09,-0.11
199110,2.97,2.18
199111,1.33,1.33
199112,1.59,1.28
199201,-1.19,-1.12
199202,-1.01,-0.99
199203,0.16,0.06
199204,-1.83,-2.37
199205,-1.21,-1.47
199206,3.19,3.28
199207,2.61,2.54
199208,1.18,0.86
199209,1.45,1.43
199210,-1.05,-1.84
199211,0.96,0.96
199212,0.61,0.30
199301,0.78,0.85
199302,-0.84,-0.82
199303,-1.24,-1.34
199304,1.49,0.95
199305,0.14,-0.12
199306,0.24,0.33
199307,-2.52,-2.59
199308,-0.79,-1.11
199309,1.44,1.42
199310,2.14,1.35
199311,1.44,1.44
199312,0.47,0.16
199401,1.41,1.48
199402,-0.09,-0.07
199403,0.16,0.06
199404,-0.71,-1.25
199405,-0.66,-0.92
199406,-0.14,-0.05
199407,3.35,3.28
199408,1.16,0.84
199409,-0.66,-0.68
199410,0.46,-0.33
199411,2.02,2.02
199412,0.41,0.10
199501,0.96,1.03
199502,-1.87,-1.85
199503,-1.52,-1.62
199504,1.12,0.58
199505,-0.20,-0.46
199506,0.05,0.14
199507,0.80,0.73
199508,-2.18,-2.50
199509,-0.82,-0.84
199510,-1.27,-2.06
199511,-1.74,-1.74
199512,-0.58,-0.89
199601,-0.78,-0.71
199602,-2.27,-2.25
199603,-0.73,-0.83
199604,0.05,-0.49
199605,-1.59,-1.85
199606,0.40,0.49
199607,2.03,1.96
199608,0.60,0.28
199609,2.82,2.80
199610,1.16,0.37
199611,4.41,4.41
199612,-0.63,-0.94
199701,-0.69,-0.62
199702,1.74,1.76
199703,0.76,0.66
199704,3.01,2.47
199705,-0.66,-0.92
199706,1.40,1.49
199707,-1.15,-1.22
199708,0.04,-0.28
199709,-0.78,-0.80
199710,0.83,0.04
199711,-0.56,-0.56
199712,-0.04,-0.35
199801,1.83,1.90
199802,0.54,0.56
199803,0.93,0.83
199804,-1.22,-1.76
199805,-2.00,-2.26
199806,-2.41,-2.32
199807,-2.13,-2.20
199808,-1.01,-1.33
199809,-0.35,-0.37
199810,0.85,0.06
199811,-1.47,-1.47
199812,-0.10,-0.41
199901,2.37,2.44
199902,-2.88,-2.86
199903,0.57,0.47
199904,0.34,-0.20
199905,-0.41,-0.67
199906,1.38,1.47
199907,-1.39,-1.46
199908,-2.65,-2.97
199909,-1.89,-1.91
199910,-0.67,-1.46
199911,-2.93,-2.93
199912,-0.43,-0.74
200001,-1.50,-1.43
200002,-1.63,-1.61
200003,-0.96,-1.06
200004,-0.84,-1.38
200005,0.89,0.63
200006,3.04,3.13
200007,-1.48,-1.55
200008,-3.60,-3.92
200009,-1.07,-1.09
200010,-2.08,-2.87
200011,3.13,3.13
200012,-0.17,-0.48
200101,-0.20,-0.13
200102,3.68,3.70
200103,-0.74,-0.84
200104,-2.69,-3.23
200105,-0.14,-0.40
200106,-0.55,-0.46
200107,-1.45,-1.52
200108,-1.08,-1.40
200109,0.07,0.05
200110,2.00,1.21
200111,0.97,0.97
200112,3.39,3.08
200201,0.03,0.10
200202,-1.11,-1.09
200203,4.41,4.31
200204,-1.61,-2.15
200205,0.98,0.72
200206,-1.24,-1.15
200207,0.01,-0.06
200208,0.01,-0.31
200209,-0.96,-0.98
200210,0.70,-0.09
200211,-1.69,-1.69
200212,2.49,2.18
200301,-2.48,-2.41
200302,2.08,2.10
200303,-2.61,-2.71
200304,-1.99,-2.53
200305,1.20,0.94
200306,2.19,2.28
200307,0.55,0.48
200308,0.10,-0.22
200309,0.33,0.31
200310,-1.03,-1.82
200311,-0.01,-0.01
200312,-1.06,-1.37
200401,-0.51,-0.44
200402,0.24,0.26
200403,-0.86,-0.96
200404,1.25,0.71
200405,-0.45,-0.71
200406,1.90,1.99
200407,1.99,1.92
200408,1.06,0.74
200409,-2.66,-2.68
200410,3.56,2.77
200411,4.03,4.03
200412,-0.88,-1.19
200501,0.99,1.06
200502,-1.32,-1.30
200503,-1.20,-1.30
200504,-0.60,-1.14
200505,-2.45,-2.71
200506,-2.21,-2.12
200507,-0.82,-0.89
200508,-1.16,-1.48
200509,0.31,0.29
200510,-3.05,-3.84
200511,-1.87,-1.87
200512,-3.67,-3.98
200601,-1.05,-0.98
200602,-1.25,-1.23
200603,-0.12,-0.22
