Arizona, Palmer Z-Index
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,-0.61,-0.43
199002,-0.08,-0.01
199003,-1.06,-0.36
199004,-0.95,0.00
199005,-1.41,-0.88
199006,-2.05,-1.20
199007,2.72,2.99
199008,0.68,1.36
199009,2.07,2.32
199010,-1.21,-0.74
199011,-0.25,0.32
199012,0.57,0.81
199101,0.11,0.29
199102,-0.87,-0.80
199103,4.28,4.98
199104,-0.13,0.82
199105,0.72,1.25
199106,1.36,2.21
199107,-1.54,-1.27
199108,-1.23,-0.55
199109,-0.22,0.03
199110,-1.21,-0.74
199111,0.88,1.45
199112,1.56,1.80
199201,0.83,1.01
199202,1.75,1.82
199203,3.73,4.43
199204,0.89,1.84
199205,5.68,6.21
199206,3.38,4.23
199207,1.15,1.42
199208,2.94,3.62
199209,-1.70,-1.45
199210,-0.35,0.12
199211,-1.19,-0.62
199212,4.09,4.33
199301,8.70,8.88
199302,5.58,5.65
199303,0.50,1.20
199304,0.45,1.40
199305,3.65,4.18
199306,2.25,3.10
199307,-2.88,-2.61
199308,1.83,2.51
199309,-2.10,-1.85
199310,0.80,1.27
199311,1.79,2.36
199312,-1.56,-1.32
199401,-2.08,-1.90
199402,0.18,0.25
199403,-0.25,0.45
199404,-0.14,0.81
199405,-0.94,-0.41
199406,-2.17,-1.32
199407,-2.69,-2.42
199408,-1.70,-1.02
199409,0.27,0.52
199410,0.18,0.65
199411,1.55,2.12
199412,1.76,2.00
199501,2.97,3.15
199502,0.69,0.76
199503,1.02,1.72
199504,1.44,2.39
199505,2.47,3.00
199506,2.68,3.53
199507,-1.90,-1.63
199508,-0.74,-0.06
199509,-0.07,0.18
199510,-2.33,-1.86
199511,-1.44,-0.87
199512,-2.09,-1.85
199601,-2.59,-2.41
199602,-1.53,-1.46
199603,-2.47,-1.77
199604,-3.31,-2.36
199605,-3.14,-2.61
199606,-2.48,-1.63
199607,-0.88,-0.61
199608,-2.06,-1.38
199609,1.87,2.12
199610,-0.39,0.08
199611,-0.37,0.20
199612,-2.23,-1.99
199701,1.15,1.33
199702,-0.40,-0.33
199703,-2.73,-2.03
199704,-0.59,0.36
199705,-1.63,-1.10
199706,-1.48,-0.63
199707,-2.75,-2.48
199708,0.02,0.70
199709,2.07,2.32
199710,-0.44,0.03
199711,-0.83,-0.26
199712,1.41,1.65
199801,-1.26,-1.08
199802,4.30,4.37
199803,2.00,2.70
199804,1.54,2.49
199805,2.47,3.00
199806,2.40,3.25
199807,2.59,2.86
199808,-1.21,-0.53
199809,0.48,0.73
199810,0.93,1.40
199811,0.01,0.58
199812,-1.69,-1.45
199901,-2.86,-2.68
199902,-2.57,-2.50
199903,-3.13,-2.43
