California, Precipitation
Units: Inches
Base Period: 1990-2022
Missing: -99
Date,Value,Anomaly
199001,3.72,-0.27
199002,2.36,-1.40
199003,1.30,-1.84
199004,0.83,-0.80
199005,2.46,1.44
199006,0.18,-0.15
199007,0.28,0.10
199008,0.36,0.18
199009,0.41,0.12
199010,0.47,-0.73
199011,0.71,-1.38
199012,0.91,-3.07
199101,1.00,-2.99
199102,2.24,-1.52
199103,9.11,5.97
199104,0.75,-0.88
199105,0.82,-0.20
199106,0.32,-0.01
199107,0.26,0.08
199108,0.20,0.02
199109,0.24,-0.05
199110,1.28,0.08
199111,1.07,-1.02
199112,2.50,-1.48
199201,1.94,-2.05
199202,5.98,2.22
199203,3.65,0.51
199204,1.03,-0.60
199205,0.23,-0.79
199206,0.71,0.38
199207,0.24,0.06
199208,0.20,0.02
199209,0.05,-0.24
199210,2.13,0.93
199211,0.59,-1.50
199212,6.48,2.50
199301,8.86,4.87
199302,5.98,2.22
199303,3.05,-0.09
199304,1.45,-0.18
199305,1.44,0.42
199306,0.87,0.54
199307,0.03,-0.15
199308,0.22,0.04
199309,0.04,-0.25
199310,0.82,-0.38
199311,1.42,-0.67
199312,2.52,-1.46
199401,1.91,-2.08
199402,3.96,0.20
199403,1.24,-1.90
199404,1.36,-0.27
199405,1.35,0.33
199406,0.10,-0.23
199407,0.05,-0.13
199408,0.06,-0.12
199409,0.34,0.05
199410,0.63,-0.57
199411,3.73,1.64
199412,2.81,-1.17
199501,12.50,8.51
199502,1.27,-2.49
199503,9.57,6.43
199504,2.69,1.06
199505,1.73,0.71
199506,0.95,0.62
199507,0.17,-0.01
199508,0.06,-0.12
199509,0.07,-0.22
199510,0.05,-1.15
199511,0.36,-1.73
199512,5.78,1.80
199601,5.12,1.13
199602,5.99,2.23
199603,2.57,-0.57
199604,2.10,0.47
199605,2.01,0.99
199606,0.18,-0.15
199607,0.20,0.02
199608,0.06,-0.12
199609,0.27,-0.02
199610,1.70,0.50
199611,3.35,1.26
199612,8.96,4.98
199701,7.62,3.63
199702,0.71,-3.05
199703,0.84,-2.30
199704,0.89,-0.74
199705,0.38,-0.64
199706,0.65,0.32
199707,0.31,0.13
199708,0.27,0.09
199709,0.94,0.65
199710,1.08,-0.12
199711,3.95,1.86
199712,2.96,-1.02
199801,6.97,2.98
199802,11.50,7.74
199803,4.15,1.01
199804,2.17,0.54
199805,3.03,2.01
199806,0.77,0.44
199807,0.20,0.02
199808,0.13,-0.05
199809,0.74,0.45
199810,0.76,-0.44
199811,4.34,2.25
199812,1.65,-2.33
199901,3.54,-0.45
199902,4.98,1.22
199903,2.40,-0.74
199904,1.87,0.24
199905,0.33,-0.69
199906,0.25,-0.08
199907,0.31,0.13
199908,0.21,0.03
199909,0.18,-0.11
199910,0.71,-0.49
199911,2.20,0.11
199912,0.65,-3.33
200001,5.09,1.10
200002,6.93,3.17
200003,1.92,-1.22
200004,1.80,0.17
200005,0.94,-0.08
200006,0.31,-0.02
200007,0.06,-0.12
200008,0.27,0.09
200009,0.35,0.06
200010,2.20,1.00
200011,0.79,-1.30
200012,0.77,-3.21
200101,3.52,-0.47
200102,4.42,0.66
200103,2.21,-0.93
200104,1.75,0.12
200105,0.15,-0.87
200106,0.23,-0.10
200107,0.28,0.10
200108,0.05,-0.13
200109,0.30,0.01
200110,0.65,-0.55
200111,4.21,2.12
200112,5.25,1.27
200201,2.22,-1.77
200202,1.45,-2.31
200203,1.91,-1.23
200204,0.88,-0.75
200205,0.59,-0.43
200206,0.07,-0.26
200207,0.06,-0.12
200208,0.01,-0.17
200209,0.11,-0.18
200210,0.06,-1.14
200211,3.18,1.09
200212,8.14,4.16
200301,1.92,-2.07
200302,2.66,-1.10
200303,2.77,-0.37
200304,3.98,2.35
200305,1.09,0.07
200306,0.04,-0.29
200307,0.22,0.04
200308,0.57,0.39
200309,0.17,-0.12
200310,0.09,-1.11
200311,2.35,0.26
200312,5.77,1.79
200401,2.27,-1.72
200402,5.88,2.12
200403,1.08,-2.06
200404,0.70,-0.93
200405,0.45,-0.57
200406,0.08,-0.25
200407,0.06,-0.12
200408,0.19,0.01
200409,0.14,-0.15
200410,3.72,2.52
200411,1.68,-0.41
200412,5.51,1.53
200501,5.56,1.57
200502,4.03,0.27
200503,3.69,0.55
200504,1.79,0.16
200505,2.54,1.52
200506,0.67,0.34
200507,0.14,-0.04
200508,0.29,0.11
200509,0.32,0.03
200510,1.00,-0.20
200511,2.26,0.17
200512,7.81,3.83
200601,4.54,0.55
200602,2.69,-1.07
200603,5.41,2.27
200604,4.16,2.53
200605,0.73,-0.29
200606,0.15,-0.18
200607,0.15,-0.03
200608,0.06,-0.12
200609,0.06,-0.23
200610,0.45,-0.75
200611,2.08,-0.01
200612,3.13,-0.85
200701,0.81,-3.18
200702,4.24,0.48
200703,0.74,-2.40
200704,1.27,-0.36
200705,0.32,-0.70
200706,0.12,-0.21
200707,0.18,0.00
200708,0.12,-0.06
200709,0.50,0.21
200710,1.50,0.30
200711,0.82,-1.27
200712,3.21,-0.77
200801,7.11,3.12
200802,2.76,-1.00
200803,0.61,-2.53
200804,0.34,-1.29
200805,0.54,-0.48
200806,0.03,-0.30
200807,0.14,-0.04
200808,0.12,-0.06
200809,0.04,-0.25
200810,0.70,-0.50
200811,2.41,0.32
200812,3.05,-0.93
200901,1.27,-2.72
200902,4.64,0.88
200903,2.26,-0.88
200904,0.57,-1.06
200905,1.24,0.22
200906,0.60,0.27
200907,0.05,-0.13
200908,0.12,-0.06
200909,0.09,-0.20
200910,2.07,0.87
200911,0.99,-1.10
200912,3.15,-0.83
201001,6.48,2.49
201002,3.65,-0.11
201003,2.19,-0.95
201004,3.47,1.84
201005,1.07,0.05
201006,0.26,-0.07
201007,0.07,-0.11
201008,0.10,-0.08
201009,0.16,-0.13
201010,3.00,1.80
201011,2.60,0.51
201012,8.13,4.15
201101,1.28,-2.71
201102,3.34,-0.42
201103,6.41,3.27
201104,1.10,-0.53
201105,1.44,0.42
201106,0.92,0.59
201107,0.22,0.04
201108,0.10,-0.08
201109,0.28,-0.01
201110,1.54,0.34
201111,1.69,-0.40
201112,0.47,-3.51
201201,3.12,-0.87
201202,1.22,-2.54
201203,4.74,1.60
201204,2.48,0.85
201205,0.20,-0.82
201206,0.32,-0.01
201207,0.26,0.08
201208,0.30,0.12
201209,0.10,-0.19
201210,0.99,-0.21
201211,3.57,1.48
201212,6.15,2.17
201301,1.19,-2.80
201302,0.58,-3.18
201303,1.33,-1.81
201304,0.71,-0.92
201305,0.62,-0.40
201306,0.38,0.05
201307,0.28,0.10
201308,0.38,0.20
201309,0.77,0.48
201310,0.26,-0.94
201311,0.99,-1.10
201312,0.44,-3.54
201401,0.54,-3.45
201402,4.02,0.26
201403,3.28,0.14
201404,1.06,-0.57
201405,0.35,-0.67
201406,0.06,-0.27
201407,0.22,0.04
201408,0.45,0.27
201409,0.72,0.43
201410,1.06,-0.14
201411,1.84,-0.25
201412,6.30,2.32
201501,0.65,-3.34
201502,2.86,-0.90
201503,0.78,-2.36
201504,1.06,-0.57
201505,0.93,-0.09
201506,0.23,-0.10
201507,0.66,0.48
201508,0.08,-0.10
201509,0.33,0.04
201510,0.90,-0.30
201511,1.87,-0.22
201512,4.69,0.71
201601,6.39,2.40
201602,1.21,-2.55
201603,4.88,1.74
201604,1.52,-0.11
201605,0.77,-0.25
201606,0.27,-0.06
201607,0.06,-0.12
201608,0.06,-0.12
201609,0.10,-0.19
201610,3.82,2.62
201611,2.16,0.07
201612,4.49,0.51
